task,origin_year,target_year,forecast_horizon,observations,effective_n_weighted_tv_pp,mae_pp,rmse_pp,mean_error_pp
borough_activity,7,8,1,96,3.175103804607718,3.840647737078272,5.056211166321556,-1.8387387388902154
borough_activity,6,8,2,96,3.8493390295224015,4.16320904319566,5.341129587270845,-2.437361824347295
borough_activity,5,8,3,96,2.894606199036064,3.6454173738187943,4.83212023045666,-0.8967464034098266
borough_activity,4,8,4,96,3.398704490557934,4.25425136279069,5.514379552475228,-2.7072558890977363
borough_age,7,8,1,255,5.02925887609697,5.9372352593885624,10.494494817013765,-2.5374113509892258
borough_age,6,8,2,255,5.620448067381397,6.363707554544848,10.807358095598763,-3.754844516619111
borough_age,5,8,3,255,4.894570291596126,6.044287850928499,10.18732322665726,-1.605646842431097
borough_age,4,8,4,255,5.264689992079275,6.282136627154456,10.561380052585696,-3.0185406087429643
borough_age_activity,7,8,1,716,6.856450519261083,8.427441967927926,14.45223481319928,-3.4993296536877487
borough_age_activity,6,8,2,716,7.0574367394452855,8.40740395510426,14.53927426037942,-4.143830479983432
borough_age_activity,5,8,3,716,6.750664189457013,8.754098617231637,13.990669838808204,-1.7860779754864176
borough_age_activity,4,8,4,716,6.990508360370133,8.408358461751185,14.599298456260918,-4.338147493635149
