model,candidate_id,year,forecast_horizon,age_group_code,age_group,boroughs,mean_active_inactive_gap_pp,median_abs_active_gap_difference_pp,p90_abs_active_gap_difference_pp,active_gap_sign_reversal_rate,mean_fairly_active_inactive_gap_pp,median_abs_fairly_active_gap_difference_pp,p90_abs_fairly_active_gap_difference_pp,fairly_active_gap_sign_reversal_rate
Gradient Boosting,Gradient Boosting_05,9,1,2.0,16-24,32,9.23499554499475,0.0,0.0,0.0,-2.0480204066280825,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,3.0,25-34,32,3.78393678870241,0.0,0.0,0.0,-0.6374935127756003,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,4.0,35-44,32,5.563258671880228,0.0,0.0,0.0,-0.3924439288170834,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,5.0,45-54,32,9.244872627592576,0.0,0.0,0.0,0.022669924243891335,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,6.0,55-64,32,6.236010781576693,0.0,0.0,0.0,-0.11478645501525193,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,7.0,65-74,32,7.230136828235238,0.0,0.0,0.0,0.482552237982039,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,8.0,75-84,32,4.490390347016723,0.0,0.0,0.0,-1.0219676373654285,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,9,1,9.0,85+,32,0.6486770096934318,0.0,0.0,0.0,1.3495281124382914,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,2.0,16-24,32,7.677867360014141,0.0,0.0,0.0,-1.8103815754967514,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,3.0,25-34,32,3.155308670239301,0.0,0.0,0.0,-0.19006756532545338,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,4.0,35-44,32,4.7430842253518835,0.0,0.0,0.0,-0.0741677141274802,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,5.0,45-54,32,7.571635488463434,0.0,0.0,0.0,-0.008617893871072122,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,6.0,55-64,32,5.137184350250424,0.0,0.0,0.0,-0.05761059252776975,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,7.0,65-74,32,6.326135982225498,0.0,0.0,0.0,0.8603631814036439,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,8.0,75-84,32,3.8378356627493644,0.0,0.0,0.0,-1.8319033354132586,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,10,2,9.0,85+,32,1.0082620038130916,0.0,0.0,0.0,3.200724474273831,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,2.0,16-24,32,7.5390394210708775,0.0,0.0,0.0,-1.5130320528443968,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,3.0,25-34,32,3.029741205110276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,4.0,35-44,32,4.581739441725733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,5.0,45-54,32,7.324714536849591,0.0,0.0,0.0,-6.591949208711867e-17,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,6.0,55-64,32,4.819623358397657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,7.0,65-74,32,6.22283088014514,0.0,0.0,0.0,1.1252771269990107,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,8.0,75-84,32,3.445399781461373,0.0,0.0,0.0,-1.3811589783536078,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,11,3,9.0,85+,32,1.6889973988194282,0.0,0.0,0.0,3.6882819735044525,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,2.0,16-24,32,7.5390394210708775,0.0,0.0,0.0,-1.5130320528443968,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,3.0,25-34,32,3.027659895816347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,4.0,35-44,32,4.583820751019662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,5.0,45-54,32,7.331952745863957,0.0,0.0,0.0,-6.591949208711867e-17,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,6.0,55-64,32,4.816753540336753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,7.0,65-74,32,6.219922449468833,0.0,0.0,0.0,1.1252771269990107,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,8.0,75-84,32,3.4288426598616626,0.0,0.0,0.0,-1.256095138284542,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,12,4,9.0,85+,32,1.951337091097875,0.0,0.0,0.0,3.6632473692864838,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,2.0,16-24,32,7.5390394210708775,0.0,0.0,0.0,-1.5130320528443968,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,3.0,25-34,32,3.027659895816347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,4.0,35-44,32,4.581739441725733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,5.0,45-54,32,7.324714536849591,0.0,0.0,0.0,-6.591949208711867e-17,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,6.0,55-64,32,4.828799947725849,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,7.0,65-74,32,6.22283088014514,0.0,0.0,0.0,1.1252771269990107,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,8.0,75-84,32,3.4288426598616626,0.0,0.0,0.0,-1.2523731823354458,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,13,5,9.0,85+,32,1.951337091097875,0.0,0.0,0.0,3.6632473692864838,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,2.0,16-24,32,7.5390394210708775,0.0,0.0,0.0,-1.5130320528443968,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,3.0,25-34,32,3.027659895816347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,4.0,35-44,32,4.583820751019662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,5.0,45-54,32,7.331952745863957,0.0,0.0,0.0,-6.591949208711867e-17,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,6.0,55-64,32,4.816753540336753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,7.0,65-74,32,6.219922449468833,0.0,0.0,0.0,1.1252771269990107,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,8.0,75-84,32,3.4288426598616626,0.0,0.0,0.0,-1.256095138284542,0.0,0.0,0.0
Gradient Boosting,Gradient Boosting_05,14,6,9.0,85+,32,1.951337091097875,0.0,0.0,0.0,3.6632473692864838,0.0,0.0,0.0
Random Forest,Random Forest_05,9,1,2.0,16-24,32,7.084419471486364,1.5389916540932753,4.387347121655947,0.0,0.04789495274046982,2.010972198290692,4.291433476634542,0.625
Random Forest,Random Forest_05,9,1,3.0,25-34,32,2.0263195981766997,1.8224822719795686,2.6725856058681035,0.0,0.003409050643135526,1.0496333464436212,2.022649458176215,0.15625
Random Forest,Random Forest_05,9,1,4.0,35-44,32,3.732485900334909,1.5088757270952624,3.2219615071818186,0.0,0.3622613665745386,0.8188370249098922,3.01165528229214,0.25
Random Forest,Random Forest_05,9,1,5.0,45-54,32,6.974757412432947,2.3275574598084625,3.4590804770094357,0.0,0.9429258298852428,1.3518918066234287,2.8064200240686734,0.3125
Random Forest,Random Forest_05,9,1,6.0,55-64,32,4.780265479337149,1.6045151078603395,2.216429369372196,0.0,0.6011623797380428,0.8773609596624911,2.1064548771772986,0.1875
Random Forest,Random Forest_05,9,1,7.0,65-74,32,6.0165945022179566,1.2389617930745769,2.0387699738281007,0.0,1.1500310944638243,0.9204809999801181,2.1292635325882854,0.3125
Random Forest,Random Forest_05,9,1,8.0,75-84,32,5.008266704103359,0.4174755575269611,1.97683457899897,0.0,-0.15692587849192083,0.6827978650560644,2.621678020682452,0.5625
Random Forest,Random Forest_05,9,1,9.0,85+,32,0.23566515343374705,0.8556767981091783,1.5945175080171532,0.28125,-0.5596289395624006,2.171250584748245,2.8288501128061907,0.5
Random Forest,Random Forest_05,10,2,2.0,16-24,32,7.032224421083032,0.5457625770484635,1.1487420823450667,0.0,0.3697617879182071,2.0954499079227498,2.570971110270905,1.0
Random Forest,Random Forest_05,10,2,3.0,25-34,32,2.02077919583632,1.0652315300596753,1.6094122694178643,0.0,0.07618478888491656,0.30919825062706785,0.6411113167024454,0.21875
Random Forest,Random Forest_05,10,2,4.0,35-44,32,3.5166661725641255,1.1822531685324797,1.817995219366119,0.0,0.2613755370207187,0.35288458944964657,0.8311128440803899,0.25
Random Forest,Random Forest_05,10,2,5.0,45-54,32,6.392977622817203,1.0354708733594515,1.6472349238277615,0.0,0.16461352337297888,0.5642740036642828,0.926100124834275,0.46875
Random Forest,Random Forest_05,10,2,6.0,55-64,32,4.0891114091582015,1.1160241138662679,1.3629179113640486,0.0,0.2699605664571231,0.3511855055581964,0.7287989284716198,0.21875
