model,candidate_id,year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp,primary_active_inactive_gap_pp,primary_fairly_active_inactive_gap_pp,active_gap_difference_pp,fairly_active_gap_difference_pp,active_gap_sign_reversal,fairly_active_gap_sign_reversal
Gradient Boosting,Gradient Boosting_05,9,1,8,2.0,16-24,0.05964746321776366,0.045149523009677374,0.1636821629954777,10.403469977771405,-1.4497940208086284,10.403469977771405,-1.4497940208086284,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,3.0,25-34,0.045149523009677374,0.045149523009677374,0.08407103508811815,3.892151207844078,0.0,3.892151207844078,0.0,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,4.0,35-44,0.06298893084903882,0.045149523009677374,0.11847879453364736,5.548986368460854,-1.783940783936145,5.548986368460854,-1.783940783936145,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,5.0,45-54,0.045149523009677374,0.0676211907868889,0.16316173560006475,11.801221259038739,2.2471667777211524,11.801221259038739,2.2471667777211524,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,6.0,55-64,0.045149523009677374,0.045149523009677374,0.12197752423470684,7.682800122502948,0.0,7.682800122502948,0.0,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,7.0,65-74,0.03791367283295033,0.045149523009677374,0.11604496749591399,7.813129466296366,0.7235850176727044,7.813129466296366,0.7235850176727044,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,8.0,75-84,0.03543393950351061,0.029415354406156183,0.08193340917010314,4.649946966659253,-0.601858509735443,4.649946966659253,-0.601858509735443,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,8,9.0,85+,0.023195572158147864,0.04005540754835645,0.03300472780356837,0.9809155645420505,1.6859835390208588,0.9809155645420505,1.6859835390208588,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,9,2.0,16-24,0.08907149740807886,0.05143587044872381,0.1647410609319367,7.566956352385783,-3.763562695935505,7.566956352385783,-3.763562695935505,0.0,0.0,False,False
Gradient Boosting,Gradient Boosting_05,9,1,9,3.0,25-34,0.07443041918863069,0.05143587044872381,0.10402927597486862,2.959885678623793,-2.299454873990688,2.959885678623793,-2.299454873990688,0.0,0.0,False,False
