year,activity_level_3cat,activity_level_3cat_label,boroughs_observed,median_borough_rate,q25_borough_rate,q75_borough_rate,borough_iqr
3,0,inactive,32,0.0459445567907002,0.019019667509960727,0.06799360009579165,0.04897393258583092
3,1,fairly_active,32,0.045570102190676545,0.0266361633814305,0.09934799100290148,0.07271182762147098
3,2,active,32,0.12649165084897845,0.0990004864118725,0.15943225455355298,0.060431768141680484
4,0,inactive,32,0.02755517846745955,0.01103639679388175,0.05473678030392268,0.04370038351004093
4,1,fairly_active,32,0.06625273376845445,0.03303814944035085,0.0933827110453784,0.060344561605027554
4,2,active,32,0.12261014439887465,0.10186445158722977,0.1606173827882963,0.05875293120106652
5,0,inactive,32,0.0748611199417721,0.040690782530200996,0.09739900032498743,0.05670821779478643
5,1,fairly_active,32,0.0948994616950144,0.06747936302256763,0.12843581432162454,0.06095645129905691
5,2,active,32,0.13464474251863306,0.11965617687130484,0.15928216507951903,0.0396259882082142
6,0,inactive,32,0.047706148540693744,0.028285797527974724,0.07583175559059305,0.047545958062618326
6,1,fairly_active,32,0.0448793074579339,0.012385450295252301,0.08843111574143317,0.07604566544618087
6,2,active,32,0.1084050917261427,0.07891261516555532,0.12302594411983087,0.04411332895427554
7,0,inactive,32,0.05012235034766015,0.03332621627036575,0.08556688628797082,0.05224067001760507
7,1,fairly_active,32,0.072685627857787,0.042042930861385726,0.09977909023293827,0.05773615937155254
7,2,active,32,0.1389839114537031,0.12132047529880792,0.16127083999498953,0.039950364696181614
8,0,inactive,32,0.0799921013565274,0.05607546884052165,0.10691040579249025,0.050834936951968605
8,1,fairly_active,32,0.09024581110374644,0.03994647092989205,0.12101747841420671,0.08107100748431466
8,2,active,32,0.14181119688883595,0.12394723072237497,0.1634863798673831,0.039539149145008126
