year,age_group_code,age_group,boroughs_observed,median_borough_rate,q25_borough_rate,q75_borough_rate,borough_iqr
3,2,16-24,32,0.15049279916710107,0.0805221101352726,0.23828999836569584,0.15776788823042323
3,3,25-34,32,0.07306897085848965,0.046502939353576,0.11873962030867213,0.07223668095509614
3,4,35-44,32,0.0784091155013752,0.06234750110481973,0.10995898220335727,0.04761148109853754
3,5,45-54,32,0.13502797534655137,0.09449307081022577,0.1620245984086183,0.06753152759839252
3,6,55-64,32,0.0809981548077545,0.040262996260629576,0.1109729863881767,0.07070999012754711
3,7,65-74,32,0.06308452692873309,0.026177287712315925,0.13764337337774732,0.1114660856654314
3,8,75-84,32,0.06627242949094996,0.0,0.14468799763484014,0.14468799763484014
3,9,85+,32,0.0,0.0,0.0,0.0
4,2,16-24,32,0.12764104140188376,0.07681639293375005,0.22991723316384505,0.15310084023009501
4,3,25-34,32,0.07706683878743775,0.0518250695463523,0.1331119167883196,0.0812868472419673
4,4,35-44,32,0.08694447929588975,0.055836233382397,0.13296057067838044,0.07712433729598343
4,5,45-54,32,0.10489202951224215,0.07356094552633327,0.1522289666185,0.07866802109216672
4,6,55-64,32,0.05579758849627835,0.041252107973254896,0.1135508246471052,0.0722987166738503
4,7,65-74,32,0.08789874348192644,0.04972426970403175,0.13240313341820648,0.08267886371417472
4,8,75-84,31,0.0588091060906462,0.023874168913525153,0.11726994555820555,0.0933957766446804
4,9,85+,31,0.0,0.0,0.09279722827380449,0.09279722827380449
5,2,16-24,32,0.17074578357455825,0.1246085714875351,0.19157253355586734,0.06696396206833224
5,3,25-34,32,0.1043384789453421,0.07001364954307362,0.1264443173727939,0.05643066782972028
5,4,35-44,32,0.10346318503220715,0.07703373367914428,0.1419493202130641,0.06491558653391984
5,5,45-54,32,0.1418024026301376,0.10323306493014542,0.1776155393814322,0.07438247445128679
5,6,55-64,32,0.10243852498357886,0.039798247005524826,0.1550675506555684,0.11526930365004358
5,7,65-74,32,0.09017505194775369,0.061159621224157176,0.12450462040551666,0.06334499918135948
5,8,75-84,32,0.08862432983884516,0.0,0.15852420794224245,0.15852420794224245
5,9,85+,26,0.0,0.0,0.19832061585978739,0.19832061585978739
6,2,16-24,32,0.1297532599687471,0.07509967585744137,0.1678126757828974,0.09271299992545604
6,3,25-34,32,0.062274670224017,0.047172690218972024,0.09160266227639505,0.04442997205742302
6,4,35-44,32,0.07806591456311646,0.05113814213635565,0.1099068581771719,0.05876871604081625
6,5,45-54,32,0.08928152393410024,0.0629403655061434,0.1072430085052134,0.04430264299907
6,6,55-64,32,0.0807304080407237,0.05799583992702088,0.09814185994926143,0.040146020022240554
6,7,65-74,32,0.07573636801132415,0.029998086662895072,0.0978069666855961,0.06780888002270102
6,8,75-84,32,0.06499659360708379,0.0,0.17628103091632752,0.17628103091632752
6,9,85+,30,0.0,0.0,0.0,0.0
7,2,16-24,32,0.13809321027946844,0.10335846273054708,0.20663444293539224,0.10327598020484516
7,3,25-34,32,0.08698123947587574,0.07115515497078845,0.12419680186659675,0.0530416468958083
7,4,35-44,32,0.1122123446262549,0.07899975971023845,0.14046510091076836,0.061465341200529905
7,5,45-54,32,0.1274497489497807,0.09310040735392243,0.1885716564330244,0.09547124907910197
7,6,55-64,32,0.11805071275028745,0.0937602386050212,0.14925643404321984,0.05549619543819864
7,7,65-74,32,0.1098194422493506,0.0677044356966513,0.13730414645965866,0.06959971076300736
7,8,75-84,32,0.0725017967986085,0.0,0.15399205133268606,0.15399205133268606
7,9,85+,30,0.0,0.0,0.0,0.0
8,2,16-24,32,0.14711687394852135,0.12297971641270254,0.21753799231351492,0.09455827590081238
8,3,25-34,32,0.10549318579807515,0.09146309605623477,0.13501784111584705,0.04355474505961228
8,4,35-44,32,0.11416322642989835,0.07800912999920145,0.1627373144220577,0.08472818442285623
8,5,45-54,32,0.12055901387599235,0.09512597665008243,0.18017659930778676,0.08505062265770433
8,6,55-64,32,0.11538653783100494,0.06408329938993405,0.14835816369693328,0.08427486430699922
8,7,65-74,32,0.1198581423785895,0.09538999078595198,0.15729545981111492,0.061905469025162946
8,8,75-84,32,0.0868725229312273,0.0,0.1447799890784848,0.1447799890784848
8,9,85+,31,0.0,0.0,0.0,0.0
