LA_2023,age_group_code,age_group,observed_years,complete_historical_period,historical_slope,year3_rate,year8_rate,year3_year8_change,slope_pp_per_year,year3_year8_change_pp,borough_name
8,2,16-24,6,True,0.016410187042616445,0.0140158849531597,0.1407954267683174,0.12677954181515771,1.6410187042616444,12.677954181515771,Barking and Dagenham
8,3,25-34,6,True,-0.0012371332927678788,0.0357710365112079,0.0118631592440379,-0.023907877267170002,-0.12371332927678788,-2.3907877267170003,Barking and Dagenham
8,4,35-44,6,True,0.007438130800312142,0.0768877066863334,0.0847926362282693,0.00790492954193589,0.7438130800312143,0.790492954193589,Barking and Dagenham
8,5,45-54,6,True,-0.003765685799021657,0.1453762284453361,0.054559317842582,-0.0908169106027541,-0.3765685799021657,-9.08169106027541,Barking and Dagenham
8,6,55-64,6,True,-0.0001136460323471386,0.0352499261583389,0.021951888745282,-0.0132980374130569,-0.01136460323471386,-1.32980374130569,Barking and Dagenham
8,7,65-74,6,True,-0.008843412682019165,0.1410938092121443,0.0816491430620924,-0.059444666150051895,-0.8843412682019165,-5.944466615005189,Barking and Dagenham
8,8,75-84,6,True,-0.006340655933590453,0.0,0.0,0.0,-0.6340655933590453,0.0,Barking and Dagenham
8,9,85+,6,True,-0.05489465559715834,0.0,0.0,0.0,-5.489465559715834,0.0,Barking and Dagenham
9,2,16-24,6,True,0.019800784481678872,0.1737556877274357,0.136809436694503,-0.0369462510329327,1.9800784481678873,-3.6946251032932698,Barnet
9,3,25-34,6,True,-0.0004117044861138307,0.0724042337534991,0.1081380138760557,0.03573378012255661,-0.04117044861138307,3.573378012255661,Barnet
9,4,35-44,6,True,-0.01330561379326632,0.0582794658091857,0.0550442922120358,-0.0032351735971499,-1.330561379326632,-0.32351735971498996,Barnet
9,5,45-54,6,True,0.027935436137718577,0.0617381945863735,0.1897830190002452,0.1280448244138717,2.793543613771858,12.804482441387169,Barnet
9,6,55-64,6,True,-0.0016945105594226282,0.0976753887466037,0.1332208563303927,0.035545467583789014,-0.1694510559422628,3.554546758378901,Barnet
9,7,65-74,6,True,-0.010122746298503663,0.2365734758831856,0.0971098758722614,-0.13946360001092423,-1.0122746298503662,-13.946360001092422,Barnet
9,8,75-84,6,True,-0.004914081542844564,0.0588234997589715,0.1037085087559272,0.0448850089969557,-0.49140815428445644,4.488500899695571,Barnet
9,9,85+,6,True,0.0,0.0,0.0,0.0,0.0,0.0,Barnet
17,2,16-24,6,True,-0.03436970795069694,0.2800932297169267,0.139009438983777,-0.1410837907331497,-3.4369707950696937,-14.10837907331497,Bexley
17,3,25-34,6,True,0.003665559684374229,0.0737337079634802,0.0745490192337595,0.0008153112702793119,0.3665559684374229,0.0815311270279312,Bexley
17,4,35-44,6,True,0.006807064145691622,0.0813426913444391,0.1261271779449969,0.044784486600557796,0.6807064145691621,4.47844866005578,Bexley
17,5,45-54,6,True,-0.016102226300893755,0.1680726602924438,0.06627607213547,-0.1017965881569738,-1.6102226300893756,-10.17965881569738,Bexley
17,6,55-64,6,True,0.015249343701062042,0.1193124304472939,0.1467705596247256,0.027458129177431706,1.5249343701062041,2.7458129177431707,Bexley
17,7,65-74,6,True,0.010692737946786938,0.1033324110619336,0.1660897663475511,0.0627573552856175,1.0692737946786939,6.27573552856175,Bexley
17,8,75-84,6,True,0.03694012965224031,0.1612412054765625,0.2227202598222299,0.06147905434566739,3.694012965224031,6.147905434566739,Bexley
17,9,85+,6,True,-0.02698893349401246,0.2527376272237949,0.0,-0.2527376272237949,-2.6988933494012457,-25.273762722379487,Bexley
30,2,16-24,6,True,-0.014837971013058842,0.1957543829924305,0.1266815448805876,-0.0690728381118429,-1.4837971013058842,-6.907283811184289,Brent
30,3,25-34,6,True,0.013213121904953206,0.1038384888229129,0.1296019095741521,0.025763420751239205,1.3213121904953207,2.5763420751239203,Brent
30,4,35-44,6,True,-0.0037520565861168813,0.1015672955685607,0.0409930661080003,-0.0605742294605604,-0.37520565861168814,-6.0574229460560405,Brent
30,5,45-54,6,True,-0.02993648156981322,0.1370675103550456,0.0481665298293294,-0.08890098052571621,-2.993648156981322,-8.890098052571622,Brent
30,6,55-64,6,True,0.025481136153897323,0.0953865550661016,0.2185169709253583,0.1231304158592567,2.5481136153897324,12.31304158592567,Brent
30,7,65-74,6,True,0.010329145846781651,0.0,0.1102813234421443,0.1102813234421443,1.032914584678165,11.028132344214429,Brent
30,8,75-84,6,True,-0.0005791727901174791,0.0,0.0,0.0,-0.05791727901174791,0.0,Brent
30,9,85+,6,True,-0.01103493335664714,0.0,0.0,0.0,-1.1034933356647139,0.0,Brent
35,2,16-24,6,True,-0.019985645893746486,0.0,0.1329437810320942,0.1329437810320942,-1.9985645893746486,13.29437810320942,Bromley
35,3,25-34,6,True,-0.020103628443412087,0.2546094633288712,0.1199166965134612,-0.13469276681540998,-2.0103628443412087,-13.469276681540999,Bromley
35,4,35-44,6,True,0.0024092034426803845,0.0999048887413825,0.1747605590951717,0.07485567035378922,0.24092034426803846,7.485567035378922,Bromley
35,5,45-54,6,True,-0.013664471858362814,0.2346266054816968,0.1348480143636899,-0.09977859111800691,-1.3664471858362814,-9.97785911180069,Bromley
35,6,55-64,6,True,-0.014546613675439014,0.1788012883258825,0.0630826112710657,-0.1157186770548168,-1.4546613675439013,-11.57186770548168,Bromley
35,7,65-74,6,True,0.012741690400789906,0.0434886626791073,0.1554150669857758,0.1119264043066685,1.2741690400789907,11.19264043066685,Bromley
35,8,75-84,6,True,0.009071911978099008,0.1781521871753464,0.1911425029081757,0.0129903157328293,0.9071911978099009,1.2990315732829298,Bromley
35,9,85+,6,True,0.008853223729940487,0.0,0.0,0.0,0.8853223729940487,0.0,Bromley
44,2,16-24,6,True,0.0070151595211237604,0.1362865145136272,0.138991032966824,0.0027045184531968025,0.701515952112376,0.27045184531968025,Camden
44,3,25-34,6,True,0.004157448040845099,0.0,0.0971048226541429,0.0971048226541429,0.4157448040845099,9.71048226541429,Camden
44,4,35-44,6,True,0.02365024058991241,0.0426331086478167,0.2032943095383431,0.1606612008905264,2.365024058991241,16.066120089052642,Camden
44,5,45-54,6,True,0.010520599742272655,0.0819809457662063,0.1201281480761936,0.03814720230998729,1.0520599742272656,3.814720230998729,Camden
44,6,55-64,6,True,0.0014416741698062745,0.0799664442955221,0.0644168620962235,-0.015549582199298598,0.14416741698062746,-1.5549582199298597,Camden
44,7,65-74,6,True,0.02501344669402643,0.136493228099615,0.3007397085419624,0.1642464804423474,2.5013446694026427,16.42464804423474,Camden
44,8,75-84,6,True,0.002522611976131933,0.0,0.0,0.0,0.25226119761319327,0.0,Camden
44,9,85+,5,False,,0.1544379979438641,0.3893886161014656,0.2349506181576015,,23.49506181576015,Camden
68,2,16-24,6,True,-0.03972127541290314,0.4957914497990649,0.1927475039694993,-0.3030439458295656,-3.9721275412903143,-30.30439458295656,Croydon
68,3,25-34,6,True,0.002210943479826242,0.0852726482958087,0.1652106450298921,0.0799379967340834,0.2210943479826242,7.99379967340834,Croydon
68,4,35-44,6,True,-0.0003893166396136429,0.1569755341693095,0.1747297364388737,0.0177542022695642,-0.038931663961364285,1.77542022695642,Croydon
68,5,45-54,6,True,-0.011665939307904449,0.1242009084008692,0.1150694174560084,-0.009131490944860793,-1.166593930790445,-0.9131490944860793,Croydon
68,6,55-64,6,True,-0.01450666806949474,0.1931839737347335,0.1235877635087129,-0.06959621022602061,-1.450666806949474,-6.959621022602061,Croydon
68,7,65-74,6,True,0.01260274231903371,0.1077566765417292,0.1802983858678723,0.07254170932614311,1.2602742319033708,7.2541709326143105,Croydon
68,8,75-84,6,True,-0.007806459106137582,0.1879481553577467,0.1444180719091273,-0.04353008344861939,-0.7806459106137582,-4.353008344861939,Croydon
68,9,85+,6,True,0.013294089711875238,0.0598588650504661,0.0,-0.0598588650504661,1.3294089711875239,-5.98588650504661,Croydon
78,2,16-24,6,True,-0.0066617451481443225,0.3507515797769513,0.2374752869271083,-0.11327629284984303,-0.6661745148144322,-11.327629284984303,Ealing
