year,activity_level_3cat,activity_level_3cat_label,median_borough_rate,boroughs_observed
3,0,inactive,0.0459445567907002,32
3,1,fairly_active,0.045570102190676545,32
3,2,active,0.12649165084897845,32
4,0,inactive,0.02755517846745955,32
4,1,fairly_active,0.06625273376845445,32
4,2,active,0.12261014439887465,32
5,0,inactive,0.0748611199417721,32
5,1,fairly_active,0.0948994616950144,32
5,2,active,0.13464474251863306,32
6,0,inactive,0.047706148540693744,32
6,1,fairly_active,0.0448793074579339,32
6,2,active,0.1084050917261427,32
7,0,inactive,0.05012235034766015,32
7,1,fairly_active,0.072685627857787,32
7,2,active,0.1389839114537031,32
8,0,inactive,0.0799921013565274,32
8,1,fairly_active,0.09024581110374644,32
8,2,active,0.14181119688883595,32
