year,age_group_code,age_group,median_borough_rate,boroughs_observed
3,2,16-24,0.15049279916710107,32
3,3,25-34,0.07306897085848965,32
3,4,35-44,0.0784091155013752,32
3,5,45-54,0.13502797534655137,32
3,6,55-64,0.0809981548077545,32
3,7,65-74,0.06308452692873309,32
3,8,75-84,0.06627242949094996,32
3,9,85+,0.0,32
4,2,16-24,0.12764104140188376,32
4,3,25-34,0.07706683878743775,32
4,4,35-44,0.08694447929588975,32
4,5,45-54,0.10489202951224215,32
4,6,55-64,0.05579758849627835,32
4,7,65-74,0.08789874348192644,32
4,8,75-84,0.0588091060906462,31
4,9,85+,0.0,31
5,2,16-24,0.17074578357455825,32
5,3,25-34,0.1043384789453421,32
5,4,35-44,0.10346318503220715,32
5,5,45-54,0.1418024026301376,32
5,6,55-64,0.10243852498357886,32
5,7,65-74,0.09017505194775369,32
5,8,75-84,0.08862432983884516,32
5,9,85+,0.0,26
6,2,16-24,0.1297532599687471,32
6,3,25-34,0.062274670224017,32
6,4,35-44,0.07806591456311646,32
6,5,45-54,0.08928152393410024,32
6,6,55-64,0.0807304080407237,32
6,7,65-74,0.07573636801132415,32
6,8,75-84,0.06499659360708379,32
6,9,85+,0.0,30
7,2,16-24,0.13809321027946844,32
7,3,25-34,0.08698123947587574,32
7,4,35-44,0.1122123446262549,32
7,5,45-54,0.1274497489497807,32
7,6,55-64,0.11805071275028745,32
7,7,65-74,0.1098194422493506,32
7,8,75-84,0.0725017967986085,32
7,9,85+,0.0,30
8,2,16-24,0.14711687394852135,32
8,3,25-34,0.10549318579807515,32
8,4,35-44,0.11416322642989835,32
8,5,45-54,0.12055901387599235,32
8,6,55-64,0.11538653783100494,32
8,7,65-74,0.1198581423785895,32
8,8,75-84,0.0868725229312273,32
8,9,85+,0.0,31
