year,age_group_code,age_group,median_active_inactive_gap,median_fairly_inactive_gap,boroughs_with_active_inactive_gap,boroughs_with_fairly_inactive_gap
3,2,16-24,0.1448538935702267,0.0,29,28
3,3,25-34,0.059192564263219,0.0,32,32
3,4,35-44,0.07999440583504805,0.0,32,32
3,5,45-54,0.15718697311838048,0.0,32,32
3,6,55-64,0.0886076539689977,0.0,32,32
3,7,65-74,0.07077297831018495,0.0,32,31
3,8,75-84,0.0820154490129181,0.0,32,30
3,9,85+,0.0,0.0,21,15
4,2,16-24,0.11930596496662005,0.0,30,23
4,3,25-34,0.06860694214757045,0.0,32,32
4,4,35-44,0.07415997547339745,0.0,32,32
4,5,45-54,0.09077045234082384,0.0,32,32
4,6,55-64,0.0714998168570624,0.0,32,32
4,7,65-74,0.11484118900204077,0.0,32,32
4,8,75-84,0.1039623356472036,0.0,31,29
4,9,85+,0.0,0.0,19,20
5,2,16-24,0.1129356902521738,0.0,32,31
5,3,25-34,0.06444718300798036,0.0,32,32
5,4,35-44,0.054995120384584394,0.0,32,32
5,5,45-54,0.13199769496324096,0.0,32,31
5,6,55-64,0.03585488873429735,0.0,32,32
5,7,65-74,0.10994379317861405,0.0,32,31
5,8,75-84,0.054612125522181545,0.0,30,24
5,9,85+,0.0,0.0,8,1
6,2,16-24,0.06382032037741245,0.0,32,30
6,3,25-34,0.06391359117395964,0.0,32,32
6,4,35-44,0.0574069774191168,0.0,32,32
6,5,45-54,0.0753836908809858,0.0,32,32
6,6,55-64,0.0506759455703552,0.0,32,32
6,7,65-74,0.06773154372989365,0.0,32,29
6,8,75-84,0.0724057371575606,0.0,31,23
6,9,85+,0.0,0.0,12,5
7,2,16-24,0.05640264124074145,0.0,32,30
7,3,25-34,0.07615916552467965,0.0,32,32
7,4,35-44,0.08483693409312565,0.00803546557982925,32,32
7,5,45-54,0.10864251813999705,0.0,32,32
7,6,55-64,0.10662027239959004,0.0,32,31
7,7,65-74,0.08779091276381115,0.0,32,30
7,8,75-84,0.1022990241295413,0.0,31,25
7,9,85+,0.0,0.0,16,6
8,2,16-24,0.09205535738050839,0.0,31,30
8,3,25-34,0.04972973301041014,-0.0177758058141985,32,32
8,4,35-44,0.06009286009787355,0.0,32,32
8,5,45-54,0.09773307998604035,0.0,32,32
8,6,55-64,0.088862692318914,0.0,32,32
8,7,65-74,0.11578934878023614,0.0,32,31
8,8,75-84,0.0,0.0,31,27
8,9,85+,0.0,0.0,15,5
