year,LA_2023,age_group_code,age_group,frequent_volunteer_rate,borough_name
8,8,2,16-24,0.1407954267683174,Barking and Dagenham
8,8,3,25-34,0.0118631592440379,Barking and Dagenham
8,8,4,35-44,0.0847926362282693,Barking and Dagenham
8,8,5,45-54,0.054559317842582,Barking and Dagenham
8,8,6,55-64,0.021951888745282,Barking and Dagenham
8,8,7,65-74,0.0816491430620924,Barking and Dagenham
8,8,8,75-84,0.0,Barking and Dagenham
8,8,9,85+,0.0,Barking and Dagenham
8,9,2,16-24,0.136809436694503,Barnet
8,9,3,25-34,0.1081380138760557,Barnet
8,9,4,35-44,0.0550442922120358,Barnet
8,9,5,45-54,0.1897830190002452,Barnet
8,9,6,55-64,0.1332208563303927,Barnet
8,9,7,65-74,0.0971098758722614,Barnet
8,9,8,75-84,0.1037085087559272,Barnet
8,9,9,85+,0.0,Barnet
8,17,2,16-24,0.139009438983777,Bexley
8,17,3,25-34,0.0745490192337595,Bexley
8,17,4,35-44,0.1261271779449969,Bexley
8,17,5,45-54,0.06627607213547,Bexley
8,17,6,55-64,0.1467705596247256,Bexley
8,17,7,65-74,0.1660897663475511,Bexley
8,17,8,75-84,0.2227202598222299,Bexley
8,17,9,85+,0.0,Bexley
8,30,2,16-24,0.1266815448805876,Brent
8,30,3,25-34,0.1296019095741521,Brent
8,30,4,35-44,0.0409930661080003,Brent
8,30,5,45-54,0.0481665298293294,Brent
8,30,6,55-64,0.2185169709253583,Brent
8,30,7,65-74,0.1102813234421443,Brent
8,30,8,75-84,0.0,Brent
8,30,9,85+,0.0,Brent
8,35,2,16-24,0.1329437810320942,Bromley
8,35,3,25-34,0.1199166965134612,Bromley
8,35,4,35-44,0.1747605590951717,Bromley
8,35,5,45-54,0.1348480143636899,Bromley
8,35,6,55-64,0.0630826112710657,Bromley
8,35,7,65-74,0.1554150669857758,Bromley
8,35,8,75-84,0.1911425029081757,Bromley
8,35,9,85+,0.0,Bromley
8,44,2,16-24,0.138991032966824,Camden
8,44,3,25-34,0.0971048226541429,Camden
8,44,4,35-44,0.2032943095383431,Camden
8,44,5,45-54,0.1201281480761936,Camden
8,44,6,55-64,0.0644168620962235,Camden
8,44,7,65-74,0.3007397085419624,Camden
8,44,8,75-84,0.0,Camden
8,44,9,85+,0.3893886161014656,Camden
8,68,2,16-24,0.1927475039694993,Croydon
8,68,3,25-34,0.1652106450298921,Croydon
8,68,4,35-44,0.1747297364388737,Croydon
8,68,5,45-54,0.1150694174560084,Croydon
8,68,6,55-64,0.1235877635087129,Croydon
8,68,7,65-74,0.1802983858678723,Croydon
8,68,8,75-84,0.1444180719091273,Croydon
8,68,9,85+,0.0,Croydon
8,78,2,16-24,0.2374752869271083,Ealing
8,78,3,25-34,0.1086282749866392,Ealing
8,78,4,35-44,0.2341997299602941,Ealing
8,78,5,45-54,0.0729888922299857,Ealing
8,78,6,55-64,0.1802087151102049,Ealing
8,78,7,65-74,0.0902303355270237,Ealing
8,78,8,75-84,0.0961920669437747,Ealing
8,78,9,85+,0.0,Ealing
8,91,2,16-24,0.1954980764691223,Enfield
8,91,3,25-34,0.1670437671848623,Enfield
8,91,4,35-44,0.1507412618990158,Enfield
8,91,5,45-54,0.2425852217747439,Enfield
8,91,6,55-64,0.1023560787826209,Enfield
8,91,7,65-74,0.1450885133922393,Enfield
8,91,8,75-84,0.0,Enfield
8,91,9,85+,0.0,Enfield
8,107,2,16-24,0.1830338869817772,Greenwich
8,107,3,25-34,0.062170666090344,Greenwich
8,107,4,35-44,0.1498867779151033,Greenwich
8,107,5,45-54,0.1118530314589703,Greenwich
8,107,6,55-64,0.1111960470819738,Greenwich
8,107,7,65-74,0.1071708277366629,Greenwich
8,107,8,75-84,0.0852003854696602,Greenwich
8,107,9,85+,0.0,Greenwich
8,109,2,16-24,0.1277280054326884,Hackney
8,109,3,25-34,0.0969215685548594,Hackney
8,109,4,35-44,0.1080165143988063,Hackney
8,109,5,45-54,0.1028343749638182,Hackney
8,109,6,55-64,0.0892493756523148,Hackney
8,109,7,65-74,0.0879778713050493,Hackney
8,109,8,75-84,0.0,Hackney
8,109,9,85+,1.0,Hackney
8,112,2,16-24,0.2261142180682152,Hammersmith and Fulham
8,112,3,25-34,0.0640628486811424,Hammersmith and Fulham
8,112,4,35-44,0.0746204593332339,Hammersmith and Fulham
8,112,5,45-54,0.147227748110462,Hammersmith and Fulham
8,112,6,55-64,0.0343414090032645,Hammersmith and Fulham
8,112,7,65-74,0.1168822183638024,Hammersmith and Fulham
