task,model,candidate_id,parameters_json,train_end_year,validation_year,validation_target_rows,common_rows,common_observations,common_weighted_tv,common_mae,common_rmse,common_weighted_rmse,common_r2,common_mean_error,common_clipped_predictions,common_clip_rate,all_observations,all_weighted_tv,all_mae,all_rmse,all_weighted_rmse,all_r2,all_mean_error,all_clipped_predictions,all_clip_rate
borough_age_activity,Naive baseline,Naive baseline_01,{},4,5,677,677,677,0.0936225957948082,0.10820006680546691,0.1760137677615986,0.13372943482275568,-0.7548829801451431,-0.024160230705450387,0,0.0,677,0.0936225957948082,0.10820006680546691,0.1760137677615986,0.13372943482275568,-0.7548829801451431,-0.024160230705450387,0,0.0
borough_age_activity,Naive baseline,Naive baseline_01,{},5,6,669,669,669,0.08609117220766328,0.10640554424997416,0.18658017015547962,0.12888369103114172,-1.1674539513965314,0.030787901252496908,0,0.0,669,0.08609117220766328,0.10640554424997416,0.18658017015547962,0.12888369103114172,-1.1674539513965314,0.030787901252496908,0,0.0
borough_age_activity,Naive baseline,Naive baseline_01,{},6,7,681,681,681,0.0855739766909886,0.09803614221327069,0.17129400813364726,0.12531277900623874,-0.9300921646282316,-0.0176040670645852,0,0.0,681,0.0855739766909886,0.09803614221327069,0.17129400813364726,0.12531277900623874,-0.9300921646282316,-0.0176040670645852,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",4,5,695,677,677,0.08089562655411607,0.0839712373953384,0.14581788943603055,0.11569274546031129,-0.20441595156320935,-0.07168802974380713,254,0.37518463810930575,695,0.08166060387767338,0.0878168240489142,0.16011733533932748,0.11839956899322822,-0.20510017476627995,-0.07583606086844764,269,0.38705035971223023
borough_age_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",5,6,704,669,669,0.0880655187149164,0.10357369878854499,0.13560052213666127,0.10382370634607221,-0.1448316659250546,0.05589235663382162,0,0.0,704,0.08856876679834345,0.10591987097888192,0.13675727410363223,0.10441942176940391,-0.17707841270285463,0.05871576714347819,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",6,7,713,681,681,0.06378750335995037,0.0819911664411667,0.11935022872833925,0.08782965135331414,0.06299865182535946,-0.006427782218117974,3,0.004405286343612335,713,0.06408477342688403,0.08296346267690216,0.1239009444212724,0.08877979246639872,0.05864266406520324,-0.006334254117320997,3,0.004207573632538569
borough_age_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",4,5,695,677,677,0.08086621441701733,0.08396317325469227,0.1457949762876505,0.11566088175727415,-0.20403746860358418,-0.07164233613672981,254,0.37518463810930575,695,0.08163130082004344,0.08780892384338272,0.16009599578356298,0.1183683817248771,-0.20477897795566302,-0.07579110677885502,269,0.38705035971223023
borough_age_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",5,6,704,669,669,0.088043633618795,0.10356894419370455,0.1355917512421229,0.10379696952017017,-0.1446835710223786,0.05588723147050036,0,0.0,704,0.0885470304522416,0.10591583299140396,0.1367490838572216,0.10439291342206636,-0.176937428998311,0.058711552045344735,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",6,7,713,681,681,0.06378429426049456,0.08199087127253865,0.11934620331504052,0.087826555151125,0.06306185663226471,-0.006433372672920193,3,0.004405286343612335,713,0.06408166997022416,0.08296408365676122,0.12389712875617973,0.0887766702751764,0.05870064342984682,-0.006338566613701309,3,0.004207573632538569
borough_age_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",4,5,695,677,677,0.08058324091642312,0.08388918311894425,0.1455746984832475,0.11535589522116647,-0.2004019198663205,-0.07119561194656983,248,0.3663220088626292,695,0.08134937946914671,0.08773645139993914,0.1598908466135072,0.11806987461134541,-0.20169331613734132,-0.07535163615366468,262,0.376978417266187
