task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,mean_rmse,mean_weighted_rmse,mean_r2,mean_error,mean_clip_rate,mean_common_rows,mean_all_rows,se_weighted_tv,naive_mean_weighted_tv,skill_vs_naive
borough_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.035298565532395514,0.002524033705190668,0.03783534131951155,0.03917299229533607,0.049971763092374694,0.04409698826838357,0.032160730686191595,-0.008862413004036595,0.0,96.0,96.0,0.0014572515391355209,0.04412036473334671,0.19994846493831397
borough_activity,Naive baseline,Naive baseline_01,{},3,0.04412036473334671,0.002035492305801351,0.04552950603779558,0.050956267697151864,0.06515827895961944,0.05584641484865749,-0.6596261742709625,-0.005502656700623061,0.0,96.0,96.0,0.0011751920306878221,0.04412036473334671,0.0
borough_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",3,0.03409226106790395,0.002448519589597959,0.0366746455899619,0.038667478367898696,0.04897805964266877,0.042704409417920225,0.06219903448698135,-0.00369368625431102,0.0,96.0,96.0,0.0014136534441704538,0.04412036473334671,0.22728968189747067
borough_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",3,0.03893094497556979,0.002922506402153673,0.040864147651348465,0.042473090140257186,0.05210599784754081,0.04709611168459144,-0.07345426868116615,-0.0018176220858126056,0.0,96.0,96.0,0.0016873098579918279,0.04412036473334671,0.11761960240221447
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",3,0.04714445090915546,0.0029134702173108894,0.04920251327361635,0.06024333337242013,0.09903411331160535,0.063329748984232,-0.013706470731613426,-0.015340611736362753,0.0,249.66666666666666,252.66666666666666,0.0016820928142403995,0.06714042416647602,0.29782315952815774
borough_age,Naive baseline,Naive baseline_01,{},3,0.06714042416647602,0.002552874148034097,0.06999251298691611,0.082769550751636,0.13931300620341514,0.09031842785782168,-1.156611017840672,-0.004367377399429072,0.0,249.66666666666666,249.66666666666666,0.0014739025765747225,0.06714042416647602,0.0
borough_age,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.049273757979357825,0.0015628562286388262,0.05107838310652813,0.06439655193104342,0.10005229159817586,0.06444859734766252,-0.0375936323413835,-0.003927976619428657,0.0,249.66666666666666,252.66666666666666,0.0009023154643093097,0.06714042416647602,0.26610892631267025
borough_age,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",3,0.04782443187485649,0.0027507948917930413,0.050995006482798484,0.0655586393612108,0.10003312611423952,0.06384302456692158,-0.038148248600887946,-0.0054605625239925034,0.0,249.66666666666666,252.66666666666666,0.00158817217126216,0.06714042416647602,0.28769541645618946
borough_age_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",3,0.06253287296198125,0.004662621639246937,0.06671404278071863,0.0768298957022699,0.12722499128723178,0.0905421052726527,0.006792509768115074,-0.023405009824484003,0.0,675.6666666666666,704.0,0.0026919658585485935,0.08842924823115335,0.2928485290463986
borough_age_activity,Naive baseline,Naive baseline_01,{},3,0.08842924823115335,0.004504999110799776,0.0936225957948082,0.10421391775623724,0.17796264868357517,0.12930863495337871,-0.950809698723302,-0.003658798839179559,0.0,675.6666666666666,675.6666666666666,0.0026009624493192754,0.08842924823115335,0.0
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",3,0.064874507400805,0.001681115823925716,0.06596566388585526,0.08374428168946368,0.12549742789045748,0.08894524159846022,0.03315417630462888,-0.002510496684807928,0.0,675.6666666666666,704.0,0.0009705926734824517,0.08842924823115335,0.2663682130235513
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",3,0.07049997248986829,0.009702141608253225,0.0779193565829898,0.089860471468295,0.1287367676792097,0.09604047248361243,-0.01697167178095227,-0.006599630116208631,0.0,675.6666666666666,704.0,0.005601534069240868,0.08842924823115335,0.20275277806747916
