task,model,candidate_id,parameters_json,folds,mean_weighted_tv,sd_weighted_tv,worst_weighted_tv,mean_mae,se_weighted_tv
borough_activity,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",2,0.03578450617894495,0.005810771785520482,0.03989334231241394,0.03767104669536156,0.004108836133468996
borough_activity,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.03746783958722595,0.0021111627966942555,0.03896065711695722,0.038836794347834304,0.0014928175297312645
borough_activity,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.03723710749851912,0.0015615359522017929,0.0383412801593876,0.03868385623384101,0.0011041726608684802
borough_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",2,0.036554113363721184,0.0018119299515702923,0.03783534131951155,0.03827657205294566,0.0012812279557903661
borough_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.039539392220888966,0.002372632814788565,0.041217096973491685,0.03956587017300521,0.00167770475260272
borough_activity,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.037311241777830295,0.0011263761814836952,0.03810771001392443,0.03908651801446916,0.0007964682360941301
borough_activity,Naive baseline,Naive baseline_01,{},2,0.04365809964434507,0.002646568302329421,0.04552950603779558,0.04857214810197286,0.0018714063934505022
borough_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",2,0.03423943072043457,0.003443913895778177,0.0366746455899619,0.03761595498349847,0.0024352148695273297
borough_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.03644737975544076,0.0021245890936116723,0.037949691110768555,0.03832390242212421,0.001502311355327794
borough_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.03706134866416599,0.0015596519878602938,0.03816418916107308,0.038545884426159256,0.0011028404969070926
borough_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.039536743579253,7.099110076385872e-05,0.03958694186800702,0.03996352707642194,5.019828875402199e-05
borough_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.04012178685707486,0.000765054024109297,0.0406627617454966,0.040071142877551515,0.0005409748884217403
borough_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",2,0.04672390314120925,0.02515943999743798,0.0645143137742537,0.048997970378524436,0.01779041063304445
borough_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",2,0.04668777525000185,0.025163215176351797,0.06448085533765646,0.04896059931068783,0.0177930800876546
borough_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",2,0.046352970495302154,0.025117084299582818,0.06411343112717133,0.048609523249592085,0.017760460631869174
borough_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",2,0.044014948606332344,0.02203763892788679,0.05959791253358173,0.04633427441697702,0.015582963927249385
borough_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",2,0.03796434363768045,0.003387650876758353,0.04035977454492883,0.04176362327449659,0.0023954309072483845
borough_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",2,0.038353023963134975,0.011661911812361413,0.04659924088725523,0.04170111821426363,0.008246216924120255
borough_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",2,0.041303996205514476,0.013041870705051344,0.05052599142041446,0.043134314823043834,0.009221995214899985
borough_age,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",2,0.046888617898225696,0.0021992707457729635,0.048443737156226956,0.056896690953287726,0.001555119258001258
borough_age,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.04777448412628431,0.0029065904612322916,0.0498297539515538,0.05693170846001677,0.0020552698252694884
borough_age,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.047505688873172205,0.0032985484360954728,0.049838114840407594,0.05680356985692242,0.00233242596723539
borough_age,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",2,0.046506621805187026,0.0038125662773386684,0.04920251327361635,0.05643508306559891,0.0026958914684293237
borough_age,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.04815262261361196,0.0017445970850983943,0.049386239042923316,0.05712200757119063,0.001233616429311359
borough_age,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.050257481864861855,0.001042945177603459,0.05099495547235107,0.06369865251165635,0.000737473607489214
borough_age,Naive baseline,Naive baseline_01,{},2,0.06571437975625598,0.0009125332168653766,0.06635963818195946,0.08035655265458622,0.0006452584257034821
borough_age,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",2,0.05031568053903876,0.004039915408527042,0.05317233211982825,0.06340599263976376,0.0028566515807894924
borough_age,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.05055783773830906,0.0027926782030289906,0.05253255943334272,0.06425057268125439,0.001974721695033661
borough_age,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.04972689568641711,0.0019112918388976378,0.05107838310652813,0.06263276280740408,0.001351487420111026
borough_age,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.05227520958744357,0.0034277659493336574,0.054699006134537737,0.06570179837284879,0.0024237965470941727
borough_age,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.05147365360783196,0.0013540484771580351,0.05243111046808572,0.06369438439357725,0.0009574568602537646
borough_age,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",2,0.0631619536785811,0.017828801166738597,0.0757688198840086,0.07342829045198865,0.01260686620542749
borough_age,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",2,0.06313815250932357,0.017836812665575037,0.07575068369990579,0.07341419059142357,0.012612531190582206
borough_age,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",2,0.06291075396675053,0.01790308430173034,0.07557014628065847,0.07327991192094019,0.012659392313907947
borough_age,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",2,0.06129192951387699,0.01782721754961593,0.07389767593289824,0.07230411257490149,0.01260574641902125
borough_age,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",2,0.05557238161144924,0.012868023486344745,0.06467144827911137,0.06867776961983593,0.009099066667662128
borough_age,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",2,0.04922637820996665,0.004443485066689825,0.05236839663272418,0.06419156247963291,0.0031420184227575333
borough_age,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",2,0.046239144570885495,0.00023437162080676064,0.04640487033327564,0.061751324153626316,0.00016572576239014258
borough_age_activity,Gradient Boosting,Gradient Boosting_01,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 1, ""min_leaf_fraction"": 0.05, ""n_estimators"": 120}",2,0.06758187847983253,0.012914275045728429,0.07671364993877532,0.08233014524552348,0.009131771458942783
borough_age_activity,Gradient Boosting,Gradient Boosting_02,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.05993552239335293,0.005997710011699919,0.06417654381421639,0.07514817472752316,0.00424102142086346
borough_age_activity,Gradient Boosting,Gradient Boosting_03,"{""learning_rate"": 0.025, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.06005471578094279,0.006484571861140621,0.0646400005170468,0.07544541652189851,0.004585284736104004
borough_age_activity,Gradient Boosting,Gradient Boosting_04,"{""learning_rate"": 0.01, ""loss"": ""huber"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 400}",2,0.060348973561981815,0.008201953823470087,0.06614863072953645,0.07618208576040175,0.00579965716755463
borough_age_activity,Gradient Boosting,Gradient Boosting_05,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 3, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.06044228805261257,0.004154131620672017,0.06337970269153122,0.07500198028773991,0.002937414638918646
borough_age_activity,Gradient Boosting,Gradient Boosting_06,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 2, ""min_leaf_fraction"": 0.02, ""n_estimators"": 150}",2,0.06331602353964895,0.0030648856094233736,0.06548322493763328,0.08391302050402755,0.002167201397984332
borough_age_activity,Naive baseline,Naive baseline_01,{},2,0.08583257444932593,0.0003657124570399465,0.08609117220766328,0.10222084323162242,0.0002585977583373401
borough_age_activity,Random Forest,Random Forest_01,"{""max_depth"": 4, ""max_features"": 0.5, ""min_leaf_fraction"": 0.05, ""n_estimators"": 250}",2,0.06817633910370682,0.006861873430987735,0.07302841633840206,0.08897885891002978,0.004852077234695228
borough_age_activity,Random Forest,Random Forest_02,"{""max_depth"": 6, ""max_features"": 0.5, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.06503006041128931,0.0026317806763525944,0.06689101037413395,0.08584536509467754,0.001860949962844638
borough_age_activity,Random Forest,Random Forest_03,"{""max_depth"": 8, ""max_features"": 0.5, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.06461324426871748,0.00243913025794729,0.0663379698143093,0.08485163033091844,0.0017247255455918216
borough_age_activity,Random Forest,Random Forest_04,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.02, ""n_estimators"": 250}",2,0.06484322992716926,0.0014518263172967818,0.0658698261612349,0.08520182836431223,0.0010265962340656465
borough_age_activity,Random Forest,Random Forest_05,"{""max_depth"": null, ""max_features"": 0.8, ""min_leaf_fraction"": 0.01, ""n_estimators"": 250}",2,0.06432892915827987,0.0019663079907801923,0.06571931887246184,0.08403705245286791,0.0013903897141819693
borough_age_activity,Ridge Regression,Ridge Regression_01,"{""alpha"": 0.01}",2,0.07592651103743339,0.01716714929124761,0.0880655187149164,0.09278243261485584,0.012139007677483016
borough_age_activity,Ridge Regression,Ridge Regression_02,"{""alpha"": 0.1}",2,0.07591396393964478,0.017153943367359946,0.088043633618795,0.0927799077331216,0.012129669679150216
borough_age_activity,Ridge Regression,Ridge Regression_03,"{""alpha"": 1.0}",2,0.07578973734087772,0.017023078700322793,0.08782687172654825,0.09275480810095227,0.012037134385670526
borough_age_activity,Ridge Regression,Ridge Regression_04,"{""alpha"": 10.0}",2,0.07467274434987065,0.015816487388181477,0.08585668983660528,0.0925253532629374,0.011183945486734627
borough_age_activity,Ridge Regression,Ridge Regression_05,"{""alpha"": 100.0}",2,0.07036438157253155,0.007834786098203605,0.0759044119517174,0.09192693039126998,0.00554003037918586
borough_age_activity,Ridge Regression,Ridge Regression_06,"{""alpha"": 1000.0}",2,0.06765930438861886,0.0055566961808252435,0.07158848193907379,0.09050604132844456,0.003929177550454919
borough_age_activity,Ridge Regression,Ridge Regression_07,"{""alpha"": 10000.0}",2,0.06679028044330754,0.010280671821009574,0.07405981320309686,0.0885288883832095,0.007269532759789322
