task,model,candidate_id,observations,weighted_tv,mae,rmse,weighted_rmse,r2,mean_error,clipped_predictions,clip_rate
borough_activity,Gradient Boosting,Gradient Boosting_04,96,0.029224009679357284,0.03694205289382584,0.04938652932421152,0.04006344607375228,0.20079708441578992,-0.01653092829925576,0,0.0
borough_activity,Naive baseline,Naive baseline_01,96,0.038234552306208196,0.04603112017324151,0.05818436163413659,0.04861278865482604,-0.10930914572511741,-0.011451953877903246,0,0.0
borough_activity,Random Forest,Random Forest_01,96,0.031751038046077186,0.03840647737078272,0.050562111663215566,0.04261386891369683,0.16229626327706825,-0.018387387388902166,0,0.0
borough_activity,Ridge Regression,Ridge Regression_05,96,0.03235044581306457,0.037232825643152605,0.0489949464649078,0.0427943543089971,0.21342050499723098,-0.013973465349932468,0,0.0
borough_age,Gradient Boosting,Gradient Boosting_04,255,0.050292588760969696,0.059372352593885624,0.10494494817013765,0.0668232987670807,-0.009433518523429552,-0.025374113509892257,0,0.0
borough_age,Naive baseline,Naive baseline_01,253,0.06638819658391666,0.07390139958878364,0.12277224684064914,0.08681351636367968,-0.4150030536365579,-0.010435194136764777,0,0.0
borough_age,Random Forest,Random Forest_03,255,0.04829960856640739,0.0595039810140078,0.10268444650110942,0.06402757242526685,0.03358429340814029,-0.014521058066051792,0,0.0
borough_age,Ridge Regression,Ridge Regression_07,255,0.05169057088060877,0.06700143901530346,0.1055844410473618,0.06914796272829736,-0.02177317554736069,-0.016419139329575626,0,0.0
borough_age_activity,Gradient Boosting,Gradient Boosting_05,716,0.06856450519261083,0.08427441967927926,0.1445223481319928,0.09762075444835583,-0.010761314083784335,-0.03499329653687749,0,0.0
borough_age_activity,Naive baseline,Naive baseline_01,685,0.08920252484723512,0.10892256876720512,0.18415350178251913,0.1266580140639248,-0.7002559089973808,-0.010593033591497858,0,0.0
borough_age_activity,Random Forest,Random Forest_05,716,0.0688018617540999,0.08938165240420114,0.1410482392885633,0.0948150272867418,0.03724910408065607,-0.016835838656971826,0,0.0
borough_age_activity,Ridge Regression,Ridge Regression_07,716,0.07899706364642874,0.0981696790644618,0.144411647564643,0.10552623873041633,-0.009213470457302586,-0.016692542554738534,0,0.0
