task,group_type,group,observations,weighted_tv,mae,rmse,weighted_rmse,r2,mean_error,clipped_predictions,clip_rate
borough_age_activity,Effective sample size,<5,265,0.09194629582630348,0.0981974829338253,0.1932552076179402,0.16437141883151835,-0.028296913867611018,-0.0294444030819588,0,0.0
borough_age_activity,Effective sample size,5-10,170,0.0889293949792358,0.09296602901133777,0.1332296521473949,0.12639782780937703,-0.14646719283576148,-0.04543433887058627,0,0.0
borough_age_activity,Effective sample size,10-30,201,0.06806316062802711,0.06914388517972732,0.0888225454293235,0.08656363015870025,0.030341662530492197,-0.03406415625427101,0,0.0
borough_age_activity,Effective sample size,>=30,80,0.05658083975857353,0.05770007074809543,0.07537191782409988,0.07383993189135268,-0.05757217282508553,-0.033521256107213224,0,0.0
borough_age_activity,Small cell,False,148,0.0584247565507124,0.05985033456287058,0.07686853848483968,0.07539471110038536,-0.024548912299460435,-0.02685169534055208,0,0.0
borough_age_activity,Small cell,True,568,0.08186968373037526,0.09063844185749843,0.15744653371256076,0.12073000654073607,-0.02975321337829029,-0.037114699665497485,0,0.0
borough_age_activity,Age group,16-24,93,0.08897591617920646,0.1036148145515377,0.16830218844093595,0.12609903197378006,-0.06458774274750634,-0.05226522828358714,0,0.0
borough_age_activity,Age group,25-34,96,0.05922313649584427,0.07825698343230798,0.11478628417581695,0.08821335971262234,-0.10140161648572499,-0.03634257520068061,0,0.0
borough_age_activity,Age group,35-44,96,0.06424796198131864,0.075024144800656,0.10875358260946978,0.08670358787511413,-0.05230821241525141,-0.033398306137152535,0,0.0
borough_age_activity,Age group,45-54,96,0.06685703116205875,0.07729471105138505,0.1144828159522806,0.09035973816503673,0.062283767153413994,-0.0316818052282929,0,0.0
borough_age_activity,Age group,55-64,96,0.06476429577652229,0.06762257636982204,0.09438948875849765,0.08361641417841341,0.1374302766626887,-0.014697727024832468,0,0.0
borough_age_activity,Age group,65-74,95,0.07252140899359023,0.0753318550221693,0.09872859784173843,0.09095680755057414,0.10545646164140643,-0.030704080620473376,0,0.0
borough_age_activity,Age group,75-84,91,0.08350148657378623,0.10013530294175732,0.19531636191562254,0.13491017829276192,-0.06460789373221987,-0.03779661214603808,0,0.0
borough_age_activity,Age group,85+,53,0.09938845317976577,0.1095928309332928,0.25362559964702164,0.23085577432661297,-0.05105717983180691,-0.050765943793664496,0,0.0
borough_age_activity,Activity level,active,246,0.06270876130336973,0.07374127604644252,0.1143540552466538,0.0825176075347163,-0.04738779122406078,-0.033213208977391925,0,0.0
borough_age_activity,Activity level,fairly_active,225,0.10079810469815519,0.09789618771299025,0.16483116749316934,0.15365286707224832,-0.043384385909439604,-0.03599392595925064,0,0.0
borough_age_activity,Activity level,inactive,245,0.07057108800017636,0.08234076876537258,0.15152130630226202,0.1044025098599626,-0.06501069375339075,-0.035861704371977436,0,0.0
borough_age,Effective sample size,<5,31,0.10101733947143164,0.10526075077694469,0.2377645405470169,0.20951575528307653,-0.05227329680735404,-0.05824827820247474,0,0.0
borough_age,Effective sample size,5-10,12,0.05935681234166799,0.0586237066564765,0.06714641874229359,0.06744843790206519,-0.2751866689482667,0.032286838845806506,0,0.0
borough_age,Effective sample size,10-30,77,0.06214141993240878,0.06313323153046166,0.08390546768288398,0.08366153087944148,0.029186779756484094,-0.023371667119180154,0,0.0
borough_age,Effective sample size,>=30,135,0.04662294233720574,0.04675646910838729,0.05835669067029296,0.058232329107110445,-0.08515461499961718,-0.024092785323841584,0,0.0
borough_age,Small cell,False,175,0.04867161907456645,0.050140585950010946,0.0644391976560203,0.061984257881478044,-0.0580734562027343,-0.025119566670799866,0,0.0
borough_age,Small cell,True,80,0.06621082065565224,0.07956684212736151,0.16131320324503218,0.10288988153109521,-0.019041214130967044,-0.02593093472040685,0,0.0
borough_age,Age group,16-24,32,0.06009018662621757,0.06265898795559927,0.08630602042111979,0.08270112838619535,-0.1972267122177811,-0.0334551258644608,0,0.0
borough_age,Age group,25-34,32,0.03644910228928549,0.041617321960982126,0.06363029139314773,0.05333599227900275,-0.15105102640660095,-0.02161529883220427,0,0.0
borough_age,Age group,35-44,32,0.05208098331163833,0.05142797608259253,0.06293128543018077,0.06313047558812937,-0.3027806116295291,-0.02778662323067664,0,0.0
borough_age,Age group,45-54,32,0.05072429461762981,0.05014858967856903,0.06229459048398199,0.06332714003131627,-0.08793692759134109,-0.022984108759901138,0,0.0
borough_age,Age group,55-64,32,0.052786913415231396,0.05275665999393288,0.06261211126244465,0.06239272947637836,-0.041441911082771954,-0.015808145892145874,0,0.0
borough_age,Age group,65-74,32,0.04760566386495451,0.04757162582668527,0.0613946819502771,0.06127397395531096,-0.3164248309331683,-0.03353481368504806,0,0.0
borough_age,Age group,75-84,32,0.06399655806204417,0.06889428637912354,0.08176130781754856,0.07729761372362205,0.008105396241941287,0.0037172326192998965,0,0.0
borough_age,Age group,85+,31,0.09274067169435637,0.101210825140688,0.2362073804351621,0.20233586407513351,-0.04879696333796035,-0.0523696344638111,0,0.0
borough_activity,Effective sample size,10-30,25,0.045537361934014184,0.04737863237226571,0.06169704688561521,0.05904161829540581,0.008050709682145274,-0.003913124785264499,0,0.0
borough_activity,Effective sample size,>=30,71,0.030707001660104982,0.03524726786321828,0.04600420452016101,0.04110322569882642,0.14321793912504843,-0.023483958728211206,0,0.0
borough_activity,Small cell,False,93,0.031613518243563656,0.037763516269108705,0.050221400871919876,0.04251167559911595,0.12771320160788546,-0.020862408644114396,0,0.0
borough_activity,Small cell,True,3,0.05530710904539281,0.05833827152267706,0.06017479601387124,0.057498326643199565,-11.607596902354794,0.05833827152267706,0,0.0
borough_activity,Activity level,active,32,0.028188269558494503,0.028930778366797805,0.03940164547144804,0.03845191739241988,-0.4709699080268439,-0.022083086972471588,0,0.0
borough_activity,Activity level,fairly_active,32,0.04881414810571891,0.05039464989056974,0.06332314262804208,0.06095748696367081,-0.026926266412681477,-0.010649310773362987,0,0.0
borough_activity,Activity level,inactive,32,0.03483099597713587,0.03589400385498061,0.045905025317293915,0.04446064532965913,-0.3016047463739997,-0.02242976442087192,0,0.0
