year,LA_2023,age_group_code,age_group,active_minus_inactive_pp,active_minus_inactive_lower_90_pp,active_minus_inactive_upper_90_pp,fairly_active_minus_inactive_pp,fairly_active_minus_inactive_lower_90_pp,fairly_active_minus_inactive_upper_90_pp
9,107,2,16-24,7.432520956979991,-21.494110897183415,26.110236942768083,-0.07947222997864434,-30.107778757810593,46.56143143773079
9,107,3,25-34,2.4101280804071963,-25.286113023757935,20.14423824846744,-2.4095623790180416,-33.02862897515297,27.558846026659
9,107,4,35-44,4.091079458209967,-12.8321236371994,21.41868785023688,0.0,-17.945673316717144,26.03834867477415
9,107,5,45-54,6.786808251063717,-20.00160463154316,26.644150763750062,0.0,-31.857406497001644,40.656119138002374
9,107,6,55-64,7.024703080354862,-20.34656800329685,25.075759589672085,2.4095623790180416,-28.652832955121994,44.50573056936262
9,107,7,65-74,6.0933591432141725,-35.74214369058609,27.73612499237059,-1.6572275826848657,-43.17257985472679,39.28771093487738
9,107,8,75-84,0.7506579320803369,-37.835339456796646,43.05841580033301,-2.9674167522411516,-37.98331394791603,40.025191605091095
9,107,9,85+,1.1020377285485758,-42.72609680891036,42.378143519163096,0.3396974331429138,-44.53918933868408,48.10953959822654
9,109,2,16-24,7.432520956979986,-37.27104559540748,28.908581882715218,-1.5617702623399774,-44.11596462130546,43.533244729042
9,109,3,25-34,1.4828637337504862,-23.00680309534073,19.39347662031649,-2.409562379018043,-32.781882584095,37.94867113232612
9,109,4,35-44,4.3175914676307245,-21.45255595445633,23.96970734000205,-1.482298032361333,-32.39270031452179,35.315310060977865
9,109,5,45-54,8.269106283425046,-30.58187156915664,29.826708734035474,0.0,-40.196654349565506,53.006610274314845
9,109,6,55-64,4.61514070133682,-24.611535891890522,24.86870609223841,-1.482298032361333,-33.061297684907906,38.71063590049744
9,109,7,65-74,7.575657175575495,-19.482167661190033,26.89847037196159,0.752334796333174,-29.79326039552689,41.11299812793732
9,109,8,75-84,2.957765593010173,-38.288706839084625,46.48678004741669,-0.5578543732231122,-40.47847703099251,39.65747952461243
9,109,9,85+,-0.6121449231106593,-42.6541642844677,45.96499532461163,-1.4495002529595922,-44.46445524692535,28.269264400005305
9,112,2,16-24,9.349202184682682,-26.64881512522697,29.791536182165135,-0.5723533812939954,-41.77364990115166,32.514165937900536
9,112,3,25-34,4.819690459425239,-22.571304216980934,24.70296926796435,0.0,-32.34427869319916,51.014805734157484
9,112,4,35-44,4.365843446527242,-21.545863822102547,26.030635833740234,-2.4095623790180425,-31.836571991443634,39.41786900162695
9,112,5,45-54,6.872930311812694,-26.27512961626053,26.429600566625577,-2.4095623790180425,-35.36080360412598,38.749155998229895
9,112,6,55-64,7.024703080354863,-24.225562289357185,27.17739075422287,0.0,-30.060439109802246,41.917588710784834
9,112,7,65-74,6.0933591432141725,-27.68633127212524,26.599844992160786,-1.6572275826848664,-41.224549263715744,34.401895552873455
9,112,8,75-84,7.607722897182959,-26.756050139665604,37.97153487801552,-0.5578543732231122,-34.51772704720497,52.416203618049614
9,112,9,85+,1.1020377285485758,-40.938144624233246,42.063491791486726,0.3396974331429138,-41.072776168584824,48.61666411161422
9,114,2,16-24,7.432520956979991,-21.631638407707214,29.113786965608597,-0.07947222997864434,-31.26916795969009,49.34575691819174
