year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,cells_with_observed_baseline,median_change_from_year8_pp,q25_change_from_year8_pp,q75_change_from_year8_pp
9,2,16-24,0,inactive,31,0.8065861209478831,-9.236083341901619,5.58010963281593
9,2,16-24,1,fairly_active,30,5.119220532513594,-6.234438877682144,5.162281562888084
9,2,16-24,2,active,32,-3.1118274006761206,-10.427229433820832,3.1459468899622927
9,3,25-34,0,inactive,32,-0.37677414762877504,-10.541390139643845,4.508413499770802
9,3,25-34,1,fairly_active,32,5.007756251521934,-3.54623487932779,5.162281562888084
9,3,25-34,2,active,32,0.06867087972270217,-6.758887322804212,2.712313826641217
9,4,35-44,0,inactive,32,0.07105264559242042,-5.483617067316217,5.162281562888084
9,4,35-44,1,fairly_active,32,4.544246389935873,-6.338511581744138,5.162281562888084
9,4,35-44,2,active,32,-1.1373303920484634,-7.587393947418315,2.0600246375953595
9,5,45-54,0,inactive,32,2.746402864441815,-2.677025057612512,5.162281562888084
9,5,45-54,1,fairly_active,32,4.664601232070234,-5.965309827217954,5.162281562888084
9,5,45-54,2,active,32,-1.5919232452452121,-9.713850509468532,3.1816106084376323
9,6,55-64,0,inactive,32,4.544246389935873,-1.3562219296574196,5.162281562888084
9,6,55-64,1,fairly_active,32,5.119220532513594,0.948273061650608,5.162281562888084
9,6,55-64,2,active,32,-2.1707432686229042,-8.650645649373317,3.869047381923906
9,7,65-74,0,inactive,32,4.003486853124822,-3.716515041978302,4.40994676655491
9,7,65-74,1,fairly_active,31,5.162281562888084,-5.696898653761949,5.162281562888084
9,7,65-74,2,active,32,-2.8679385861472033,-7.646134438794722,3.243544924256062
9,8,75-84,0,inactive,31,4.413553394934086,-4.0836622347582985,4.4996754556830645
9,8,75-84,1,fairly_active,28,3.941821082459952,3.5566268468216373,3.941821082459952
9,8,75-84,2,active,32,0.3705328820763999,-3.808952628820127,7.49269934529395
9,9,85+,0,inactive,23,3.5669697079115013,3.523908677537012,3.5669697079115013
9,9,85+,1,fairly_active,8,3.906667141054415,3.906667141054415,3.906667141054415
9,9,85+,2,active,22,4.6690074364600775,4.276531844204021,4.6690074364600775
10,2,16-24,0,inactive,31,0.8065861209478831,-9.236083341901619,7.49679086051862
10,2,16-24,1,fairly_active,30,7.528782911531637,-6.234438877682144,7.571843941906126
10,2,16-24,2,active,32,-3.1118274006761206,-10.427229433820832,3.1459468899622927
10,3,25-34,0,inactive,32,-0.37677414762877504,-10.541390139643845,6.917975878788842
10,3,25-34,1,fairly_active,32,7.417318630539976,-3.54623487932779,7.571843941906126
10,3,25-34,2,active,32,0.06867087972270217,-6.342303769305703,2.712313826641217
10,4,35-44,0,inactive,32,0.07105264559242042,-4.889810341825108,7.571843941906126
10,4,35-44,1,fairly_active,32,6.953808768953914,-6.338511581744138,7.571843941906126
10,4,35-44,2,active,32,-1.024074387338085,-7.360881937997559,2.0600246375953595
