origin_year,horizon,forecast_year,observations,mae,rmse,r2,mean_error
5,1,5,695,0.0866210763124035,0.15133507213692451,-0.07652871276171647,-0.051590579892007715
5,2,6,704,0.06856137597345194,0.1240348025101862,0.03174077686853416,-0.013819608188122971
5,3,7,713,0.0788808595751165,0.12788877139496999,-0.002928812994309249,-0.03224665234230847
5,4,8,716,0.08716581566433824,0.14695298649228067,-0.04504604539312296,-0.04411053330435619
6,1,6,704,0.07732646911756179,0.12367077867231893,0.03741583271484883,0.009737435730050953
6,2,7,713,0.08670302909283543,0.12373779192691324,0.06112018638102101,-0.0006088829396456543
6,3,8,716,0.09141722915143864,0.14045001325228712,0.04539839096718212,-0.013557069824060216
7,1,7,713,0.07802116576827929,0.12711761337568334,0.009129865364213896,-0.03126452307412438
7,2,8,716,0.08883114646360268,0.14498969802591943,-0.017308993088064106,-0.03679235484277395
8,1,8,716,0.08555063158295824,0.1448157539998826,-0.01486952769005212,-0.03530283934295699
