series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,historical_observed_years,historical_effective_n_median,historical_small_cell_share,initial_year8_lag_observed,historical_reliability_band,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,raw_predicted_rate,predicted_rate,was_clipped,lag_source,model
borough_107__age_2__activity_0,107,2,16-24,0,inactive,0.067720843760348,5,6.415869528299125,1.0,True,5_to_below_10,9,1,0.067720843760348,0,6,107,16-24__inactive,0.10196799181817394,0.10196799181817394,False,observed_year8,Ridge Regression
borough_107__age_2__activity_1,107,2,16-24,1,fairly_active,0.1477422943129205,6,1.7184249889604997,1.0,True,below_5,9,1,0.1477422943129205,0,6,107,16-24__fairly_active,0.1022969826711037,0.1022969826711037,False,observed_year8,Ridge Regression
borough_107__age_2__activity_2,107,2,16-24,2,active,0.2780604443526274,6,10.041347698173553,0.8333333333333334,True,10_to_below_30,9,1,0.2780604443526274,0,6,107,16-24__active,0.16236604369834168,0.16236604369834168,False,observed_year8,Ridge Regression
borough_107__age_3__activity_0,107,3,25-34,0,inactive,0.0820918376561594,6,9.81974682610082,0.8333333333333334,True,5_to_below_10,9,1,0.0820918376561594,0,6,107,25-34__inactive,0.05326759390499207,0.05326759390499207,False,observed_year8,Ridge Regression
borough_107__age_3__activity_1,107,3,25-34,1,fairly_active,0.0239370145665547,6,8.212266249996336,1.0,True,5_to_below_10,9,1,0.0239370145665547,0,6,107,25-34__fairly_active,0.07346093470891861,0.07346093470891861,False,observed_year8,Ridge Regression
borough_107__age_3__activity_2,107,3,25-34,2,active,0.0645638836940231,6,39.43558070600658,0.3333333333333333,True,30_or_above,9,1,0.0645638836940231,0,6,107,25-34__active,0.10639751712663634,0.10639751712663634,False,observed_year8,Ridge Regression
borough_107__age_4__activity_0,107,4,35-44,0,inactive,0.0583042673181279,6,13.71695536250258,0.8333333333333334,True,10_to_below_30,9,1,0.0583042673181279,0,6,107,35-44__inactive,0.06110645849671033,0.06110645849671033,False,observed_year8,Ridge Regression
borough_107__age_4__activity_1,107,4,35-44,1,fairly_active,0.0543325210966746,6,7.365226558221833,1.0,True,5_to_below_10,9,1,0.0543325210966746,0,6,107,35-44__fairly_active,0.07396951303874277,0.07396951303874277,False,observed_year8,Ridge Regression
borough_107__age_4__activity_2,107,4,35-44,2,active,0.204362523285887,6,40.245265637694686,0.3333333333333333,True,30_or_above,9,1,0.204362523285887,0,6,107,35-44__active,0.11303869837797892,0.11303869837797892,False,observed_year8,Ridge Regression
borough_107__age_5__activity_0,107,5,45-54,0,inactive,0.0920503086312898,6,7.8746185558680235,0.8333333333333334,True,5_to_below_10,9,1,0.0920503086312898,0,6,107,45-54__inactive,0.052894393353792944,0.052894393353792944,False,observed_year8,Ridge Regression
