year,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,n,n_frequent,weighted_n,weighted_frequent,sum_weight_squared,n_not_frequent,frequent_volunteer_rate,effective_n,small_cell,few_frequent_cases
3,2.0,16-24,0,inactive,79,7,185.5520011715118,13.915041640176634,749.8527787640533,72,0.07499267888420404,45.915073083414185,False,False
3,2.0,16-24,1,fairly_active,47,5,109.9205101694642,17.205271593086252,400.3383694897007,42,0.1565246701144393,30.18076576401234,False,False
3,2.0,16-24,2,active,325,47,817.6857138884455,154.7065418383537,3294.1208464676456,278,0.18920049501985045,202.9706734694391,False,False
3,3.0,25-34,0,inactive,178,8,337.1011621381245,18.416167707862368,1134.621474892643,170,0.05463098255447868,100.15427702496673,False,False
3,3.0,25-34,1,fairly_active,114,6,230.59920957062297,11.243642422776484,785.321276691199,108,0.048758373646259276,67.71240896291894,False,False
3,3.0,25-34,2,active,801,61,1427.3445808445733,133.1675306789455,4434.323634856705,740,0.0932973946628564,459.4415564195071,False,False
3,4.0,35-44,0,inactive,234,9,349.459529105223,14.349490695355108,1103.3520695028537,225,0.041061952816385916,110.68267859185661,False,False
3,4.0,35-44,1,fairly_active,150,10,185.88913172250747,10.255300806643726,410.95505127525786,140,0.05516891015421325,84.08406025262099,False,False
3,4.0,35-44,2,active,864,82,1109.1841931559743,106.25938297455582,2532.35763163976,782,0.09579958281970716,485.8277357730191,False,False
3,5.0,45-54,0,inactive,140,4,247.18224716370653,12.833444480996063,793.0104995480929,136,0.05191895707824272,77.04697900937981,False,True
3,5.0,45-54,1,fairly_active,92,5,133.04176818841128,8.475225608668747,362.41876229434814,87,0.06370349495555629,48.83884038079503,False,False
3,5.0,45-54,2,active,640,107,863.7002539460105,151.6731709082733,2174.2829422102013,533,0.17560857509919675,343.0915609852054,False,False
3,6.0,55-64,0,inactive,149,7,239.4744417137222,7.645879964134293,754.0653164240421,142,0.03192774940581968,76.05177825451102,False,False
3,6.0,55-64,1,fairly_active,62,3,85.40320149564478,6.595235528611795,208.53465849149785,59,0.0772246872846813,34.97599333591386,False,True
