age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,observed_cells,median_raw_n,median_effective_n,small_cell_rate,few_frequent_cases_rate,zero_frequent_cases_rate
2,16-24,0,inactive,179,6.0,4.586735657295195,1.0,0.994413407821229,0.49162011173184356
2,16-24,1,fairly_active,172,3.0,2.2637716403810675,1.0,0.9941860465116279,0.7151162790697675
2,16-24,2,active,192,18.0,12.977890754080823,0.8229166666666666,0.765625,0.10416666666666667
3,25-34,0,inactive,192,12.0,8.016709764695829,0.96875,0.984375,0.5520833333333334
3,25-34,1,fairly_active,188,7.0,4.651539808038798,1.0,1.0,0.6170212765957447
3,25-34,2,active,192,39.0,25.19814046935714,0.3020833333333333,0.59375,0.057291666666666664
4,35-44,0,inactive,192,13.5,8.693108129943536,0.9270833333333334,0.9947916666666666,0.4895833333333333
4,35-44,1,fairly_active,192,8.0,5.327422910905957,1.0,1.0,0.578125
4,35-44,2,active,192,49.0,31.894955412859197,0.19791666666666666,0.4791666666666667,0.020833333333333332
5,45-54,0,inactive,191,10.0,6.648056233243908,0.9947643979057592,0.9895287958115183,0.5549738219895288
5,45-54,1,fairly_active,189,6.0,3.597080422770736,1.0,1.0,0.6243386243386243
5,45-54,2,active,192,38.5,23.870549769657618,0.34375,0.4166666666666667,0.010416666666666666
6,55-64,0,inactive,191,9.0,5.874841980461938,1.0,1.0,0.6178010471204188
6,55-64,1,fairly_active,184,4.0,2.916308748385916,1.0,1.0,0.6847826086956522
6,55-64,2,active,192,31.0,18.360723627586943,0.453125,0.6041666666666666,0.08333333333333333
7,65-74,0,inactive,189,6.0,4.841974565843508,1.0,1.0,0.7407407407407407
7,65-74,1,fairly_active,173,3.0,2.6413275797833182,1.0,1.0,0.7456647398843931
7,65-74,2,active,192,18.0,13.057787251565973,0.8333333333333334,0.8177083333333334,0.15104166666666666
8,75-84,0,inactive,175,3.0,2.783116447811582,1.0,1.0,0.8171428571428572
8,75-84,1,fairly_active,133,2.0,1.7047141676969209,1.0,1.0,0.8872180451127819
8,75-84,2,active,184,5.0,4.393546249531795,1.0,0.9782608695652174,0.44565217391304346
9,85+,0,inactive,126,1.5,1.1171232118106966,1.0,1.0,0.8809523809523809
9,85+,1,fairly_active,42,1.0,1.0,1.0,1.0,0.9523809523809523
9,85+,2,active,83,1.0,1.0,1.0,1.0,0.8674698795180723
