model,candidate_id,parameters,validation_mae,validation_rmse,validation_r2,validation_weighted_mae,validation_clip_rate,all_target_mae,all_target_rows
Ridge Regression,2,"{""alpha"": 10.0}",0.08259276901420022,0.12020739557059243,0.04949133567905872,0.06391989644918336,0.005873715124816446,0.08434190714638765,713
Ridge Regression,1,"{""alpha"": 1.0}",0.08270314180761343,0.12067921675240788,0.042015085900060756,0.06418723364980268,0.013215859030837005,0.08445512166544335,713
Ridge Regression,3,"{""alpha"": 100.0}",0.0841380984695506,0.11974909278532757,0.05672533891517251,0.06550161948742367,0.0,0.08575553520677437,713
Ridge Regression,4,"{""alpha"": 1000.0}",0.08917120884788493,0.12234316978874991,0.015415121803835419,0.07186128910505775,0.0,0.0906378802263159,713
Random Forest,4,"{""max_depth"": null, ""max_features"": 0.3, ""min_samples_leaf"": 30, ""n_estimators"": 400}",0.0823633866872383,0.1197729339822135,0.05634970290709174,0.06526167448268415,0.0,0.08375039702213237,713
Random Forest,3,"{""max_depth"": 8, ""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 400}",0.08453941990755248,0.1209619614311376,0.0375208166294736,0.06834296564316197,0.0,0.08618593441384526,713
Random Forest,2,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.08526713954288544,0.12057048863656332,0.04374053581847992,0.06802628957019237,0.0,0.0867788808453704,713
Random Forest,1,"{""max_depth"": 4, ""max_features"": 0.5, ""min_samples_leaf"": 40, ""n_estimators"": 300}",0.08586579722800344,0.12045781590225318,0.04552694352693254,0.06832602720046826,0.0,0.08737233740873485,713
Gradient Boosting,3,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",0.0773789476866546,0.12281295578321058,0.00783918193717692,0.06622381377861998,0.0,0.07802116576827929,713
Gradient Boosting,4,"{""learning_rate"": 0.02, ""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 300}",0.07770711837310743,0.12279046246898434,0.008202579124589437,0.06596185170300907,0.0,0.0783495069549668,713
Gradient Boosting,2,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 30, ""n_estimators"": 200}",0.07815500801920776,0.12297937886193329,0.005148418045400338,0.06710811542590624,0.0,0.0788364459494093,713
Gradient Boosting,1,"{""learning_rate"": 0.03, ""max_depth"": 1, ""min_samples_leaf"": 30, ""n_estimators"": 150}",0.08090233760285562,0.12355139694213806,-0.004127878055434575,0.06956968667228577,0.0,0.08168376904535292,713
