group_type,group_value,observations,mae,rmse,r2,mean_error,effective_n_weighted_mae,effective_n_weighted_rmse,clipped_predictions,clip_rate
Age group,16-24,91,0.10229050816040906,0.1653321230613644,-0.05930787383034408,-0.054740251986246026,0.09019780937928185,0.1255423721333958,0,0.0
Age group,25-34,96,0.07881268472259713,0.11498678956576282,-0.10525277062008676,-0.037112165604288976,0.059557642669052634,0.08918520704183532,0,0.0
Age group,35-44,96,0.07572863199124379,0.10860422150161225,-0.04941973764353613,-0.03189497591072079,0.06448754859970358,0.08701385106855276,0,0.0
Age group,45-54,96,0.07907992293502163,0.1156956070751949,0.042310852446514335,-0.031835793515301955,0.06908380022459568,0.09275808913883436,0,0.0
Age group,55-64,95,0.06967610751402603,0.09536837814919168,0.12211560648081865,-0.013729308825484484,0.06608739530500117,0.08445045214013264,0,0.0
Age group,65-74,93,0.07789543265509445,0.10118586132028967,0.06273163759485922,-0.03286638296997901,0.07494144803169335,0.0932310597009082,0,0.0
Age group,75-84,84,0.09923623309150631,0.19166223437101865,-0.0607097662377698,-0.03630408262015222,0.08266263477325934,0.13017603775967607,0,0.0
Age group,85+,34,0.1337688888674461,0.28952059856902235,-0.07096369601023889,-0.07245346126345745,0.11401959264873786,0.2522482723081658,0,0.0
Activity level,active,238,0.07438641498497733,0.10837080025723166,-0.08108033867559916,-0.03758207026636277,0.06426013082504309,0.08423040803162964,0,0.0
Activity level,fairly_active,207,0.09935037122750444,0.16352854585348242,-0.04866937548595107,-0.03522813218094124,0.1008664765572189,0.15045145089258122,0,0.0
Activity level,inactive,240,0.08422530370960818,0.15268861609278087,-0.06650671060567936,-0.034580613277035634,0.07093750452481647,0.1041811863531421,0,0.0
Small cell,False,148,0.06090452566277882,0.07871314820542837,-0.07431097994855085,-0.03187740041805506,0.059354634584067825,0.07727337641392606,0,0.0
Small cell,True,537,0.09212234022855255,0.1556447381413158,-0.03547229038525468,-0.03690548977554111,0.08315923046355427,0.11966143425247788,0,0.0
Effective sample size,Below 5,235,0.10236051440448557,0.19546381385216727,-0.032750036498615076,-0.029830376604986,0.09436711783220544,0.16365396231690474,0,0.0
Effective sample size,5 to below 10,169,0.09152296954374045,0.1290824370124579,-0.12752386906373125,-0.04150221848363469,0.08790560420002078,0.12293225883795804,0,0.0
Effective sample size,10 to below 30,201,0.07106899558602896,0.09074610887427909,-0.012111431703855091,-0.03735363208827548,0.0701400987382789,0.08886178382058237,0,0.0
Effective sample size,30 or above,80,0.058457445626074,0.07716746772667184,-0.10856045204984444,-0.037550122446104804,0.057284446444898926,0.0756801262184811,0,0.0
