LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,wt_final_online,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
147,1.0,5.0,,2.0,,3,5,45-54,,,2,active
241,1.0,3.0,,2.0,2.2470701584785826,3,3,25-34,,,2,active
241,1.0,3.0,0.0,2.0,1.4995091019835758,3,3,25-34,0,not_twiceplus_volunteer,2,active
91,1.0,8.0,,1.0,1.539162652408381,3,8,75-84,,,1,fairly_active
91,1.0,8.0,0.0,2.0,2.447249559199987,3,8,75-84,0,not_twiceplus_volunteer,2,active
136,1.0,6.0,,0.0,0.8009063375991405,3,6,55-64,,,0,inactive
114,1.0,5.0,0.0,1.0,0.2942873223037474,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
114,1.0,4.0,,2.0,0.2990394687536396,3,4,35-44,,,2,active
78,1.0,7.0,0.0,2.0,0.4839401597356773,3,7,65-74,0,not_twiceplus_volunteer,2,active
241,1.0,6.0,,2.0,1.3484652874024197,3,6,55-64,,,2,active
241,1.0,5.0,0.0,2.0,2.6134888984759272,3,5,45-54,0,not_twiceplus_volunteer,2,active
293,1.0,4.0,1.0,2.0,3.4199343308986148,3,4,35-44,1,twiceplus_volunteer,2,active
126,1.0,3.0,0.0,2.0,0.5113244439407609,3,3,25-34,0,not_twiceplus_volunteer,2,active
126,1.0,3.0,,0.0,0.9724066345159182,3,3,25-34,,,0,inactive
196,1.0,4.0,,2.0,1.8984685036326536,3,4,35-44,,,2,active
241,1.0,3.0,0.0,2.0,1.3227011888769713,3,3,25-34,0,not_twiceplus_volunteer,2,active
44,1.0,4.0,0.0,2.0,0.4025328959275682,3,4,35-44,0,not_twiceplus_volunteer,2,active
44,1.0,5.0,,2.0,,3,5,45-54,,,2,active
78,1.0,2.0,1.0,0.0,0.8987475751489985,3,2,16-24,1,twiceplus_volunteer,0,inactive
91,1.0,6.0,0.0,1.0,4.617122279713635,3,6,55-64,0,not_twiceplus_volunteer,1,fairly_active
107,1.0,4.0,0.0,0.0,0.284936002300059,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
109,1.0,3.0,,2.0,0.8728579319004901,3,3,25-34,,,2,active
109,1.0,2.0,,0.0,4.655177621466206,3,2,16-24,,,0,inactive
114,1.0,7.0,0.0,2.0,,3,7,65-74,0,not_twiceplus_volunteer,2,active
114,1.0,,,1.0,3.705627951519805,3,,,,,1,fairly_active
117,1.0,4.0,,1.0,1.5341853708744173,3,4,35-44,,,1,fairly_active
117,1.0,4.0,0.0,1.0,0.5761148642450921,3,4,35-44,0,not_twiceplus_volunteer,1,fairly_active
117,1.0,4.0,,2.0,1.702138569938466,3,4,35-44,,,2,active
142,1.0,3.0,,1.0,3.809086434795101,3,3,25-34,,,1,fairly_active
142,1.0,2.0,0.0,2.0,3.969064768482367,3,2,16-24,0,not_twiceplus_volunteer,2,active
142,1.0,3.0,0.0,2.0,1.8484338306946884,3,3,25-34,0,not_twiceplus_volunteer,2,active
142,1.0,5.0,0.0,2.0,2.249620773872931,3,5,45-54,0,not_twiceplus_volunteer,2,active
160,1.0,6.0,1.0,2.0,1.2808755228247684,3,6,55-64,1,twiceplus_volunteer,2,active
171,1.0,5.0,,1.0,4.988740036285987,3,5,45-54,,,1,fairly_active
171,1.0,5.0,,1.0,2.773045359522144,3,5,45-54,,,1,fairly_active
171,1.0,6.0,,2.0,2.8490282595180116,3,6,55-64,,,2,active
196,1.0,3.0,,0.0,8.931111263537778,3,3,25-34,,,0,inactive
196,1.0,3.0,,2.0,4.66274548815617,3,3,25-34,,,2,active
241,1.0,4.0,0.0,2.0,1.421998888734468,3,4,35-44,0,not_twiceplus_volunteer,2,active
255,1.0,4.0,,1.0,1.1118617866286742,3,4,35-44,,,1,fairly_active
279,1.0,4.0,0.0,2.0,1.6021593584885143,3,4,35-44,0,not_twiceplus_volunteer,2,active
280,1.0,4.0,,1.0,4.362410056801501,3,4,35-44,,,1,fairly_active
293,1.0,5.0,,1.0,1.7381909936975144,3,5,45-54,,,1,fairly_active
8,1.0,4.0,,0.0,0.9524080906511924,3,4,35-44,,,0,inactive
8,1.0,3.0,,1.0,0.8838160080429128,3,3,25-34,,,1,fairly_active
8,1.0,2.0,,2.0,0.6079486825169411,3,2,16-24,,,2,active
8,1.0,4.0,0.0,0.0,,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,,2.0,0.2301077648992591,3,5,45-54,,,2,active
8,1.0,4.0,0.0,0.0,0.9702019239935046,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,,2.0,1.5731636029933858,3,5,45-54,,,2,active
8,1.0,4.0,0.0,2.0,0.7397286396043248,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,6.0,,2.0,0.8220982184233011,3,6,55-64,,,2,active
8,1.0,6.0,0.0,0.0,0.5323235053532417,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
9,1.0,3.0,0.0,2.0,7.738654346533258,3,3,25-34,0,not_twiceplus_volunteer,2,active
9,1.0,6.0,,0.0,3.631855000094758,3,6,55-64,,,0,inactive
9,1.0,3.0,,2.0,0.9636201068080296,3,3,25-34,,,2,active
