frequency,split,model,params,weighted_tv,unweighted_tv,neither_recorded_weighted_mae,neither_recorded_weighted_rmse,neither_recorded_weighted_r2,indoor_only_weighted_mae,indoor_only_weighted_rmse,indoor_only_weighted_r2,outdoor_only_weighted_mae,outdoor_only_weighted_rmse,outdoor_only_weighted_r2,both_weighted_mae,both_weighted_rmse,both_weighted_r2,indoor_weighted_mae,outdoor_weighted_mae,indoor_weighted_rmse,outdoor_weighted_rmse,skill_vs_naive
annual,validation,Naive,{},0.046231500944276985,0.0423118856115596,0.03534127275497646,0.04748225466444735,0.799240997208492,0.02152067530397486,0.029130800702293035,0.5488819285025579,0.017218861116384654,0.02464787992789829,0.3442841456820108,0.018382192713217987,0.02588161830408555,0.6566386710300163,0.030516071190174972,0.026675734105877764,0.040390804148074895,0.03698113610745631,0.0
annual,validation,Ridge,"{""alpha"": 0.1}",0.08182296144640794,0.060201195020666474,0.07711324900343891,0.09727857606337811,0.15735087598716413,0.024795062648965197,0.033275703815525075,0.411373403950944,0.03343350600921689,0.041104410425941484,-0.8236159912260586,0.028304105231194875,0.040255318101352584,0.16935577353760678,0.04763775937549745,0.059693273726333325,0.06344518851674502,0.07507499785967751,-0.7698530174270026
annual,validation,Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.04244032368360868,0.04085682910212527,0.033975511133855225,0.04775909972428576,0.7968931236508844,0.01709612288707062,0.025435645708696986,0.6560693225184431,0.014227524911384687,0.019908244738140905,0.5722180191154531,0.01958148843490682,0.02872356088648883,0.5770927964577082,0.02915685992627671,0.02834987167430526,0.039229984624856995,0.04000354419551465,0.08200420023649735
annual,validation,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",0.04807865457490392,0.04531059447451957,0.040135182578134754,0.05509461737330755,0.7297095468293535,0.021612879330001562,0.031137590818563578,0.4845869677872324,0.015124145866878104,0.020895629477140444,0.5287325303550502,0.019285101374793417,0.028425982336328016,0.5858101149243895,0.03262463895934171,0.029087278040535194,0.044610921332307193,0.04069435341588943,-0.039954437837813606
annual,test,Naive,{},0.04523373391196532,0.04235442629378628,0.03226777848556002,0.04647282269398648,0.8192321430366911,0.02486083012336428,0.032039568362923265,0.539911521694067,0.016506410698543268,0.022550059847879868,0.4221609886012401,0.016832448516463077,0.026169562527551614,0.6615582420493146,0.03276023347266836,0.024085606569069124,0.04482050723311643,0.034319099599680936,0.0
annual,test,Ridge,"{""alpha"": 0.1}",0.08125771024240293,0.05729130940084254,0.057902865762712155,0.07502521819944832,0.5288733837717753,0.01960328076055565,0.028606370303183005,0.6332302098853082,0.06760764645078654,0.08578457755879071,-7.362379930015331,0.017401627510751513,0.024695668211195045,0.6986074032501283,0.02246930831740914,0.06703526121816562,0.02980311531965085,0.08782959459903618,-0.7963962559568507
annual,test,Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",0.0380201080726213,0.03442100911941421,0.0312673433741901,0.040831089454920755,0.8604579683317088,0.017086166213098934,0.02335059250993766,0.7556210162367107,0.011930617217756281,0.017312691508859626,0.6594031381752294,0.01575608934019729,0.02314223279249301,0.7353319407906431,0.027108382780776194,0.022812591558472668,0.035199843244023095,0.03165679419445372,0.15947447215795418
annual,test,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",0.039073030384890024,0.03551520760282021,0.032291527599001016,0.04213994433523812,0.8513684451007781,0.01796755847524137,0.02511606315632067,0.7172704660555067,0.01218475593639661,0.017455004799124187,0.6537805945183818,0.015702218759141042,0.02316039666696105,0.7349163124404132,0.02908716926208712,0.021962060258350492,0.03770012542299002,0.03083363560238146,0.13619710322975687
monthly,validation,Naive,{},0.06362164960071505,0.04978492496733579,0.04769669882203973,0.0684609634195855,0.6164279694270463,0.029053238352204233,0.04188041558369107,0.27000189921841167,0.024828469734929616,0.03653738540173503,0.10360800956818617,0.02566489229225652,0.039749803608546457,0.28637621135108904,0.04177539805074044,0.03717386899135808,0.060141570229181596,0.054023935908780726,0.0
monthly,validation,Ridge,"{""alpha"": 0.1}",0.050311037673177,0.04145216712187966,0.039594554897323005,0.05724098046260799,0.7318517007421644,0.024157032376217292,0.03590083424775908,0.4635752019769531,0.01884135061381932,0.029145703167395846,0.4296097280754948,0.01802913745899439,0.028783238186882283,0.6258216570380115,0.03337855141851619,0.029177580216362676,0.049818924756864655,0.04375473541362015,0.20921513370172728
