survey_year,survey_wave,activity_level_code,activity_level,aggregation_weight,neither_recorded_rate,indoor_only_rate,outdoor_only_rate,both_rate,indoor_rate,outdoor_rate,indoor_exposure_share,outdoor_exposure_share
2017,2017/18,0.0,Inactive,6120.321266852396,0.9954309767635525,0.0038095628101566113,0.0007594604262908658,0.0,0.0038095628101566113,0.0007594604262908658,0.833780572566892,0.16621942743310802
2017,2017/18,1.0,Insufficiently Active,3164.064904131028,0.8999745923797031,0.06693601386609534,0.025522891466357788,0.0075665022878436934,0.07450251615393903,0.03308939375420148,0.6924546298838598,0.30754537011614025
2017,2017/18,2.0,Active,18709.676351767943,0.7758868531071584,0.11290610244204934,0.042027839898707994,0.06917920455208418,0.1820853069941335,0.11120704445079217,0.6208321018160795,0.3791678981839205
2018,2018/19,0.0,Inactive,6202.144545529158,0.994040028259498,0.003608480031775319,0.0016270817685372567,0.0007244099401893638,0.004332889971964683,0.0023514917087266206,0.6482110356565652,0.35178896434343476
2018,2018/19,1.0,Insufficiently Active,3231.5416806291614,0.8835454192363854,0.07926972779852866,0.026435224286028153,0.010749628679057903,0.09001935647758656,0.03718485296508606,0.7076759241851645,0.29232407581483555
2018,2018/19,2.0,Active,18925.959231613633,0.7600975771830626,0.11622434799090192,0.04558472548876266,0.07809334933727274,0.19431769732817467,0.1236780748260354,0.6110700655288634,0.38892993447113655
2019,2019/20,0.0,Inactive,6695.729567267914,0.9979373091789215,0.001611584679219856,9.19187261159513e-05,0.0003591874157426929,0.001970772094962549,0.0004511061418586442,0.8137370677847381,0.1862629322152619
2019,2019/20,1.0,Insufficiently Active,2989.9673473211865,0.8846199284272668,0.08468680741893612,0.020355712720765282,0.01033755143303185,0.09502435885196797,0.030693264153797133,0.7558555163551762,0.24414448364482377
2019,2019/20,2.0,Active,18080.92695559457,0.7680858000100363,0.11220856371041478,0.05375785561723308,0.0659477806623159,0.17815634437273067,0.11970563627954897,0.598117101023068,0.40188289897693197
2020,2020/21,0.0,Inactive,6759.461595325287,0.9980316736180725,0.0012322569444599113,0.0006600805743317066,7.598886313579994e-05,0.0013082458075957112,0.0007360694374675066,0.6399432821111969,0.3600567178888031
2020,2020/21,1.0,Insufficiently Active,2957.9578059241753,0.9125599561663238,0.04774928582883923,0.03713096305233312,0.002559794952503814,0.050309080781343045,0.039690758004836936,0.5589907877598144,0.44100921224018563
2020,2020/21,2.0,Active,18002.158385570223,0.791703079948067,0.09025475083161105,0.054090571153751266,0.06395159806657064,0.1542063488981817,0.1180421692203219,0.5664175877389319,0.4335824122610681
2021,2021/22,0.0,Inactive,6413.742847067014,0.9955898451216346,0.002101536667132139,0.001983600299407467,0.00032501791182576396,0.002426554578957903,0.002308618211233231,0.5124532274692252,0.48754677253077483
2021,2021/22,1.0,Insufficiently Active,2859.6484356893143,0.8875713761189568,0.07069618518428386,0.032798790403289806,0.00893364829346969,0.07962983347775356,0.041732438696759494,0.6561333440037257,0.3438666559962743
2021,2021/22,2.0,Active,18467.933381824736,0.7648376492044093,0.09364284250298553,0.06179369000997312,0.07972581828263198,0.17336866078561752,0.1415195082926051,0.5505721643754432,0.4494278356245568
2022,2022/23,0.0,Inactive,6337.924906421567,0.9947055670653968,0.003974228823424125,0.0008236260021567023,0.0004965781090222649,0.00447080693244639,0.0013202041111789672,0.7720252817282702,0.22797471827172977
2022,2022/23,1.0,Insufficiently Active,2609.1186951779496,0.8880015939301268,0.07135209019876473,0.03037980237171671,0.010266513499391703,0.08161860369815643,0.04064631587110841,0.6675553706303983,0.33244462936960173
2022,2022/23,2.0,Active,17702.71828178458,0.7456282844169715,0.10782474636226241,0.061941322112614786,0.08460564710815145,0.19243039347041385,0.14654696922076624,0.5676791864291083,0.4323208135708917
