survey_year,survey_wave,scenario,geography_level,group_a_code,group_a,group_b_code,group_b,contrast,indoor_exposure_share_difference_a_minus_b,indoor_rate_difference_a_minus_b,outdoor_rate_difference_a_minus_b,borough_id,borough_name,borough_code
2023,2023/24,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.24088756324437588,0.17566514453724852,0.13123902891757935,,,
2023,2023/24,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.2090702353617011,0.1015941435159635,0.11055580678812585,,,
2023,2023/24,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.03181732788267477,0.07407100102128501,0.02068322212945351,,,
2023,2023/24,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.25441197897548284,0.1773567375436588,0.13784608692389874,,,
2023,2023/24,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.20848230764584819,0.10441833753575021,0.11622808362145111,,,
2023,2023/24,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.04592967132963466,0.07293840000790859,0.02161800330244762,,,
2024,2024/25,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.29139596769651943,0.1687941168647523,0.12734849770168483,,,
2024,2024/25,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.1910914059872767,0.09902450101324581,0.1054362993308151,,,
2024,2024/25,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.10030456170924273,0.06976961585150648,0.021912198370869728,,,
2024,2024/25,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.31122875417368057,0.1738769426935542,0.13853466290195127,,,
2024,2024/25,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18587341550798242,0.10592986596183139,0.1149309849541256,,,
2024,2024/25,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.12535533866569815,0.06794707673172279,0.023603677947825665,,,
2025,2025/26,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.25662176597988895,0.16737330723122887,0.1260649804956193,,,
2025,2025/26,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.1855766311133783,0.09728005508784082,0.10344584188158386,,,
2025,2025/26,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.07104513486651065,0.07009325214338805,0.022619138614035444,,,
2025,2025/26,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.29036554710976736,0.1738363828338316,0.1383330562997539,,,
2025,2025/26,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.1833901623762706,0.1054036568707768,0.11430318234670768,,,
2025,2025/26,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.10697538473349677,0.06843272596305482,0.02402987395304623,,,
2026,2026/27,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.23399135542181382,0.16676023602902726,0.12552078815491816,,,
2026,2026/27,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18500045996255532,0.09684507107112325,0.10292416269488472,,,
2026,2026/27,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.0489908954592585,0.06991516495790401,0.022596625460033437,,,
2026,2026/27,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.26490018237251567,0.17329668291798547,0.13835619517163014,,,
2026,2026/27,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18201670652450552,0.10505587788438693,0.1141344318710141,,,
2026,2026/27,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.08288347584801015,0.06824080503359854,0.024221763300616046,,,
2027,2027/28,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.2551277123582374,0.1667426198396523,0.12551998361413969,,,
2027,2027/28,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18474617136125726,0.09682722996888418,0.10287509906669189,,,
2027,2027/28,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.07038154099698013,0.0699153898707681,0.022644884547447796,,,
2027,2027/28,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.3081282338464105,0.17411080789440614,0.13907571196905336,,,
2027,2027/28,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18245863994113942,0.10579336659680579,0.11483796489607404,,,
2027,2027/28,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.1256695939052711,0.06831744129760034,0.02423774707297931,,,
2028,2028/29,legacy_recovery,London,2,Active,0,Inactive,Active minus Inactive,-0.2645100675809827,0.16671425261408984,0.12552897736637536,,,
2028,2028/29,legacy_recovery,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18499720823055876,0.09675408778450918,0.10288708896265802,,,
2028,2028/29,legacy_recovery,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.07951285935042396,0.06996016482958066,0.02264188840371733,,,
2028,2028/29,persistent_legacy,London,2,Active,0,Inactive,Active minus Inactive,-0.2878150199290572,0.17389988333637343,0.1384821318285318,,,
2028,2028/29,persistent_legacy,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.18160338254853237,0.10556447267963313,0.11423927738541273,,,
2028,2028/29,persistent_legacy,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.10621163738052486,0.0683354106567403,0.024242854443119074,,,
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.12933350630655005,0.15723470798659708,0.12229363998797334,8.0,Barking and Dagenham,E09000002
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.2364487882636619,0.08106316952925822,0.10330877559670537,8.0,Barking and Dagenham,E09000002
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.10711528195711184,0.07617153845733886,0.018984864391267963,8.0,Barking and Dagenham,E09000002
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.29380204364956564,0.160079896306024,0.12522451137144833,9.0,Barnet,E09000003
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.2361383960588166,0.0863080669193301,0.106474473801245,9.0,Barnet,E09000003
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.057663647590749045,0.07377182938669391,0.018750037570203337,9.0,Barnet,E09000003
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.23952197611732573,0.16062105303204585,0.11567382688822131,17.0,Bexley,E09000004
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.23493538330571584,0.07976301871750939,0.09752919716486416,17.0,Bexley,E09000004
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.004586592811609891,0.08085803431453646,0.018144629723357147,17.0,Bexley,E09000004
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.2570254536418841,0.1569878113349231,0.12205807647395066,30.0,Brent,E09000005
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.2048669088065057,0.08379112121141968,0.09991168795625394,30.0,Brent,E09000005
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.052158544835378406,0.07319669012350342,0.022146388517696715,30.0,Brent,E09000005
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.20806514973270607,0.16721022808402147,0.1266073217401933,35.0,Bromley,E09000006
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.22558218231277238,0.09263969774972566,0.10738148375160038,35.0,Bromley,E09000006
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.017517032580066316,0.07457053033429581,0.019225837988592905,35.0,Bromley,E09000006
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.3001413631146036,0.20256010942635985,0.153601413861499,44.0,Camden,E09000007
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.1837042319765868,0.130977723077624,0.13003439279347934,44.0,Camden,E09000007
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.11643713113801679,0.07158238634873586,0.023567021068019684,44.0,Camden,E09000007
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.2972488635898869,0.1568388308100649,0.1215700367768771,68.0,Croydon,E09000008
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.19657297137822016,0.08299233858196182,0.09824205265020973,68.0,Croydon,E09000008
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.10067589221166673,0.07384649222810305,0.023327984126667367,68.0,Croydon,E09000008
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.28534732116868367,0.16345724363694622,0.1284325994678932,78.0,Ealing,E09000009
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.19289775796281228,0.09431911608438807,0.10573826576345588,78.0,Ealing,E09000009
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,-0.09244956320587139,0.06913812755255815,0.022694333704437335,78.0,Ealing,E09000009
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.20377306038327347,0.15708628521595114,0.12669793067847113,91.0,Enfield,E09000010
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.20466773448868114,0.08639707832303015,0.10423391854993734,91.0,Enfield,E09000010
2023,2023/24,legacy_recovery,Borough,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.0008946741054076668,0.07068920689292099,0.022464012128533786,91.0,Enfield,E09000010
2023,2023/24,legacy_recovery,Borough,2,Active,0,Inactive,Active minus Inactive,-0.19886408994814597,0.16365486811207272,0.12444832792792777,107.0,Greenwich,E09000011
2023,2023/24,legacy_recovery,Borough,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,-0.21365087292982243,0.08955061064389942,0.10384658394268251,107.0,Greenwich,E09000011
