scope,geography_level,geography_name,geography_code,group_a_code,group_a,group_b_code,group_b,contrast,group_a_indoor_exposure_share,group_b_indoor_exposure_share,difference_a_minus_b,ci_95_low,ci_95_high,bootstrap_p_two_sided,bootstrap_repetitions,exposed_raw_n,group_a_exposed_raw_n,group_b_exposed_raw_n,group_a_effective_n,group_b_effective_n,minimum_group_exposed_raw_n,minimum_group_effective_n,low_group_raw_n_below_20,low_group_effective_n_below_20,estimable,p_fdr_bh,significant_95_ci,significant_fdr_05
all_six_waves_equal_wave_weight,London,London,London,2,Active,0,Inactive,Active minus Inactive,0.585500814799934,0.6979797783521471,-0.1124789635522131,-0.19488596009061068,-0.02441976073139591,0.011976047904191617,500,15738,14532,110,7186.823424872202,66.5514212319505,110,66.5514212319505,False,False,True,0.03747344021634151,True,True
all_six_waves_equal_wave_weight,London,London,London,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.585500814799934,0.676682038038042,-0.09118122323810807,-0.12333673791227664,-0.06061565619487243,0.003992015968063872,500,15738,14532,1096,7186.823424872202,551.8375189516698,1096,551.8375189516698,False,False,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,London,London,London,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.676682038038042,0.6979797783521471,-0.02129774031410503,-0.11181424487773138,0.06628990254784024,0.6027944111776448,500,15738,1096,110,551.8375189516698,66.5514212319505,110,66.5514212319505,False,False,True,0.7225062070979992,False,False
all_six_waves_equal_wave_weight,Borough,Barking and Dagenham,E09000002,2,Active,0,Inactive,Active minus Inactive,0.5824053851139944,1.0,-0.4175946148860056,-0.46357931174186606,-0.36878541754699934,0.003992015968063872,500,313,281,4,146.9288370316192,2.9172019355599614,4,2.9172019355599614,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Barking and Dagenham,E09000002,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5824053851139944,0.7349812430498399,-0.1525758579358455,-0.30794370152116624,0.03033372756623231,0.12375249500998003,500,313,281,28,146.9288370316192,20.753623531459336,28,20.753623531459336,False,False,True,0.25815036593479707,False,False
all_six_waves_equal_wave_weight,Borough,Barking and Dagenham,E09000002,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.7349812430498399,1.0,-0.2650187569501601,-0.4459886325210463,-0.11445306077466742,0.003992015968063872,500,313,28,4,20.753623531459336,2.9172019355599614,4,2.9172019355599614,True,True,True,0.013829483889364128,True,True
all_six_waves_equal_wave_weight,Borough,Barnet,E09000003,2,Active,0,Inactive,Active minus Inactive,0.5725689418384131,0.6551515524787219,-0.0825826106403088,-0.35723758896235713,0.09866628030203395,0.4590818363273453,500,517,480,5,251.3330476909231,2.6536429092761775,5,2.6536429092761775,True,True,True,0.6271963116021477,False,False
all_six_waves_equal_wave_weight,Borough,Barnet,E09000003,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5725689418384131,0.7683677242409692,-0.1957987824025561,-0.33908058541398695,-0.01526606518376469,0.043912175648702596,500,517,480,32,251.3330476909231,15.24055188184924,32,15.24055188184924,False,True,True,0.1038897814127842,True,False
all_six_waves_equal_wave_weight,Borough,Barnet,E09000003,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.7683677242409692,0.6551515524787219,0.1132161717622473,-0.19976614789901478,0.3583739427470095,0.49500998003992014,500,517,32,5,15.24055188184924,2.6536429092761775,5,2.6536429092761775,True,True,True,0.648864433295571,False,False
all_six_waves_equal_wave_weight,Borough,Bexley,E09000004,2,Active,0,Inactive,Active minus Inactive,0.5879859767865878,0.7539156620724615,-0.1659296852858737,-0.3800062446738515,0.36598571280811226,0.5508982035928144,500,392,351,5,199.0618730331449,2.6396616308256124,5,2.6396616308256124,True,True,True,0.6939886460844544,False,False
all_six_waves_equal_wave_weight,Borough,Bexley,E09000004,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.5879859767865878,0.8125899576255775,-0.2246039808389897,-0.36028708029462997,-0.05253876742873535,0.031936127744510975,500,392,351,36,199.0618730331449,25.2500031112076,36,25.2500031112076,False,False,True,0.08372444300588013,True,False
all_six_waves_equal_wave_weight,Borough,Bexley,E09000004,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.8125899576255775,0.7539156620724615,0.058674295553115985,-0.21672593520481687,0.5845233325599455,0.6746506986027944,500,392,36,5,25.2500031112076,2.6396616308256124,5,2.6396616308256124,True,True,True,0.7698955031114242,False,False
all_six_waves_equal_wave_weight,Borough,Brent,E09000005,2,Active,0,Inactive,Active minus Inactive,0.6097905735668311,0.6887460137318351,-0.078955440165004,-0.3723810289914904,0.11103283194850191,0.654690618762475,500,427,388,2,198.42488680142995,1.886734047126894,2,1.886734047126894,True,True,True,0.765120361686266,False,False
all_six_waves_equal_wave_weight,Borough,Brent,E09000005,2,Active,1,Insufficiently Active,Active minus Insufficiently Active,0.6097905735668311,0.6410606336043503,-0.0312700600375192,-0.26396339286251025,0.22206359672007292,0.6906187624750499,500,427,388,37,198.42488680142995,17.932774076223996,37,17.932774076223996,False,True,True,0.7789537204660447,False,False
all_six_waves_equal_wave_weight,Borough,Brent,E09000005,1,Insufficiently Active,0,Inactive,Insufficiently Active minus Inactive,0.6410606336043503,0.6887460137318351,-0.0476853801274848,-0.43988631890511337,0.268991831176675,0.8502994011976048,500,427,37,2,17.932774076223996,1.886734047126894,2,1.886734047126894,True,True,True,0.8868714184534159,False,False
all_six_waves_equal_wave_weight,Borough,Bromley,E09000006,2,Active,0,Inactive,Active minus Inactive,0.5729615343470114,0.7211289709688867,-0.14816743662187537,-0.39930888323363467,0.2588749474111691,0.5149700598802395,500,481,447,5,226.7791176474692,4.179937459962593,5,4.179937459962593,True,True,True,0.6660279441117763,False,False
