frequency,split,fold,train_start_wave,train_end_wave,validation_wave,model,params,alr_epsilon,weighted_tv,unweighted_tv,weighted_mae,unweighted_mae,weighted_component_mae,neither_recorded_weighted_mae,neither_recorded_weighted_rmse,neither_recorded_weighted_r2,indoor_only_weighted_mae,indoor_only_weighted_rmse,indoor_only_weighted_r2,outdoor_only_weighted_mae,outdoor_only_weighted_rmse,outdoor_only_weighted_r2,both_weighted_mae,both_weighted_rmse,both_weighted_r2,indoor_weighted_mae,outdoor_weighted_mae,indoor_weighted_rmse,outdoor_weighted_rmse,tv_rank,mae_rank,selection_mean_rank,skill_vs_naive,is_selected_model
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 180}",1e-06,0.03883325901599002,0.03723681086762688,0.02381064502955928,0.021945173249742322,0.01941662950799501,,,,,,,,,,,,,,,,,3.0,4.0,3.5,0.13885280293769464,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 5, ""n_estimators"": 120}",1e-06,0.038875215413271984,0.03648946653594659,0.02375050812117792,0.02162862506901886,0.019437607706635992,,,,,,,,,,,,,,,,,4.0,3.0,3.5,0.13792239856696387,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 10, ""n_estimators"": 120}",1e-06,0.040448289944082,0.038933991025311754,0.02492103864017543,0.02302996910992899,0.020224144972041,,,,,,,,,,,,,,,,,5.0,5.0,5.0,0.10303867370577324,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Naive,{},1e-06,0.04509479813493531,0.04239617968790107,0.025533291045990097,0.02413543776791961,0.022547399067467656,,,,,,,,,,,,,,,,,6.0,6.0,6.0,0.0,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Random Forest,"{""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 250}",1e-06,0.036475021894059545,0.03390999905303555,0.022999193164223646,0.020484223393304545,0.018237510947029772,,,,,,,,,,,,,,,,,1.0,2.0,1.5,0.1911479061306176,True
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 10, ""n_estimators"": 250}",1e-06,0.036529070135693155,0.03430450573701286,0.022821836174020203,0.020570949391926673,0.018264535067846577,,,,,,,,,,,,,,,,,2.0,1.0,1.5,0.1899493589839626,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 0.1}",1e-06,0.06865228517400744,0.05222852728625963,0.0427862242533113,0.031209355238420795,0.03432614258700372,,,,,,,,,,,,,,,,,8.0,7.0,7.5,-0.5223992126227515,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 1.0}",1e-06,0.06863954083661374,0.0522080780247137,0.04281614356245261,0.031212370558891703,0.03431977041830687,,,,,,,,,,,,,,,,,7.0,8.0,7.5,-0.5221166004829749,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 10.0}",1e-06,0.06866831165690876,0.052143752188792504,0.04314022084128443,0.031268093699624085,0.03433415582845438,,,,,,,,,,,,,,,,,9.0,9.0,9.0,-0.5227546080023553,False
annual,rolling_validation_mean,mean_of_3_folds,2017/18,varies_by_fold,"2019/20, 2020/21, 2021/22",Ridge,"{""alpha"": 100.0}",1e-06,0.07360873322064153,0.05531962348683517,0.04771965029791075,0.033887332445365015,0.036804366610320764,,,,,,,,,,,,,,,,,10.0,10.0,10.0,-0.632310959689522,False
