serial,year,month,LA_2023,LondInOut,Reg9,MEMS7GR_ALL,wt_final,wt_time,survey_year,survey_wave,period_start,borough_id,borough_name,borough_code,inner_outer_code,inner_outer,activity_level_code,activity_level,respondent_id,any_recent_comparable_activity,any_indoor,any_outdoor,both,indoor_only,outdoor_only,neither_recorded,recent_activity_without_recorded_location,n_recent_activity_flags,n_indoor_flags,n_outdoor_flags
170390237749481.0,2017,25.0,147.0,1.0,3.0,2.0,3.71937556785454,4.369042856995063,2017,2017/18,2017-11-01,147,Lewisham,E09000023,1,Inner London,2.0,Active,2017_170390237749481.0,1,0,0,0,0,0,1,1,6,0,0
170390287888181.0,2017,33.0,241.0,1.0,3.0,2.0,3.6333981387002536,2.8068715558496757,2017,2017/18,2018-07-01,241,Southwark,E09000028,1,Inner London,2.0,Active,2017_170390287888181.0,1,0,0,0,0,0,1,1,10,0,0
170390287888182.0,2017,33.0,241.0,1.0,3.0,2.0,2.3793095937234483,1.6161715229679716,2017,2017/18,2018-07-01,241,Southwark,E09000028,1,Inner London,2.0,Active,2017_170390287888182.0,1,1,1,1,0,0,0,0,6,3,3
170490106326581.0,2017,30.0,91.0,2.0,3.0,1.0,1.1431737010293217,1.697106540306621,2017,2017/18,2018-04-01,91,Enfield,E09000010,2,Outer London,1.0,Insufficiently Active,2017_170490106326581.0,0,0,0,0,0,0,1,0,0,0,0
170490106326582.0,2017,30.0,91.0,2.0,3.0,2.0,1.827628346856876,2.791836060113619,2017,2017/18,2018-04-01,91,Enfield,E09000010,2,Outer London,2.0,Active,2017_170490106326582.0,1,1,0,0,1,0,0,0,1,1,0
170490206555082.0,2017,29.0,136.0,1.0,3.0,0.0,0.6762449146072527,0.6488690363943446,2017,2017/18,2018-03-01,136,Kensington and Chelsea,E09000020,1,Inner London,0.0,Inactive,2017_170490206555082.0,0,0,0,0,0,0,1,0,0,0,0
170590146446081.0,2017,25.0,114.0,1.0,3.0,1.0,0.4454975165136094,0.456377940356528,2017,2017/18,2017-11-01,114,Haringey,E09000014,1,Inner London,1.0,Insufficiently Active,2017_170590146446081.0,0,0,0,0,0,0,1,0,0,0,0
170690146420182.0,2017,27.0,114.0,1.0,3.0,2.0,0.5492967805743595,0.435273689439146,2017,2017/18,2018-01-01,114,Haringey,E09000014,1,Inner London,2.0,Active,2017_170690146420182.0,0,0,0,0,0,0,1,0,0,0,0
170790096649081.0,2017,25.0,78.0,2.0,3.0,2.0,0.5874990757989379,0.7580431959916875,2017,2017/18,2017-11-01,78,Ealing,E09000009,2,Outer London,2.0,Active,2017_170790096649081.0,1,0,1,0,0,1,0,0,2,0,2
170790287132681.0,2017,25.0,241.0,1.0,3.0,2.0,1.580782411448795,3.2843018826958232,2017,2017/18,2017-11-01,241,Southwark,E09000028,1,Inner London,2.0,Active,2017_170790287132681.0,0,0,0,0,0,0,1,0,0,0,0
170790287132682.0,2017,26.0,241.0,1.0,3.0,2.0,2.7843284601396467,5.243095863767444,2017,2017/18,2017-12-01,241,Southwark,E09000028,1,Inner London,2.0,Active,2017_170790287132682.0,1,1,0,0,1,0,0,0,1,1,0
170790337223981.0,2017,25.0,293.0,1.0,3.0,2.0,5.368578935042516,4.716027263654235,2017,2017/18,2017-11-01,293,Westminster,E09000033,1,Inner London,2.0,Active,2017_170790337223981.0,0,0,0,0,0,0,1,0,0,0,0
170890177380281.0,2017,29.0,126.0,2.0,3.0,2.0,0.627550913210344,0.6867777648450564,2017,2017/18,2018-03-01,126,Hillingdon,E09000017,2,Outer London,2.0,Active,2017_170890177380281.0,0,0,0,0,0,0,1,0,0,0,0
170890177380282.0,2017,29.0,126.0,2.0,3.0,0.0,1.287980874506414,1.6158472382405316,2017,2017/18,2018-03-01,126,Hillingdon,E09000017,2,Outer London,0.0,Inactive,2017_170890177380282.0,0,0,0,0,0,0,1,0,0,0,0
170890267594281.0,2017,25.0,196.0,2.0,3.0,2.0,3.281224375879953,2.48812196497304,2017,2017/18,2017-11-01,196,Redbridge,E09000026,2,Outer London,2.0,Active,2017_170890267594281.0,1,0,0,0,0,0,1,1,3,0,0
170890287656681.0,2017,25.0,241.0,1.0,3.0,2.0,2.3216194471603813,4.174766335552288,2017,2017/18,2017-11-01,241,Southwark,E09000028,1,Inner London,2.0,Active,2017_170890287656681.0,1,1,0,0,1,0,0,0,4,4,0
170990077196781.0,2017,27.0,44.0,1.0,3.0,2.0,0.7406325578830852,0.9675645765314616,2017,2017/18,2018-01-01,44,Camden,E09000007,1,Inner London,2.0,Active,2017_170990077196781.0,1,0,1,0,0,1,0,0,1,0,1
170990077199581.0,2017,25.0,44.0,1.0,3.0,2.0,1.043178272912708,1.391008254527322,2017,2017/18,2017-11-01,44,Camden,E09000007,1,Inner London,2.0,Active,2017_170990077199581.0,0,0,0,0,0,0,1,0,0,0,0
170990097233781.0,2017,26.0,78.0,2.0,3.0,0.0,1.106906918585567,2.053737093215952,2017,2017/18,2017-12-01,78,Ealing,E09000009,2,Outer London,0.0,Inactive,2017_170990097233781.0,0,0,0,0,0,0,1,0,0,0,0
170990107284081.0,2017,25.0,91.0,2.0,3.0,1.0,3.87697121384919,4.158596317569851,2017,2017/18,2017-11-01,91,Enfield,E09000010,2,Outer London,1.0,Insufficiently Active,2017_170990107284081.0,0,0,0,0,0,0,1,0,0,0,0
170990117324282.0,2017,26.0,107.0,2.0,3.0,0.0,0.4019122941360037,0.5555392182305503,2017,2017/18,2017-12-01,107,Greenwich,E09000011,2,Outer London,0.0,Inactive,2017_170990117324282.0,0,0,0,0,0,0,1,0,0,0,0
170990127368981.0,2017,25.0,109.0,1.0,3.0,2.0,1.5360026498393884,2.4237365703030296,2017,2017/18,2017-11-01,109,Hackney,E09000012,1,Inner London,2.0,Active,2017_170990127368981.0,0,0,0,0,0,0,1,0,0,0,0
170990127368982.0,2017,25.0,109.0,1.0,3.0,0.0,7.608565683565005,15.609995301915866,2017,2017/18,2017-11-01,109,Hackney,E09000012,1,Inner London,0.0,Inactive,2017_170990127368982.0,0,0,0,0,0,0,1,0,0,0,0
170990147408282.0,2017,25.0,114.0,1.0,3.0,2.0,1.7166074876460309,1.8868982540300705,2017,2017/18,2017-11-01,114,Haringey,E09000014,1,Inner London,2.0,Active,2017_170990147408282.0,1,0,0,0,0,0,1,1,3,0,0
170990147453181.0,2017,26.0,114.0,1.0,3.0,1.0,4.397579885499568,7.318109756267594,2017,2017/18,2017-12-01,114,Haringey,E09000014,1,Inner London,1.0,Insufficiently Active,2017_170990147453181.0,1,0,0,0,0,0,1,1,1,0,0
170990157465982.0,2017,25.0,117.0,2.0,3.0,1.0,2.6668356869175014,1.1201305425881751,2017,2017/18,2017-11-01,117,Harrow,E09000015,2,Outer London,1.0,Insufficiently Active,2017_170990157465982.0,1,0,0,0,0,0,1,1,2,0,0
170990157475381.0,2017,25.0,117.0,2.0,3.0,1.0,0.9591539219003402,0.8691869580340003,2017,2017/18,2017-11-01,117,Harrow,E09000015,2,Outer London,1.0,Insufficiently Active,2017_170990157475381.0,1,1,0,0,1,0,0,0,3,3,0
170990157475382.0,2017,25.0,117.0,2.0,3.0,2.0,2.7459179966572664,2.062370454605621,2017,2017/18,2017-11-01,117,Harrow,E09000015,2,Outer London,2.0,Active,2017_170990157475382.0,1,0,0,0,0,0,1,1,3,0,0
170990227648981.0,2017,36.0,142.0,1.0,3.0,1.0,4.13595087977999,4.267469463799591,2017,2017/18,2018-10-01,142,Lambeth,E09000022,1,Inner London,1.0,Insufficiently Active,2017_170990227648981.0,1,0,0,0,0,0,1,1,2,0,0
170990227648982.0,2017,36.0,142.0,1.0,3.0,2.0,4.08471211097427,5.905637132011911,2017,2017/18,2018-10-01,142,Lambeth,E09000022,1,Inner London,2.0,Active,2017_170990227648982.0,0,0,0,0,0,0,1,0,0,0,0
170990227650981.0,2017,25.0,142.0,1.0,3.0,2.0,2.905886058551721,2.310602254656481,2017,2017/18,2017-11-01,142,Lambeth,E09000022,1,Inner London,2.0,Active,2017_170990227650981.0,1,1,0,0,1,0,0,0,4,4,0
170990227650982.0,2017,25.0,142.0,1.0,3.0,2.0,2.4140026902307468,2.1579977998046043,2017,2017/18,2017-11-01,142,Lambeth,E09000022,1,Inner London,2.0,Active,2017_170990227650982.0,0,0,0,0,0,0,1,0,0,0,0
170990247691181.0,2017,25.0,160.0,2.0,3.0,2.0,1.4988623513865167,1.1933272593762905,2017,2017/18,2017-11-01,160,Merton,E09000024,2,Outer London,2.0,Active,2017_170990247691181.0,1,1,0,0,1,0,0,0,1,1,0
