category,variable,activity_suffix,activity_label,source_status
Other,serial,,,source variable
Other,year,,,constant value: 2016
Other,mode,,,source variable
Other,Month,,,source variable
Geography,LA_2023,,,source variable
Geography,Reg9,,,source variable
Geography,LondInOut,,,source variable
Demographics,age16plus,,,source variable
Demographics,Age9,,,source variable
Demographics,Disab3,,,source variable
Demographics,disty1_POP,,,source variable
Demographics,disty2_POP,,,source variable
Demographics,disty3_POP,,,source variable
Demographics,disty4_POP,,,source variable
Demographics,disty5_POP,,,source variable
Demographics,disty6_POP,,,source variable
Demographics,disty7_POP,,,source variable
Demographics,disty8_POP,,,source variable
Demographics,disty9_POP,,,source variable
Demographics,disty10_POP,,,source variable
Demographics,disty11_POP,,,source variable
Demographics,disty12_POP,,,source variable
Demographics,disty13_POP,,,source variable
Weight,wt_final,,,source variable
Weight,wt_final_online,,,source variable
Weight,wt_final_B,,,source variable
Weight,wt_final_C,,,source variable
Weight,wt_final_AB,,,source variable
Weight,wt_final_AC,,,source variable
Weight,wt_time,,,source variable
Weight,wt_online_time,,,source variable
Activity,MEMS7_ABSEILING_H03,ABSEILING_H03,Abseiling,source variable
Activity,MEMS7GR_ABSEILING_H03,ABSEILING_H03,Abseiling,source variable
Activity,DAYS10P60GR_ABSEILING_H03,ABSEILING_H03,Abseiling,source variable
Activity,MONTHS_12_ABSEILING_H03,ABSEILING_H03,Abseiling,source variable
Activity,MEMS7_ACTTRAV_C03,ACTTRAV_C03,Active Travel,source variable
Activity,MEMS7GR_ACTTRAV_C03,ACTTRAV_C03,Active Travel,source variable
Activity,DAYS10P60GR_ACTTRAV_C03,ACTTRAV_C03,Active Travel,source variable
Activity,MONTHS_12_ACTTRAV_C03,ACTTRAV_C03,Active Travel,source variable
Activity,MEMS7_AIKIDO_S04,AIKIDO_S04,Aikido,source variable
Activity,MEMS7GR_AIKIDO_S04,AIKIDO_S04,Aikido,source variable
Activity,DAYS10P60GR_AIKIDO_S04,AIKIDO_S04,Aikido,source variable
Activity,MONTHS_12_AIKIDO_S04,AIKIDO_S04,Aikido,source variable
Activity,MEMS7_AIRGUN_S08,AIRGUN_S08,Airgun (including pistol),source variable
Activity,MEMS7GR_AIRGUN_S08,AIRGUN_S08,Airgun (including pistol),source variable
Activity,DAYS10P60GR_AIRGUN_S08,AIRGUN_S08,Airgun (including pistol),source variable
Activity,MONTHS_12_AIRGUN_S08,AIRGUN_S08,Airgun (including pistol),source variable
Activity,MEMS7_ARCHERY_J01,ARCHERY_J01,Archery,source variable
Activity,MEMS7GR_ARCHERY_J01,ARCHERY_J01,Archery,source variable
Activity,DAYS10P60GR_ARCHERY_J01,ARCHERY_J01,Archery,source variable
Activity,MONTHS_12_ARCHERY_J01,ARCHERY_J01,Archery,source variable
Activity,MEMS7_BADMINTON_G02,BADMINTON_G02,Badminton,source variable
Activity,MEMS7GR_BADMINTON_G02,BADMINTON_G02,Badminton,source variable
Activity,DAYS10P60GR_BADMINTON_G02,BADMINTON_G02,Badminton,source variable
Activity,MONTHS_12_BADMINTON_G02,BADMINTON_G02,Badminton,source variable
Activity,MEMS7_BASESOFTBALL_F13,BASESOFTBALL_F13,Baseball or Softball,source variable
Activity,MEMS7GR_BASESOFTBALL_F13,BASESOFTBALL_F13,Baseball or Softball,source variable
Activity,DAYS10P60GR_BASESOFTBALL_F13,BASESOFTBALL_F13,Baseball or Softball,source variable
Activity,MONTHS_12_BASESOFTBALL_F13,BASESOFTBALL_F13,Baseball or Softball,source variable
Activity,MEMS7_BASKETBALL_F07,BASKETBALL_F07,Basketball,source variable
Activity,MEMS7GR_BASKETBALL_F07,BASKETBALL_F07,Basketball,source variable
Activity,DAYS10P60GR_BASKETBALL_F07,BASKETBALL_F07,Basketball,source variable
Activity,MONTHS_12_BASKETBALL_F07,BASKETBALL_F07,Basketball,source variable
Activity,MEMS7_BOCCIA_L11,BOCCIA_L11,Boccia,source variable
Activity,MEMS7GR_BOCCIA_L11,BOCCIA_L11,Boccia,source variable
Activity,DAYS10P60GR_BOCCIA_L11,BOCCIA_L11,Boccia,source variable
Activity,MONTHS_12_BOCCIA_L11,BOCCIA_L11,Boccia,source variable
Activity,MEMS7_BOULES_L12,BOULES_L12,"Boules, petanque, deck bowls",source variable
Activity,MEMS7GR_BOULES_L12,BOULES_L12,"Boules, petanque, deck bowls",source variable
Activity,DAYS10P60GR_BOULES_L12,BOULES_L12,"Boules, petanque, deck bowls",source variable
Activity,MONTHS_12_BOULES_L12,BOULES_L12,"Boules, petanque, deck bowls",source variable
Activity,MEMS7_BOWLSBOULES_C12,BOWLSBOULES_C12,Bowls or boules,source variable
Activity,MEMS7GR_BOWLSBOULES_C12,BOWLSBOULES_C12,Bowls or boules,source variable
Activity,DAYS10P60GR_BOWLSBOULES_C12,BOWLSBOULES_C12,Bowls or boules,source variable
Activity,MONTHS_12_BOWLSBOULES_C12,BOWLSBOULES_C12,Bowls or boules,source variable
Activity,MEMS7_BOWLSCARPET_U18,BOWLSCARPET_U18,Carpet bowls,source variable
Activity,MEMS7GR_BOWLSCARPET_U18,BOWLSCARPET_U18,Carpet bowls,source variable
Activity,DAYS10P60GR_BOWLSCARPET_U18,BOWLSCARPET_U18,Carpet bowls,source variable
Activity,MONTHS_12_BOWLSCARPET_U18,BOWLSCARPET_U18,Carpet bowls,source variable
Activity,MEMS7_BOWLSCROWNGREEN_U19,BOWLSCROWNGREEN_U19,Crown green bowls,source variable
Activity,MEMS7GR_BOWLSCROWNGREEN_U19,BOWLSCROWNGREEN_U19,Crown green bowls,source variable
Activity,DAYS10P60GR_BOWLSCROWNGREEN_U19,BOWLSCROWNGREEN_U19,Crown green bowls,source variable
Activity,MONTHS_12_BOWLSCROWNGREEN_U19,BOWLSCROWNGREEN_U19,Crown green bowls,source variable
Activity,MEMS7_BOWLSFLATGREEN_U20,BOWLSFLATGREEN_U20,Flat green bowls,source variable
Activity,MEMS7GR_BOWLSFLATGREEN_U20,BOWLSFLATGREEN_U20,Flat green bowls,source variable
Activity,DAYS10P60GR_BOWLSFLATGREEN_U20,BOWLSFLATGREEN_U20,Flat green bowls,source variable
Activity,MONTHS_12_BOWLSFLATGREEN_U20,BOWLSFLATGREEN_U20,Flat green bowls,source variable
Activity,MEMS7_BOWLSSHORTMAT_U23,BOWLSSHORTMAT_U23,Short mat bowls,source variable
Activity,MEMS7GR_BOWLSSHORTMAT_U23,BOWLSSHORTMAT_U23,Short mat bowls,source variable
Activity,DAYS10P60GR_BOWLSSHORTMAT_U23,BOWLSSHORTMAT_U23,Short mat bowls,source variable
Activity,MONTHS_12_BOWLSSHORTMAT_U23,BOWLSSHORTMAT_U23,Short mat bowls,source variable
Activity,MEMS7_BOWLS_L10,BOWLS_L10,Bowls,source variable
Activity,MEMS7GR_BOWLS_L10,BOWLS_L10,Bowls,source variable
Activity,DAYS10P60GR_BOWLS_L10,BOWLS_L10,Bowls,source variable
Activity,MONTHS_12_BOWLS_L10,BOWLS_L10,Bowls,source variable
Activity,MEMS7_BOXINGTRAD_S01,BOXINGTRAD_S01,Boxing (traditional),source variable
Activity,MEMS7GR_BOXINGTRAD_S01,BOXINGTRAD_S01,Boxing (traditional),source variable
Activity,DAYS10P60GR_BOXINGTRAD_S01,BOXINGTRAD_S01,Boxing (traditional),source variable
Activity,MONTHS_12_BOXINGTRAD_S01,BOXINGTRAD_S01,Boxing (traditional),source variable
Activity,MEMS7_CAVING_H02,CAVING_H02,Caving or pot holing,source variable
Activity,MEMS7GR_CAVING_H02,CAVING_H02,Caving or pot holing,source variable
Activity,DAYS10P60GR_CAVING_H02,CAVING_H02,Caving or pot holing,source variable
Activity,MONTHS_12_CAVING_H02,CAVING_H02,Caving or pot holing,source variable
Activity,MEMS7_CHEERLEADING_L15,CHEERLEADING_L15,Cheerleading,source variable
Activity,MEMS7GR_CHEERLEADING_L15,CHEERLEADING_L15,Cheerleading,source variable
Activity,DAYS10P60GR_CHEERLEADING_L15,CHEERLEADING_L15,Cheerleading,source variable
Activity,MONTHS_12_CHEERLEADING_L15,CHEERLEADING_L15,Cheerleading,source variable
Activity,MEMS7_CLIMBWALL_R02,CLIMBWALL_R02,Climbing or bouldering wall,source variable
Activity,MEMS7GR_CLIMBWALL_R02,CLIMBWALL_R02,Climbing or bouldering wall,source variable
Activity,DAYS10P60GR_CLIMBWALL_R02,CLIMBWALL_R02,Climbing or bouldering wall,source variable
Activity,MONTHS_12_CLIMBWALL_R02,CLIMBWALL_R02,Climbing or bouldering wall,source variable
Activity,MEMS7_CRICKETLONG_Q06,CRICKETLONG_Q06,Long form cricket match (e.g. 40-50 overs),source variable
Activity,MEMS7GR_CRICKETLONG_Q06,CRICKETLONG_Q06,Long form cricket match (e.g. 40-50 overs),source variable
Activity,DAYS10P60GR_CRICKETLONG_Q06,CRICKETLONG_Q06,Long form cricket match (e.g. 40-50 overs),source variable
Activity,MONTHS_12_CRICKETLONG_Q06,CRICKETLONG_Q06,Long form cricket match (e.g. 40-50 overs),source variable
Activity,MEMS7_CRICKETOTH_Q12,CRICKETOTH_Q12,Other cricket,source variable
Activity,MEMS7GR_CRICKETOTH_Q12,CRICKETOTH_Q12,Other cricket,source variable
Activity,DAYS10P60GR_CRICKETOTH_Q12,CRICKETOTH_Q12,Other cricket,source variable
Activity,MONTHS_12_CRICKETOTH_Q12,CRICKETOTH_Q12,Other cricket,source variable
Activity,MEMS7_CRICKETSHORT_Q07,CRICKETSHORT_Q07,Short form cricket match (e.g. 20:20),source variable
Activity,MEMS7GR_CRICKETSHORT_Q07,CRICKETSHORT_Q07,Short form cricket match (e.g. 20:20),source variable
Activity,DAYS10P60GR_CRICKETSHORT_Q07,CRICKETSHORT_Q07,Short form cricket match (e.g. 20:20),source variable
Activity,MONTHS_12_CRICKETSHORT_Q07,CRICKETSHORT_Q07,Short form cricket match (e.g. 20:20),source variable
Activity,MEMS7_CROQUET_I05,CROQUET_I05,Croquet,source variable
Activity,MEMS7GR_CROQUET_I05,CROQUET_I05,Croquet,source variable
Activity,DAYS10P60GR_CROQUET_I05,CROQUET_I05,Croquet,source variable
Activity,MONTHS_12_CROQUET_I05,CROQUET_I05,Croquet,source variable
Activity,MEMS7_CYCBMX_N03,CYCBMX_N03,BMX,source variable
