output_position,variable_name,section,variable_label,source_position,source_format,measurement_level,value_labels,notes
1,serial,Survey information,Serial,1,F15.0,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group""}",
2,year,Survey information,Survey year,,integer,nominal,,Derived from the Year 2 source file; constant value 2017
3,mode,Survey information,Mode of completion,3,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""CAWI"", ""2.0"": ""PAPER""}",
4,month,Survey information,Interview month,6,F8.2,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""Month 1 (Nov 2015 to Dec 2015)"", ""2.0"": ""Month 2 (Dec 2015 to Jan 2016)"", ""3.0"": ""Month 3 (Jan 2016 to Feb 2016)"", ""4.0"": ""Month 4 (Feb 2016 to Mar 2016)"", ""5.0"": ""Month 5 (Mar 2016 to Apr 2016)"", ""6.0"": ""Month 6 (Apr 2016 to May 2016)"", ""7.0"": ""Month 7 (May 2016 to June 2016)"", ""8.0"": ""Month 8 (June 2016 to July 2016)"", ""9.0"": ""Month 9 (July 2016 to August 2016)"", ""10.0"": ""Month 10 (August 2016 to September 2016)"", ""11.0"": ""Month 11 (September 2016 to October 2016)"", ""12.0"": ""Month 12 (October 2016 to November 2016)"", ""13.0"": ""Month 13 (Nov 2016 to Dec 2016)"", ""14.0"": ""Month 14 (Dec 2016 to Jan 2017)"", ""15.0"": ""Month 15 (Jan 2017 to Feb 2017)"", ""16.0"": ""Month 16 (Feb 2017 to Mar 2017)"", ""17.0"": ""Month 17 (Mar 2017 to Apr 2017)"", ""18.0"": ""Month 18 (Apr 2017 to May 2017)"", ""19.0"": ""Month 19 (May 2017 to June 2017)"", ""20.0"": ""Month 20 (June 2017 to July 2017)"", ""21.0"": ""Month 21 (July 2017 to Aug 2017)"", ""22.0"": ""Month 22 (Aug 2017 to Sep 2017)"", ""23.0"": ""Month 23 (Sep 2017 to Oct 2017)"", ""24.0"": ""Month 24 (Oct 2017 to Nov 2017)"", ""25.0"": ""Month 25 (Nov 2017 to Dec 2017)""}",
5,Age16plus,Demographics,Aged 16 and over,12,F8.2,nominal,"{""0.0"": ""Age under 16"", ""1.0"": ""All adults (aged 16+)""}",
6,wt_final,Weights,All: Online and Postal,14,F8.2,scale,,
7,wt_final_online,Weights,All: Online,15,F8.2,scale,,
8,wt_final_B,Weights,Phase 2: Online Group 1,16,F8.2,scale,,
9,wt_final_C,Weights,Phase 2: Online Group 2,17,F8.2,scale,,
10,wt_final_AB,Weights,Phase 2: Postal & Online Group 1,18,F8.2,scale,,
11,wt_final_AC,Weights,Phase 2: Postal & Online Group 2,19,F8.2,scale,,
12,wt_time,Weights,All: Online and Postal - time series weight,20,F8.2,scale,,
13,wt_online_time,Weights,All: Online - time series weight,21,F8.2,scale,,
14,Reg9,Geography,Region - 9 groups,51,F2.0,nominal,"{""-99.0"": ""Missing, should have been answered"", ""-98.0"": ""Not applicable: Survey routing"", ""-97.0"": ""Incorrectly multicoded"", ""-96.0"": ""Out of range"", ""-95.0"": ""Cannot give an estimate / Don't know"", ""-94.0"": ""Prefer not to say"", ""-93.0"": ""Not applicable: Postal response"", ""-92.0"": ""Not applicable: Phase 1 case"", ""-91.0"": ""Not applicable: Phase 2 case"", ""-90.0"": ""Not applicable: Not asked to this group"", ""1.0"": ""East Midlands"", ""2.0"": ""East"", ""3.0"": ""London"", ""4.0"": ""North East"", ""5.0"": ""North West"", ""6.0"": ""South East"", ""7.0"": ""South West"", ""8.0"": ""West Midlands"", ""9.0"": ""Yorkshire""}",
15,LondInOut,Geography,London - Inner / Outer split (ONS 2022 classification),53,F8.2,nominal,"{""0.0"": ""Areas outside of London"", ""1.0"": ""E13000001 Inner London"", ""2.0"": ""E13000002 Outer London""}",
