calendar_year,geography_code,geography_name,adult_population,population_age_16_34_rate,population_age_65_plus_rate,population_female_rate,net_migration_per_1000,median_weekly_earnings_gbp,earnings_relative_to_london,economic_inactivity_rate,earnings_confidence_pct,economic_inactivity_confidence_pp
2015,E09000002,Barking and Dagenham,150964,0.38356826793142734,0.12801727564187487,0.5229988606555205,7.711310244611286,436.6,0.8210118114443056,0.26,5.4,3.7
2016,E09000002,Barking and Dagenham,153871,0.3785768598371363,0.1260536423367626,0.5255441246238732,2.9140428435372216,462.2,0.857775698242727,0.275,4.5,3.7
2017,E09000002,Barking and Dagenham,156093,0.37493032999557957,0.12358657979537839,0.5254239459809217,-4.58842054603139,461.0,0.8239741689533082,0.247,5.1,3.7
2018,E09000002,Barking and Dagenham,158220,0.3713816205283782,0.12090127670332448,0.5243395272405511,-6.842411857714819,479.1,0.8364207698409309,0.27399999999999997,4.9,4.1
2019,E09000002,Barking and Dagenham,160847,0.3698981019229454,0.11873395214085435,0.52326123583281,-4.38243734805418,471.0,0.7948991378381518,0.257,6.1,4.3
2020,E09000002,Barking and Dagenham,161274,0.36292892840755486,0.11828317025683,0.5227749048203678,-12.101611571567371,486.7,0.8159475453598316,0.258,6.5,5.8
2021,E09000002,Barking and Dagenham,161833,0.3603962109087763,0.11824535168970482,0.5226746090105232,-14.091461909159907,508.7,0.8220692757525633,0.316,7.4,6.0
2022,E09000002,Barking and Dagenham,163328,0.36114444553291536,0.11910388910658307,0.5230089145768025,-1.8194852807724418,536.6,0.8304184355810585,0.248,5.1,6.0
2023,E09000002,Barking and Dagenham,168594,0.36946747808344305,0.11613106041733395,0.5200778200884967,16.893429547372747,558.4,0.8072076144453288,0.252,4.5,5.8
2015,E09000003,Barnet,299227,0.3450958636754036,0.1734569407172481,0.5202104088200596,2.0988497350632302,491.0,0.9233092061822127,0.247,4.9,3.7
2016,E09000003,Barnet,303510,0.3418305821883958,0.17411946888076174,0.521712628908438,4.39511653718091,485.6,0.9012026808019651,0.275,5.4,4.0
2017,E09000003,Barnet,304060,0.33363152009471814,0.17568900874827337,0.5230250608432546,-5.3759661769721205,522.6,0.9340757064967438,0.231,4.5,3.7
2018,E09000003,Barnet,306985,0.3287261592585957,0.17674479209081878,0.5228985129566591,0.376702255569259,536.6,0.9368052287552568,0.242,4.6,3.9
2019,E09000003,Barnet,309994,0.32534823254643636,0.17768085833919367,0.5232230301231636,-0.15873422258634373,536.4,0.9052736678054876,0.217,4.4,4.1
2020,E09000003,Barnet,310550,0.3197617130896796,0.17923039768153276,0.5235904041217195,-5.34463976105113,538.8,0.9032926596258007,0.209,4.1,4.4
2021,E09000003,Barnet,309289,0.3127915962093705,0.18289043580599373,0.5244221423975635,-11.59260068645473,574.9,0.9290497869670702,0.239,5.8,4.3
2022,E09000003,Barnet,309264,0.30723588907858657,0.18627774328728852,0.5251241657612913,-2.0083459068424654,624.3,0.9661390781462073,0.243,4.6,5.0
2023,E09000003,Barnet,315506,0.3106533631690047,0.18724525048652008,0.5242214094185214,14.596010457293108,633.1,0.9151918708906478,0.264,4.4,6.5
2015,E09000004,Bexley,191596,0.3026472368942984,0.2081776237499739,0.5268272824067308,4.970446553202417,491.1,0.9234972528637162,0.187,4.8,3.6
2016,E09000004,Bexley,193677,0.3022145117902487,0.2071696690882242,0.5268927131254615,6.040835061432915,487.0,0.9038008763396972,0.185,5.6,3.5
2017,E09000004,Bexley,194245,0.2986125769003063,0.20782516924502561,0.5259903729825736,-2.26999435568971,513.0,0.9169170253211434,0.213,4.6,3.5
2018,E09000004,Bexley,194761,0.2950025929215808,0.20798825226816456,0.5268919342168094,-1.0112377876726852,512.7,0.8950802101804327,0.21100000000000002,5.4,3.6
2019,E09000004,Bexley,195846,0.2935367584734945,0.2084597081380268,0.5269293220183205,1.5083812474150724,553.4,0.933964294861217,0.20800000000000002,5.1,3.6
2020,E09000004,Bexley,196140,0.2903487304986234,0.20851432650147853,0.5265932497195881,-1.3971910385381736,566.5,0.9497314247921607,0.177,7.6,3.9
2021,E09000004,Bexley,196129,0.2890852449153363,0.20920414625068195,0.5265819945036175,-3.827487359966266,586.6,0.9479572187073986,0.217,5.8,4.1
2022,E09000004,Bexley,196925,0.2869823536879523,0.2106588802843722,0.5267030595404342,1.9364599092284418,634.4,0.9817693916001184,0.147,5.2,4.4
2023,E09000004,Bexley,200461,0.28906869665421203,0.208683983418221,0.5261771616424142,15.436848534847933,680.2,0.9832783297738408,0.187,4.8,5.6
2015,E09000005,Brent,267916,0.39627345884530973,0.13276176114901686,0.5034003195031278,2.8843432010846084,457.6,0.8605016145600418,0.249,4.1,3.1
2016,E09000005,Brent,270840,0.38930734012701224,0.13349579087284005,0.5061807709348694,-2.3680211119096146,467.0,0.8666837972292374,0.248,4.2,3.4
