variable,rows,missing,minimum,median,maximum
adult_population,288,0,123715.0,221997.0,320227.0
population_age_16_34_rate,288,0,0.24223865649795856,0.35919815603183913,0.5473058525604952
population_age_65_plus_rate,288,0,0.06903063535196688,0.1412031662272636,0.22607728250389378
population_female_rate,288,0,0.49214967559832995,0.5223581917523143,0.5423083937589224
net_migration_per_1000,288,0,-26.05991356380886,-1.9999919017392702,27.591641247102785
median_weekly_earnings_gbp,288,0,421.6,581.8,855.9
earnings_relative_to_london,288,0,0.7928048092187797,0.9731415767806416,1.4020072410563447
economic_inactivity_rate,288,0,0.08800000000000001,0.21150000000000002,0.35700000000000004
earnings_confidence_pct,288,0,2.9,5.0,12.0
economic_inactivity_confidence_pp,288,0,3.1,4.0,8.4
