variable,role,source,units
month_index,identifier,constructed or source geography/time,identifier
year,identifier,constructed or source geography/time,identifier
survey_wave,identifier,constructed or source geography/time,identifier
month_of_wave,identifier,constructed or source geography/time,identifier
period_start,identifier,constructed or source geography/time,identifier
geography_level,identifier,constructed or source geography/time,identifier
geography_code,identifier,constructed or source geography/time,identifier
geography_name,identifier,constructed or source geography/time,identifier
inner_outer,identifier,constructed or source geography/time,identifier
inactive_rate,outcome,Active Lives / survey-weighted,proportion
fairly_active_rate,outcome,Active Lives / survey-weighted,proportion
active_rate,outcome,Active Lives / survey-weighted,proportion
older_adult_rate,survey composition or measurement control,Active Lives / survey-weighted,proportion
limiting_disability_rate,survey composition or measurement control,Active Lives / survey-weighted,proportion
online_response_rate,survey composition or measurement control,Active Lives / survey-weighted,proportion
effective_n,quality metadata,survey or external source,effective count or percentage points
context_reference_year,identifier,constructed or source geography/time,identifier
adult_population,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
population_age_16_34_rate,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
population_age_65_plus_rate,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
population_female_rate,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
net_migration_per_1000,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
median_weekly_earnings_gbp,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
earnings_relative_to_london,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
economic_inactivity_rate,external socioeconomic/demographic context,ONS/ASHE/APS,"count, proportion, GBP or rate"
earnings_confidence_pct,quality metadata,survey or external source,effective count or percentage points
economic_inactivity_confidence_pp,quality metadata,survey or external source,effective count or percentage points
weather_mean_temperature_c,external weather context,Open-Meteo historical weather data,weather-specific
weather_total_precipitation_mm,external weather context,Open-Meteo historical weather data,weather-specific
weather_total_sunshine_hours,external weather context,Open-Meteo historical weather data,weather-specific
weather_mean_max_wind_kmh,external weather context,Open-Meteo historical weather data,weather-specific
weather_wet_day_rate,external weather context,Open-Meteo historical weather data,weather-specific
MONTHS12_RATE_WALKTRAV_B02,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_CYCTRAV_B04,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_DANCEART_B05,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_GARD_B08,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_ACTTRAV_C03,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_WINTER_C10,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_BOWLSBOULES_C12,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_GYMTRAMPCHEER_C13,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_FOOTBALL_F01,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_RUGBYUNION_F03,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_RUGBYLEAGUE_F04,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_WHEELCHRUGBY_F05,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_NETBALL_F06,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_BASKETBALL_F07,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_WHEELCHBASKETBALL_F08,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_HOCKEY_F09,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_VOLLEYBALL_F10,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_ROUNDERS_F11,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_DODGEBALL_F12,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_BASESOFTBALL_F13,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_LACROSSE_F14,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_GOALBALL_F15,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_HANDBALL_F16,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_TENNIS_G01,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_BADMINTON_G02,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_TABLETENNIS_G03,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_CAVING_H02,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_ABSEILING_H03,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_ORIENTEERING_H04,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_PARKOUR_H05,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_GLIDING_H08,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_WATERSKIING_H10,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_LIFESAVING_H13,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_HIGHROPES_H14,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_ICESKATING_I02,activity predictor,Active Lives / survey-weighted,proportion
MONTHS12_RATE_FRISBEE_I03,activity predictor,Active Lives / survey-weighted,proportion
