year,survey_wave,calendar_year,geography_code,geography_name,inner_outer,age_band,respondent_n,effective_n,inactive_rate,fairly_active_rate,active_rate,population,population_share
1,2015/16,2016,E09000002,Barking and Dagenham,Outer London,16–34,307.0,182.62343303468063,0.2969581174089161,0.10626680333106864,0.5967750792600152,58252,0.3785768598371363
1,2015/16,2016,E09000002,Barking and Dagenham,Outer London,35–54,378.0,211.71543521028815,0.24279131535352572,0.13155785437147036,0.6256508302750039,59353,0.3857322042490138
1,2015/16,2016,E09000002,Barking and Dagenham,Outer London,55–64,163.0,76.05151620073784,0.3746024482095831,0.1395109940722309,0.48588655771818623,16870,0.1096372935770873
1,2015/16,2016,E09000002,Barking and Dagenham,Outer London,65+,163.0,107.76861622652571,0.4832662345288158,0.08529370860392685,0.4314400568672574,19396,0.1260536423367626
1,2015/16,2016,E09000003,Barnet,Outer London,16–34,190.0,109.42418432231915,0.16418615477784684,0.16015611367502441,0.6756577315471289,103749,0.3418305821883958
1,2015/16,2016,E09000003,Barnet,Outer London,35–54,348.0,187.45752131792256,0.201932469274469,0.1676440314945795,0.6304234992309516,109921,0.3621659912358736
1,2015/16,2016,E09000003,Barnet,Outer London,55–64,171.0,90.38645975637529,0.1771694068619537,0.23572207999159323,0.5871085131464532,36993,0.12188395769496886
1,2015/16,2016,E09000003,Barnet,Outer London,65+,278.0,201.53412926217385,0.39396824673414693,0.1610266294163001,0.44500512384955304,52847,0.17411946888076174
1,2015/16,2016,E09000004,Bexley,Outer London,16–34,103.0,52.649737907978874,0.12744598392188833,0.15457244514866433,0.7179815709294471,58532,0.3022145117902487
1,2015/16,2016,E09000004,Bexley,Outer London,35–54,191.0,120.28136004796386,0.16568022139994176,0.16184838663303316,0.672471391967025,68242,0.3523495304037134
1,2015/16,2016,E09000004,Bexley,Outer London,55–64,75.0,43.085719044937996,0.28637804646902854,0.07823237826705007,0.6353895752639215,26779,0.13826628871781368
1,2015/16,2016,E09000004,Bexley,Outer London,65+,141.0,101.00574179819137,0.3792829921085645,0.1384560867831683,0.4822609211082671,40124,0.2071696690882242
1,2015/16,2016,E09000005,Brent,Outer London,16–34,134.0,73.01231590770588,0.2021995821501993,0.1976083315819232,0.6001920862678776,105440,0.38930734012701224
1,2015/16,2016,E09000005,Brent,Outer London,35–54,196.0,97.03217300083121,0.3169316751663907,0.11157668910336148,0.571491635730248,97391,0.3595886870477034
1,2015/16,2016,E09000005,Brent,Outer London,55–64,70.0,44.61524326076181,0.21339269265417313,0.15633434138962057,0.6302729659562066,31853,0.11760818195244424
1,2015/16,2016,E09000005,Brent,Outer London,65+,84.0,56.18674265078805,0.39229117214431636,0.18615748968541737,0.4215513381702662,36156,0.13349579087284005
1,2015/16,2016,E09000006,Bromley,Outer London,16–34,120.0,68.08801621801177,0.06870106195686605,0.1402289999033644,0.7910699381397697,71669,0.2726996000958857
1,2015/16,2016,E09000006,Bromley,Outer London,35–54,174.0,93.64438388842476,0.14068149355466972,0.12378998714757214,0.7355285192977582,97788,0.3720820507356942
1,2015/16,2016,E09000006,Bromley,Outer London,55–64,93.0,51.589064019888376,0.29050855624547056,0.09463548622951048,0.614855957525019,36031,0.13709747995723195
1,2015/16,2016,E09000006,Bromley,Outer London,65+,118.0,97.06314869159327,0.30453201775715605,0.12511634748258726,0.5703516347602567,57325,0.21812086921118817
1,2015/16,2016,E09000007,Camden,Inner London,16–34,114.0,69.46761583723219,0.17807319842797098,0.12901292357928706,0.6929138779927418,79365,0.42872191011235955
1,2015/16,2016,E09000007,Camden,Inner London,35–54,205.0,94.57019698266667,0.22140807584086813,0.07622333716686679,0.7023685869922651,61865,0.33418863439930857
1,2015/16,2016,E09000007,Camden,Inner London,55–64,75.0,33.62583770721571,0.20304489943862625,0.1121210684199802,0.6848340321413935,18678,0.10089671564390666
1,2015/16,2016,E09000007,Camden,Inner London,65+,114.0,74.92377336167054,0.3133792737716674,0.13985143864007907,0.5467692875882535,25212,0.13619273984442523
1,2015/16,2016,E09000008,Croydon,Outer London,16–34,107.0,49.11472750056358,0.19556275803806322,0.14616736560331658,0.6582698763586202,99609,0.33034633484673115
1,2015/16,2016,E09000008,Croydon,Outer London,35–54,180.0,96.07276286560453,0.13819927491027062,0.12455543964760613,0.7372452854421233,112465,0.3729823665385419
1,2015/16,2016,E09000008,Croydon,Outer London,55–64,95.0,45.33041469675487,0.19746603132441418,0.09898467733514943,0.7035492913404364,39819,0.13205694974612725
1,2015/16,2016,E09000008,Croydon,Outer London,65+,116.0,77.50324949329023,0.3958137860770296,0.162725585661578,0.4414606282613923,49636,0.1646143488685997
1,2015/16,2016,E09000009,Ealing,Outer London,16–34,128.0,71.37791820116051,0.21270560707515307,0.157121280463881,0.6301731124609662,103791,0.36099585062240663
1,2015/16,2016,E09000009,Ealing,Outer London,35–54,196.0,89.31231632332685,0.18312419542699637,0.18517097235839908,0.6317048322146045,108842,0.3785637518999141
1,2015/16,2016,E09000009,Ealing,Outer London,55–64,67.0,29.831207079387504,0.22350781812867593,0.11918240758778285,0.6573097742835413,34200,0.11895114307874774
1,2015/16,2016,E09000009,Ealing,Outer London,65+,102.0,64.23246960292592,0.4249504213048953,0.05151740011341253,0.5235321785816924,40680,0.14148925439893154
1,2015/16,2016,E09000010,Enfield,Outer London,16–34,224.0,145.29957844258846,0.22405355679387803,0.14563028553154994,0.6303161576745719,86798,0.3370259492663304
1,2015/16,2016,E09000010,Enfield,Outer London,35–54,362.0,204.3623896083061,0.18800637174742063,0.14779667951519984,0.6641969487373796,95413,0.3704769337697687
1,2015/16,2016,E09000010,Enfield,Outer London,55–64,171.0,71.16078375213603,0.3088928676539317,0.10309736402188854,0.5880097683241797,32937,0.1278903164932962
1,2015/16,2016,E09000010,Enfield,Outer London,65+,236.0,170.12236946536672,0.3405139355384464,0.13948490524187043,0.5200011592196832,42393,0.1646068004706047
1,2015/16,2016,E09000011,Greenwich,Outer London,16–34,319.0,176.89699251715152,0.14696560826623856,0.14220688628144926,0.7108275054523122,82748,0.37855172445343127
1,2015/16,2016,E09000011,Greenwich,Outer London,35–54,364.0,170.97784691048665,0.17045518599937934,0.1558436263571665,0.6737011876434542,82914,0.37931113357823515
1,2015/16,2016,E09000011,Greenwich,Outer London,55–64,145.0,83.8234812408052,0.40800231706130446,0.09198463100190904,0.5000130519367865,24388,0.11156909479347274
1,2015/16,2016,E09000011,Greenwich,Outer London,65+,193.0,121.48588619252193,0.4274628451789963,0.0827580820675419,0.4897790727534619,28541,0.1305680471748608
1,2015/16,2016,E09000012,Hackney,Inner London,16–34,204.0,122.76783456657863,0.16204870294512091,0.09640908631069531,0.7415422107441839,97541,0.46331604347165223
1,2015/16,2016,E09000012,Hackney,Inner London,35–54,185.0,110.86026466036994,0.17819858263763,0.1138595915705242,0.7079418257918458,74952,0.35601915184678523
1,2015/16,2016,E09000012,Hackney,Inner London,55–64,51.0,30.892634218731814,0.3162319645094767,0.10869743328554832,0.5750706022049751,19237,0.091375018999848
1,2015/16,2016,E09000012,Hackney,Inner London,65+,58.0,42.320279313315815,0.43189749569281866,0.03960841074048524,0.5284940935666962,18798,0.08928978568171454
1,2015/16,2016,E09000013,Hammersmith and Fulham,Inner London,16–34,158.0,84.19249801233599,0.11657142816947672,0.034253775198631244,0.8491747966318918,69645,0.44195476698141944
1,2015/16,2016,E09000013,Hammersmith and Fulham,Inner London,35–54,193.0,115.46432471524898,0.21872576141673486,0.08700475344400328,0.6942694851392618,55022,0.34915981317900296
1,2015/16,2016,E09000013,Hammersmith and Fulham,Inner London,55–64,66.0,33.855010937321275,0.21875702634147345,0.10058698377238388,0.6806559898861427,14842,0.09418468880089349
1,2015/16,2016,E09000013,Hammersmith and Fulham,Inner London,65+,92.0,56.97325097634715,0.38544188914875266,0.17769878509336093,0.4368593257578864,18075,0.11470073103868413
1,2015/16,2016,E09000014,Haringey,Inner London,16–34,283.0,139.83895160835434,0.1567052911547284,0.13099590691077864,0.7122988019344929,89938,0.40347406340704056
1,2015/16,2016,E09000014,Haringey,Inner London,35–54,409.0,222.7908674333594,0.19959735215147117,0.14328626240607284,0.657116385442456,84781,0.3803390621284919
1,2015/16,2016,E09000014,Haringey,Inner London,55–64,147.0,77.88075402874877,0.21660878731192393,0.2226739436768599,0.5607172690112162,23074,0.10351309278674257
1,2015/16,2016,E09000014,Haringey,Inner London,65+,175.0,112.71628507301382,0.3151076827730322,0.16899576465673133,0.5158965525702367,25116,0.11267378167772499
1,2015/16,2016,E09000015,Harrow,Outer London,16–34,126.0,77.9283539685136,0.1527368891352551,0.12603349187829835,0.7212296189864463,68957,0.3358971611168482
1,2015/16,2016,E09000015,Harrow,Outer London,35–54,176.0,89.23539224195424,0.24261290457515108,0.15847732417674792,0.5989097712481012,71687,0.3491952925588917
1,2015/16,2016,E09000015,Harrow,Outer London,55–64,88.0,53.864747878546986,0.2856820631332981,0.08026215069343079,0.6340557861732711,27442,0.13367301209983828
1,2015/16,2016,E09000015,Harrow,Outer London,65+,116.0,75.15819773517426,0.35202253034700565,0.18756244435640912,0.46041502529658546,37206,0.1812345342244218
1,2015/16,2016,E09000016,Havering,Outer London,16–34,89.0,54.33761469459273,0.18098147784371826,0.17122194778692962,0.6477965743693521,61684,0.3010370659573949
1,2015/16,2016,E09000016,Havering,Outer London,35–54,185.0,112.94011089079194,0.2085051751693103,0.17180369417320354,0.6196911306574862,67901,0.33137795563797856
1,2015/16,2016,E09000016,Havering,Outer London,55–64,78.0,54.37755714088199,0.2587724582235967,0.2156552692790385,0.5255722724973648,29220,0.1426026695297821
1,2015/16,2016,E09000016,Havering,Outer London,65+,135.0,83.73253877779707,0.33085143196616845,0.13101407305385976,0.5381344949799717,46100,0.22498230887484444
1,2015/16,2016,E09000017,Hillingdon,Outer London,16–34,126.0,70.72052466582933,0.25115487894935445,0.09067342178175716,0.6581716992688883,82034,0.35087704290474214
1,2015/16,2016,E09000017,Hillingdon,Outer London,35–54,164.0,64.23421434364577,0.28112685380262276,0.19152132697576837,0.5273518192216088,83901,0.3588626030274127
1,2015/16,2016,E09000017,Hillingdon,Outer London,55–64,79.0,33.788105032705296,0.22789931031163788,0.15051555746097006,0.6215851322273921,29141,0.12464231790827085
1,2015/16,2016,E09000017,Hillingdon,Outer London,65+,115.0,67.2689847623608,0.29290599523438354,0.13875033424168842,0.5683436705239279,38721,0.16561803615957432
1,2015/16,2016,E09000018,Hounslow,Outer London,16–34,122.0,63.714684298211104,0.24078955080145978,0.1003840699136813,0.6588263792848589,80407,0.3651411392864928
1,2015/16,2016,E09000018,Hounslow,Outer London,35–54,188.0,86.0533286577815,0.24180118682328613,0.17712153720810953,0.5810772759686043,83278,0.3781788127588462
1,2015/16,2016,E09000018,Hounslow,Outer London,55–64,82.0,37.70497686291455,0.3005804138303619,0.1424488895672037,0.5569706966024344,25847,0.11737539053985323
1,2015/16,2016,E09000018,Hounslow,Outer London,65+,123.0,85.41163222389757,0.4197547250068586,0.1556374062048937,0.4246078687882479,30676,0.13930465741480783
1,2015/16,2016,E09000019,Islington,Inner London,16–34,168.0,103.35589093261,0.08604541008073383,0.09996142510347271,0.8139931648157934,89280,0.4775915009254405
1,2015/16,2016,E09000019,Islington,Inner London,35–54,205.0,118.41202750504628,0.16667354422039807,0.11384515517106981,0.7194813006085322,60936,0.32596903786282083
1,2015/16,2016,E09000019,Islington,Inner London,55–64,57.0,30.4928330505492,0.23084260299299872,0.16754225612563908,0.6016151408813621,17237,0.09220704190694241
1,2015/16,2016,E09000019,Islington,Inner London,65+,70.0,49.39823464798896,0.3238985423338597,0.13202717908938857,0.544074278576752,19485,0.10423241930479624
1,2015/16,2016,E09000020,Kensington and Chelsea,Inner London,16–34,101.0,60.88377881019977,0.09242884693662479,0.1307725841000982,0.7767985689632769,45604,0.3518609962348003
1,2015/16,2016,E09000020,Kensington and Chelsea,Inner London,35–54,178.0,109.000861102321,0.17560632657966815,0.16246040382602986,0.6619332695943018,47605,0.3672998580334547
1,2015/16,2016,E09000020,Kensington and Chelsea,Inner London,55–64,97.0,60.51112739849189,0.2141053518843534,0.07261660330397379,0.7132780448116728,15584,0.1202394913894204
1,2015/16,2016,E09000020,Kensington and Chelsea,Inner London,65+,124.0,85.93864656298634,0.47552849752764254,0.11162537333538496,0.41284612913697266,20815,0.16059965434232454
1,2015/16,2016,E09000021,Kingston upon Thames,Outer London,16–34,99.0,49.18087802723089,0.22838265082376147,0.1455124674952438,0.6261048816809949,45985,0.3388874968679529
1,2015/16,2016,E09000021,Kingston upon Thames,Outer London,35–54,218.0,122.91950934922694,0.15311262205026263,0.17701713703639047,0.6698702409133468,50438,0.3717039810161098
1,2015/16,2016,E09000021,Kingston upon Thames,Outer London,55–64,80.0,44.31087056470549,0.18197129945143842,0.13548599981984008,0.6825427007287214,16374,0.120668563090483
