year,survey_wave,calendar_year,inner_outer,age_band,respondent_n,effective_n,inactive_rate,fairly_active_rate,active_rate
1,2015/16,2016,Inner London,16–34,2403.0,1181.9434624966116,0.143535676819153,0.10415378140322526,0.7523105417776218
1,2015/16,2016,Inner London,35–54,2933.0,1495.1691145114512,0.2023900410415994,0.12937471232565656,0.668235246632744
1,2015/16,2016,Inner London,55–64,957.0,413.133153836596,0.2716096792418301,0.11517628859820536,0.6132140321599647
1,2015/16,2016,Inner London,65+,1143.0,648.3200816251136,0.38906024237509074,0.12765600569889582,0.4832837519260134
1,2015/16,2016,Outer London,16–34,2866.0,1380.93086228776,0.18294245484234403,0.1375144858759291,0.679543059281727
1,2015/16,2016,Outer London,35–54,4498.0,2022.4006198702857,0.20515336523800862,0.1539574330586068,0.6408892017033846
1,2015/16,2016,Outer London,55–64,1963.0,899.8284845112048,0.25234889308314407,0.1312959235182784,0.6163551833985773
1,2015/16,2016,Outer London,65+,2647.0,1568.3174717710817,0.3733107510101632,0.13185686592307325,0.49483238306676336
2,2016/17,2017,Inner London,16–34,2378.0,1396.494036314457,0.16154405938643684,0.12219900442704713,0.7162569361865159
2,2016/17,2017,Inner London,35–54,2752.0,1454.0513866520964,0.19683853549390162,0.1327399575260124,0.6704215069800861
2,2016/17,2017,Inner London,55–64,977.0,491.3825725333142,0.2105754291555336,0.1308477836969051,0.6585767871475613
2,2016/17,2017,Inner London,65+,1197.0,730.5603781786571,0.33367246393191596,0.14057992292577892,0.5257476131423051
2,2016/17,2017,Outer London,16–34,2735.0,1497.7447929397451,0.21584322297179043,0.1420517618850879,0.6421050151431217
2,2016/17,2017,Outer London,35–54,4544.0,2445.210407922705,0.22419779342199916,0.14586724073878998,0.6299349658392108
2,2016/17,2017,Outer London,55–64,1839.0,911.0413008827103,0.25681316247864083,0.1282998447004416,0.6148869928209176
2,2016/17,2017,Outer London,65+,2588.0,1563.2574717945288,0.34521354350029065,0.16449341284661134,0.490293043653098
3,2017/18,2018,Inner London,16–34,2078.0,1196.58116333711,0.14257354013668047,0.10156530299147837,0.7558611568718412
3,2017/18,2018,Inner London,35–54,2537.0,1470.6297342454748,0.1904415333482521,0.11289758030098558,0.6966608863507625
3,2017/18,2018,Inner London,55–64,855.0,486.67645550703816,0.2561491684201384,0.08851535394220422,0.6553354776376573
3,2017/18,2018,Inner London,65+,1076.0,707.1738543109104,0.3312254429191861,0.13821804587163708,0.5305565112091767
3,2017/18,2018,Outer London,16–34,2046.0,1237.8904296600642,0.18120602002853592,0.10676758558262388,0.7120263943888403
3,2017/18,2018,Outer London,35–54,3633.0,2040.6555944069949,0.22316857511113639,0.11963549703353113,0.6571959278553325
3,2017/18,2018,Outer London,55–64,1562.0,859.0410664464885,0.23854067225920647,0.12111585419852204,0.6403434735422714
3,2017/18,2018,Outer London,65+,2045.0,1411.412884907013,0.3575684270301208,0.11905903417497572,0.5233725387949035
4,2018/19,2019,Inner London,16–34,2123.0,1245.6805079118324,0.18095993243281638,0.07959539459366435,0.7394446729735192
4,2018/19,2019,Inner London,35–54,2445.0,1425.4410958483536,0.17957239099257394,0.10082123913299078,0.7196063698744354
4,2018/19,2019,Inner London,55–64,863.0,486.92068665544963,0.21947154619063206,0.12626893469392447,0.6542595191154434
4,2018/19,2019,Inner London,65+,969.0,590.7978349903891,0.296468176363847,0.11674290969691044,0.5867889139392426
4,2018/19,2019,Outer London,16–34,2108.0,1186.2700389242755,0.18940153225350095,0.12587179396039874,0.6847266737861003
4,2018/19,2019,Outer London,35–54,3657.0,2062.754511140142,0.22506142203900484,0.1288691287178349,0.6460694492431603
4,2018/19,2019,Outer London,55–64,1492.0,833.8448901393998,0.24483303653734584,0.11709988405221057,0.6380670794104436
4,2018/19,2019,Outer London,65+,2056.0,1338.9934647843038,0.3082272125797814,0.1277880393473344,0.5639847480728841
5,2019/20,2020,Inner London,16–34,2329.0,1322.18681564599,0.17493760930888883,0.09061313861774065,0.7344492520733706
5,2019/20,2020,Inner London,35–54,2318.0,1271.8200594516984,0.21620488934668494,0.11451353782031967,0.6692815728329954
5,2019/20,2020,Inner London,55–64,922.0,499.8612935539487,0.2243388335708112,0.11120122041311216,0.6644599460160766
5,2019/20,2020,Inner London,65+,950.0,486.3002474316894,0.3498818266372065,0.09865185626534466,0.5514663170974489
5,2019/20,2020,Outer London,16–34,2254.0,1281.4595799382528,0.22682692492597872,0.10768185859284686,0.6654912164811743
5,2019/20,2020,Outer London,35–54,3544.0,2036.8183223580884,0.2504982368217307,0.11689219861633493,0.6326095645619343
5,2019/20,2020,Outer London,55–64,1568.0,845.8120716262027,0.2554906968751274,0.09814409279320707,0.6463652103316652
5,2019/20,2020,Outer London,65+,2043.0,1193.6945550809146,0.3230316379960385,0.12021666695690653,0.5567516950470549
6,2020/21,2021,Inner London,16–34,2253.0,1384.756349013484,0.19071408043553628,0.09944776618865124,0.7098381533758124
6,2020/21,2021,Inner London,35–54,2289.0,1399.1182296912789,0.2064004445256381,0.09564138233211084,0.6979581731422512
6,2020/21,2021,Inner London,55–64,882.0,488.20187050352376,0.21882441748460504,0.09126352956029972,0.6899120529550952
6,2020/21,2021,Inner London,65+,1019.0,691.005994689441,0.3340563408387618,0.09466123964400548,0.5712824195172329
6,2020/21,2021,Outer London,16–34,2153.0,1311.086359462551,0.23948429728555762,0.11324922167114952,0.647266481043293
6,2020/21,2021,Outer London,35–54,3670.0,2225.0734023137493,0.2627098478546892,0.11162812383492221,0.6256620283103886
6,2020/21,2021,Outer London,55–64,1518.0,862.2971369659381,0.2240736684325384,0.1359701585433802,0.6399561730240815
6,2020/21,2021,Outer London,65+,2110.0,1410.5387058947422,0.3267222910182681,0.10117469856681441,0.5721030104149175
7,2021/22,2022,Inner London,16–34,2161.0,1391.9174485970664,0.17311914472429754,0.09937084434678697,0.7275100109289155
7,2021/22,2022,Inner London,35–54,2415.0,1458.9000998450229,0.20150147027682302,0.1060277175861724,0.6924708121370045
7,2021/22,2022,Inner London,55–64,921.0,549.9686760949758,0.22743416536034525,0.1022907713086548,0.670275063331
7,2021/22,2022,Inner London,65+,1088.0,735.2086449937062,0.2707563002218478,0.1039622294904523,0.6252814702877001
7,2021/22,2022,Outer London,16–34,2177.0,1328.9916317329064,0.22796425452156743,0.1002861752910594,0.6717495701873732
7,2021/22,2022,Outer London,35–54,3667.0,2324.6581479145734,0.23504084765836775,0.1050347937807597,0.6599243585608725
7,2021/22,2022,Outer London,55–64,1544.0,915.5047940067604,0.24699169843254687,0.08593568124355236,0.6670726203239007
7,2021/22,2022,Outer London,65+,2031.0,1391.9338477031524,0.32539597011029625,0.12001535020385652,0.5545886796858474
8,2022/23,2023,Inner London,16–34,2128.0,1386.9401205340043,0.16663051631144374,0.08746043653239553,0.7459090471561607
8,2022/23,2023,Inner London,35–54,2332.0,1465.0001280781303,0.21481903058518695,0.09094572629816089,0.6942352431166521
8,2022/23,2023,Inner London,55–64,940.0,555.3785922060971,0.2731348597832316,0.082079049710362,0.6447860905064065
8,2022/23,2023,Inner London,65+,1093.0,760.2706778510538,0.3038242832161471,0.10013807891633486,0.596037637867518
8,2022/23,2023,Outer London,16–34,2095.0,1242.5879783014148,0.2297593924986869,0.09193797096981676,0.6783026365314963
8,2022/23,2023,Outer London,35–54,3871.0,2348.3417332791814,0.23916527068956275,0.10593176473961131,0.654902964570826
8,2022/23,2023,Outer London,55–64,1686.0,1008.1250891145954,0.2507979340957911,0.10701478670817062,0.6421872791960384
8,2022/23,2023,Outer London,65+,2234.0,1569.6532281216691,0.32010106397576293,0.11755044729942386,0.5623484887248132
