year,survey_wave,calendar_year,age_band,respondent_n,effective_n,inactive_rate,fairly_active_rate,active_rate
1,2015/16,2016,16–34,5269.0,2560.7128593907096,0.16419816374004947,0.12164607979497578,0.7141557564649749
1,2015/16,2016,35–54,7431.0,3499.021790632057,0.2040782524078712,0.1443931559122539,0.651528591679875
1,2015/16,2016,55–64,2920.0,1311.7515190117017,0.25868110876529843,0.12599639917952463,0.615322492055177
1,2015/16,2016,65+,3790.0,2201.9335789754364,0.3785026097035063,0.13047204198374376,0.4910253483127499
2,2016/17,2017,16–34,5113.0,2893.9380610184494,0.18936681954759113,0.13237150935752134,0.6782616710948876
2,2016/17,2017,35–54,7296.0,3897.627486075365,0.21372449190186815,0.1408420315175129,0.645433476580619
2,2016/17,2017,55–64,2816.0,1398.0079447565226,0.24185214481081677,0.12912427439461038,0.6290235807945728
2,2016/17,2017,65+,3785.0,2292.213984805749,0.3413955846628043,0.1565824787232068,0.5020219366139888
3,2017/18,2018,16–34,4124.0,2434.0369655303057,0.16247562760652853,0.104245335012764,0.7332790373807075
3,2017/18,2018,35–54,6170.0,3495.2739148174664,0.21055435285307267,0.11703845267381001,0.6724071944731173
3,2017/18,2018,55–64,2417.0,1342.0919181514732,0.24446901643784355,0.11014007386220916,0.6453909096999474
3,2017/18,2018,65+,3121.0,2116.8408512099745,0.3491320256024105,0.12519475186552162,0.5256732225320678
4,2018/19,2019,16–34,4231.0,2429.374010257001,0.18521503743637283,0.10292165296585994,0.7118633095977671
4,2018/19,2019,35–54,6102.0,3480.26111587136,0.2075401816783311,0.11806578110367971,0.6743940372179892
4,2018/19,2019,55–64,2355.0,1314.7308825688572,0.23631208344762072,0.1201805015288362,0.6435074150235432
4,2018/19,2019,65+,3025.0,1924.4217291432758,0.3043409518503884,0.12413771862178619,0.5715213295278255
5,2019/20,2020,16–34,4583.0,2603.496902901601,0.2006730049033764,0.09907866289045267,0.7002483322061707
5,2019/20,2020,35–54,5862.0,3308.6151777490345,0.23736026512994837,0.11598092046755867,0.6466588144024928
5,2019/20,2020,55–64,2490.0,1344.5084273854798,0.24436215780024276,0.10280855711447087,0.6528292850852865
5,2019/20,2020,65+,2993.0,1675.0129098599227,0.33146792578149487,0.11344103675690256,0.5550910374616025
6,2020/21,2021,16–34,4406.0,2695.5912205721443,0.21466825816485482,0.1062265451013576,0.6791051967337876
6,2020/21,2021,35–54,5959.0,3622.8716164547386,0.24149489512758449,0.10560500966230925,0.6529000952101063
6,2020/21,2021,55–64,2400.0,1349.5391675259489,0.22224333496582588,0.12038164124381275,0.6573750237903613
6,2020/21,2021,65+,3129.0,2101.524541318439,0.3291231186659465,0.09904249430768866,0.5718343870263649
7,2021/22,2022,16–34,4338.0,2715.1524686154394,0.2011698498260815,0.09983899325711337,0.6989911569168052
7,2021/22,2022,35–54,6082.0,3782.8919646637555,0.2218917651604184,0.10542406865855553,0.6726841661810261
7,2021/22,2022,55–64,2465.0,1458.9277644542367,0.24028637308727432,0.09154304488869545,0.6681705820240302
7,2021/22,2022,65+,3119.0,2127.1208403163514,0.30642784296181563,0.11444251941180715,0.5791296376263771
8,2022/23,2023,16–34,4223.0,2614.813761989531,0.19882642005449638,0.0897439916415636,0.7114295883039401
8,2022/23,2023,35–54,6203.0,3803.988083190537,0.23039921144961276,0.10053592126699597,0.6690648672833913
8,2022/23,2023,55–64,2626.0,1559.9380898385618,0.2582212462051634,0.09872780214269676,0.6430509516521399
8,2022/23,2023,65+,3327.0,2329.306321116367,0.3149140997931222,0.11200160244663113,0.5730842977602469
