BoroughName,period_start,personal_safety,property_public_space,calendar_year,ladcode23,laname23,total_population,personal_safety_crime_rate_per_1000,property_public_space_crime_rate_per_1000,month_index,year,survey_wave,selected_recorded_crime_rate_per_1000
Barking and Dagenham,2015-11-01,528,641,2015,E09000002,Barking and Dagenham,206450,2.5575199806248485,3.104868006781303,1,1,2015/16,5.662387987406151
Barking and Dagenham,2015-12-01,512,604,2015,E09000002,Barking and Dagenham,206450,2.480019375151368,2.92564785662388,2,1,2015/16,5.405667231775248
Barking and Dagenham,2016-01-01,505,589,2016,E09000002,Barking and Dagenham,211047,2.392831928433003,2.79084753633077,3,1,2015/16,5.183679464763773
Barking and Dagenham,2016-02-01,483,598,2016,E09000002,Barking and Dagenham,211047,2.2885897454121595,2.8334920657483877,4,1,2015/16,5.122081811160547
Barking and Dagenham,2016-03-01,613,676,2016,E09000002,Barking and Dagenham,211047,2.9045662814444175,3.2030779873677426,5,1,2015/16,6.107644268812161
Barking and Dagenham,2016-04-01,475,625,2016,E09000002,Barking and Dagenham,211047,2.2506834970409435,2.9614256540012414,6,1,2015/16,5.212109151042185
Barking and Dagenham,2016-05-01,577,697,2016,E09000002,Barking and Dagenham,211047,2.733988163773946,3.3025818893421843,7,1,2015/16,6.03657005311613
Barking and Dagenham,2016-06-01,559,632,2016,E09000002,Barking and Dagenham,211047,2.6486991049387103,2.9945936213260556,8,1,2015/16,5.643292726264766
Barking and Dagenham,2016-07-01,584,672,2016,E09000002,Barking and Dagenham,211047,2.76715613109876,3.184124863182135,9,1,2015/16,5.951280994280895
Barking and Dagenham,2016-08-01,492,613,2016,E09000002,Barking and Dagenham,211047,2.3312342748297774,2.9045662814444175,10,1,2015/16,5.235800556274195
Barking and Dagenham,2016-09-01,507,614,2016,E09000002,Barking and Dagenham,211047,2.402308490525807,2.9093045624908194,11,1,2015/16,5.311613053016627
Barking and Dagenham,2016-10-01,459,612,2016,E09000002,Barking and Dagenham,211047,2.174871000298512,2.8998280003980157,12,1,2015/16,5.074699000696528
Barking and Dagenham,2016-11-01,485,603,2016,E09000002,Barking and Dagenham,211047,2.298066307504963,2.857183470980398,13,2,2016/17,5.155249778485361
Barking and Dagenham,2016-12-01,471,579,2016,E09000002,Barking and Dagenham,211047,2.2317303728553357,2.74346472586675,14,2,2016/17,4.975195098722086
Barking and Dagenham,2017-01-01,441,617,2017,E09000002,Barking and Dagenham,214017,2.060583972301266,2.8829485508160566,15,2,2016/17,4.943532523117323
Barking and Dagenham,2017-02-01,441,625,2017,E09000002,Barking and Dagenham,214017,2.060583972301266,2.9203287589303653,16,2,2016/17,4.980912731231632
Barking and Dagenham,2017-03-01,575,659,2017,E09000002,Barking and Dagenham,214017,2.6867024582159362,3.0791946434161774,17,2,2016/17,5.765897101632113
Barking and Dagenham,2017-04-01,495,679,2017,E09000002,Barking and Dagenham,214017,2.3129003770728493,3.172645163701949,18,2,2016/17,5.485545540774798
Barking and Dagenham,2017-05-01,567,758,2017,E09000002,Barking and Dagenham,214017,2.6493222501016276,3.541774718830747,19,2,2016/17,6.191096968932374
Barking and Dagenham,2017-06-01,564,727,2017,E09000002,Barking and Dagenham,214017,2.6353046720587616,3.396926412387801,20,2,2016/17,6.032231084446563
Barking and Dagenham,2017-07-01,658,677,2017,E09000002,Barking and Dagenham,214017,3.0745221174018886,3.163300111673372,21,2,2016/17,6.2378222290752605
Barking and Dagenham,2017-08-01,574,722,2017,E09000002,Barking and Dagenham,214017,2.6820299322016474,3.3735637823163582,22,2,2016/17,6.055593714518006
Barking and Dagenham,2017-09-01,555,680,2017,E09000002,Barking and Dagenham,214017,2.5932519379301646,3.1773176897162374,23,2,2016/17,5.7705696276464025
Barking and Dagenham,2017-10-01,589,682,2017,E09000002,Barking and Dagenham,214017,2.7521178224159764,3.1866627417448146,24,2,2016/17,5.9387805641607905
Barking and Dagenham,2017-11-01,582,614,2017,E09000002,Barking and Dagenham,214017,2.719410140315956,2.868930972773191,25,3,2017/18,5.588341113089147
Barking and Dagenham,2017-12-01,544,585,2017,E09000002,Barking and Dagenham,214017,2.54185415177299,2.733427718358822,26,3,2017/18,5.275281870131812
Barking and Dagenham,2018-01-01,538,612,2018,E09000002,Barking and Dagenham,216298,2.487309175304441,2.829429768190182,27,3,2017/18,5.316738943494623
Barking and Dagenham,2018-02-01,513,554,2018,E09000002,Barking and Dagenham,216298,2.371727893924123,2.5612811953878447,28,3,2017/18,4.933009089311968
Barking and Dagenham,2018-03-01,577,603,2018,E09000002,Barking and Dagenham,216298,2.667615974257737,2.7878205068932678,29,3,2017/18,5.455436481151005
Barking and Dagenham,2018-04-01,536,586,2018,E09000002,Barking and Dagenham,216298,2.4780626727940156,2.7092252355546513,30,3,2017/18,5.187287908348667
Barking and Dagenham,2018-05-01,578,595,2018,E09000002,Barking and Dagenham,216298,2.67223922551295,2.750834496851566,31,3,2017/18,5.423073722364515
Barking and Dagenham,2018-06-01,606,635,2018,E09000002,Barking and Dagenham,216298,2.801690260658906,2.9357645470600744,32,3,2017/18,5.73745480771898
Barking and Dagenham,2018-07-01,654,607,2018,E09000002,Barking and Dagenham,216298,3.023606320909116,2.8063135119141185,33,3,2017/18,5.829919832823235
Barking and Dagenham,2018-08-01,522,605,2018,E09000002,Barking and Dagenham,216298,2.4133371552210376,2.797067009403693,34,3,2017/18,5.21040416462473
Barking and Dagenham,2018-09-01,537,560,2018,E09000002,Barking and Dagenham,216298,2.4826859240492283,2.589020702919121,35,3,2017/18,5.071706626968349
Barking and Dagenham,2018-10-01,581,687,2018,E09000002,Barking and Dagenham,216298,2.686108979278588,3.176173612331136,36,3,2017/18,5.862282591609723
Barking and Dagenham,2018-11-01,549,657,2018,E09000002,Barking and Dagenham,216298,2.538164939111781,3.0374760746747542,37,4,2018/19,5.5756410137865355
Barking and Dagenham,2018-12-01,591,550,2018,E09000002,Barking and Dagenham,216298,2.732341491830715,2.5427881903669936,38,4,2018/19,5.275129682197709
Barking and Dagenham,2019-01-01,607,625,2019,E09000002,Barking and Dagenham,218828,2.7738680607600488,2.856124444769408,39,4,2018/19,5.629992505529456
Barking and Dagenham,2019-02-01,560,661,2019,E09000002,Barking and Dagenham,218828,2.5590875025133895,3.020637212788126,40,4,2018/19,5.5797247153015155
Barking and Dagenham,2019-03-01,602,650,2019,E09000002,Barking and Dagenham,218828,2.7510190652018935,2.9703694225601844,41,4,2018/19,5.721388487762078
Barking and Dagenham,2019-04-01,580,672,2019,E09000002,Barking and Dagenham,218828,2.6504834847460104,3.0709050030160676,42,4,2018/19,5.721388487762078
Barking and Dagenham,2019-05-01,678,689,2019,E09000002,Barking and Dagenham,218828,3.0983237976858535,3.148591587913795,43,4,2018/19,6.246915385599649
Barking and Dagenham,2019-06-01,640,631,2019,E09000002,Barking and Dagenham,218828,2.9246714314438735,2.883543239439194,44,4,2018/19,5.808214670883068
Barking and Dagenham,2019-07-01,745,677,2019,E09000002,Barking and Dagenham,218828,3.404500338165134,3.093753998574223,45,4,2018/19,6.4982543367393575
Barking and Dagenham,2019-08-01,596,578,2019,E09000002,Barking and Dagenham,218828,2.7236002705321076,2.6413438865227485,46,4,2018/19,5.364944157054856
Barking and Dagenham,2019-09-01,640,605,2019,E09000002,Barking and Dagenham,218828,2.9246714314438735,2.764728462536787,47,4,2018/19,5.68939989398066
Barking and Dagenham,2019-10-01,675,676,2019,E09000002,Barking and Dagenham,218828,3.0846144003509606,3.0891841994625917,48,4,2018/19,6.173798599813552
Barking and Dagenham,2019-11-01,581,644,2019,E09000002,Barking and Dagenham,218828,2.6550532838576415,2.942950627890398,49,5,2019/20,5.598003911748039
Barking and Dagenham,2019-12-01,606,647,2019,E09000002,Barking and Dagenham,218828,2.769298261648418,2.956660025225291,50,5,2019/20,5.725958286873709
Barking and Dagenham,2020-01-01,591,639,2020,E09000002,Barking and Dagenham,219227,2.6958358231422226,2.9147869559862607,51,5,2019/20,5.610622779128484
Barking and Dagenham,2020-02-01,557,618,2020,E09000002,Barking and Dagenham,219227,2.540745437377695,2.818995835366994,52,5,2019/20,5.359741272744689
Barking and Dagenham,2020-03-01,572,522,2020,E09000002,Barking and Dagenham,219227,2.6091676663914574,2.3810935696789173,53,5,2019/20,4.990261236070374
Barking and Dagenham,2020-04-01,475,396,2020,E09000002,Barking and Dagenham,219227,2.1667039187691297,1.8063468459633165,54,5,2019/20,3.973050764732446
Barking and Dagenham,2020-05-01,584,458,2020,E09000002,Barking and Dagenham,219227,2.663905449602467,2.089158725886866,55,5,2019/20,4.7530641754893335
Barking and Dagenham,2020-06-01,615,515,2020,E09000002,Barking and Dagenham,219227,2.8053113895642414,2.3491631961391617,56,5,2019/20,5.154474585703403
Barking and Dagenham,2020-07-01,688,549,2020,E09000002,Barking and Dagenham,219227,3.13829957076455,2.504253581903689,57,5,2019/20,5.642553152668238
Barking and Dagenham,2020-08-01,678,548,2020,E09000002,Barking and Dagenham,219227,3.092684751422042,2.499692099969438,58,5,2019/20,5.59237685139148
Barking and Dagenham,2020-09-01,631,591,2020,E09000002,Barking and Dagenham,219227,2.8782951005122546,2.6958358231422226,59,5,2019/20,5.574130923654478
Barking and Dagenham,2020-10-01,644,608,2020,E09000002,Barking and Dagenham,219227,2.9375943656575148,2.773381016024486,60,5,2019/20,5.710975381682001
Barking and Dagenham,2020-11-01,618,591,2020,E09000002,Barking and Dagenham,219227,2.818995835366994,2.6958358231422226,61,6,2020/21,5.514831658509216
Barking and Dagenham,2020-12-01,563,533,2020,E09000002,Barking and Dagenham,219227,2.5681143289832002,2.431269870955676,62,6,2020/21,4.999384199938876
Barking and Dagenham,2021-01-01,522,532,2021,E09000002,Barking and Dagenham,218714,2.3866784933749097,2.4324003035928197,63,6,2020/21,4.819078796967729
Barking and Dagenham,2021-02-01,520,495,2021,E09000002,Barking and Dagenham,218714,2.377534131331328,2.2632296057865524,64,6,2020/21,4.64076373711788
Barking and Dagenham,2021-03-01,636,501,2021,E09000002,Barking and Dagenham,218714,2.9079071298590855,2.2906626919172983,65,6,2020/21,5.198569821776384
Barking and Dagenham,2021-04-01,632,545,2021,E09000002,Barking and Dagenham,218714,2.8896184057719214,2.491838656876103,66,6,2020/21,5.381457062648025
Barking and Dagenham,2021-05-01,660,568,2021,E09000002,Barking and Dagenham,218714,3.0176394743820696,2.5969988203772965,67,6,2020/21,5.6146382947593665
Barking and Dagenham,2021-06-01,684,621,2021,E09000002,Barking and Dagenham,218714,3.127371818905054,2.83932441453222,68,6,2020/21,5.966696233437274
Barking and Dagenham,2021-07-01,708,573,2021,E09000002,Barking and Dagenham,218714,3.2371041634280386,2.6198597254862515,69,6,2020/21,5.85696388891429
Barking and Dagenham,2021-08-01,579,590,2021,E09000002,Barking and Dagenham,218714,2.6472928116169974,2.6975868028566987,70,6,2020/21,5.344879614473696
Barking and Dagenham,2021-09-01,657,563,2021,E09000002,Barking and Dagenham,218714,3.003922931316697,2.5741379152683415,71,6,2020/21,5.578060846585038
Barking and Dagenham,2021-10-01,654,639,2021,E09000002,Barking and Dagenham,218714,2.9902063882513237,2.9216236729244582,72,6,2020/21,5.911830061175782
Barking and Dagenham,2021-11-01,617,643,2021,E09000002,Barking and Dagenham,218714,2.821035690445056,2.9399123970116223,73,7,2021/22,5.760948087456678
Barking and Dagenham,2021-12-01,597,562,2021,E09000002,Barking and Dagenham,218714,2.729592070009236,2.56956573424655,74,7,2021/22,5.2991578042557865
