predictor_group,repeat,permuted_weighted_tv,increase_in_weighted_tv
Calendar and trend,1,0.10310217738862992,0.0
Calendar and trend,2,0.10310217738862992,0.0
Calendar and trend,3,0.10310217738862992,0.0
Calendar and trend,4,0.10310217738862992,0.0
Calendar and trend,5,0.10310217738862992,0.0
Calendar and trend,6,0.10310217738862992,0.0
Calendar and trend,7,0.10310217738862992,0.0
Calendar and trend,8,0.10310217738862992,0.0
Calendar and trend,9,0.10310217738862992,0.0
Calendar and trend,10,0.10310217738862992,0.0
Calendar and trend,11,0.10310217738862992,0.0
Calendar and trend,12,0.10310217738862992,0.0
Calendar and trend,13,0.10310217738862992,0.0
Calendar and trend,14,0.10310217738862992,0.0
Calendar and trend,15,0.10310217738862992,0.0
Calendar and trend,16,0.10310217738862992,0.0
Calendar and trend,17,0.10310217738862992,0.0
Calendar and trend,18,0.10310217738862992,0.0
Calendar and trend,19,0.10310217738862992,0.0
Calendar and trend,20,0.10310217738862992,0.0
Calendar and trend,21,0.10310217738862992,0.0
Calendar and trend,22,0.10310217738862992,0.0
Calendar and trend,23,0.10310217738862992,0.0
Calendar and trend,24,0.10310217738862992,0.0
Calendar and trend,25,0.10310217738862992,0.0
Calendar and trend,26,0.10310217738862992,0.0
Calendar and trend,27,0.10310217738862992,0.0
Calendar and trend,28,0.10310217738862992,0.0
Calendar and trend,29,0.10310217738862992,0.0
Calendar and trend,30,0.10310217738862992,0.0
COVID calendar flags,1,0.10310217738862992,0.0
COVID calendar flags,2,0.10310217738862992,0.0
COVID calendar flags,3,0.10310217738862992,0.0
COVID calendar flags,4,0.10310217738862992,0.0
COVID calendar flags,5,0.10310217738862992,0.0
COVID calendar flags,6,0.10310217738862992,0.0
COVID calendar flags,7,0.10310217738862992,0.0
COVID calendar flags,8,0.10310217738862992,0.0
COVID calendar flags,9,0.10310217738862992,0.0
COVID calendar flags,10,0.10310217738862992,0.0
COVID calendar flags,11,0.10310217738862992,0.0
COVID calendar flags,12,0.10310217738862992,0.0
COVID calendar flags,13,0.10310217738862992,0.0
COVID calendar flags,14,0.10310217738862992,0.0
COVID calendar flags,15,0.10310217738862992,0.0
COVID calendar flags,16,0.10310217738862992,0.0
COVID calendar flags,17,0.10310217738862992,0.0
COVID calendar flags,18,0.10310217738862992,0.0
COVID calendar flags,19,0.10310217738862992,0.0
COVID calendar flags,20,0.10310217738862992,0.0
COVID calendar flags,21,0.10310217738862992,0.0
COVID calendar flags,22,0.10310217738862992,0.0
COVID calendar flags,23,0.10310217738862992,0.0
COVID calendar flags,24,0.10310217738862992,0.0
COVID calendar flags,25,0.10310217738862992,0.0
COVID calendar flags,26,0.10310217738862992,0.0
COVID calendar flags,27,0.10310217738862992,0.0
COVID calendar flags,28,0.10310217738862992,0.0
COVID calendar flags,29,0.10310217738862992,0.0
COVID calendar flags,30,0.10310217738862992,0.0
Lagged activity-state outcomes,1,0.10352131136478653,0.0004191339761566021
Lagged activity-state outcomes,2,0.10343236448754635,0.0003301870989164263
Lagged activity-state outcomes,3,0.10358121954990113,0.0004790421612712037
Lagged activity-state outcomes,4,0.10328770868454953,0.00018553129591961093
Lagged activity-state outcomes,5,0.10339069835045063,0.00028852096182070686
Lagged activity-state outcomes,6,0.10349648867880708,0.0003943112901771545
Lagged activity-state outcomes,7,0.10339017841452514,0.0002880010258952126
Lagged activity-state outcomes,8,0.10343869823449911,0.00033652084586918707
Lagged activity-state outcomes,9,0.10344885958738528,0.0003466821987553603
Lagged activity-state outcomes,10,0.10358454825603577,0.00048237086740585133
Lagged activity-state outcomes,11,0.1035486043829251,0.00044642699429517374
Lagged activity-state outcomes,12,0.10342723119824619,0.0003250538096162686
Lagged activity-state outcomes,13,0.10326873765499756,0.00016656026636763244
Lagged activity-state outcomes,14,0.10344923200348986,0.00034705461485994016
Lagged activity-state outcomes,15,0.10337139067301125,0.0002692132843813283
Lagged activity-state outcomes,16,0.10335159615299502,0.00024941876436510024
Lagged activity-state outcomes,17,0.10340291522416642,0.00030073783553649647
Lagged activity-state outcomes,18,0.10365741567648676,0.0005552382878568352
Lagged activity-state outcomes,19,0.10352386059127384,0.00042168320264392156
Lagged activity-state outcomes,20,0.10350006183515986,0.00039788444652993915
Lagged activity-state outcomes,21,0.10336819760572534,0.0002660202170954168
Lagged activity-state outcomes,22,0.10356530461140855,0.0004631272227786226
Lagged activity-state outcomes,23,0.10351361178401768,0.0004114343953877525
Lagged activity-state outcomes,24,0.10342739428677648,0.0003252168981465603
Lagged activity-state outcomes,25,0.1035230056787549,0.0004208282901249777
Lagged activity-state outcomes,26,0.10352475366949972,0.0004225762808697936
Lagged activity-state outcomes,27,0.10337258211491562,0.0002704047262857001
Lagged activity-state outcomes,28,0.10348597404459309,0.0003837966559631645
Lagged activity-state outcomes,29,0.10336371148789517,0.0002615340992652426
Lagged activity-state outcomes,30,0.10356305625267945,0.00046087886404952427
Lagged survey composition,1,0.10310217738862992,0.0
Lagged survey composition,2,0.10310217738862992,0.0
Lagged survey composition,3,0.10310217738862992,0.0
Lagged survey composition,4,0.10310217738862992,0.0
Lagged survey composition,5,0.10310217738862992,0.0
Lagged survey composition,6,0.10310217738862992,0.0
Lagged survey composition,7,0.10310217738862992,0.0
Lagged survey composition,8,0.10310217738862992,0.0
Lagged survey composition,9,0.10310217738862992,0.0
Lagged survey composition,10,0.10310217738862992,0.0
Lagged survey composition,11,0.10310217738862992,0.0
Lagged survey composition,12,0.10310217738862992,0.0
Lagged survey composition,13,0.10310217738862992,0.0
Lagged survey composition,14,0.10310217738862992,0.0
Lagged survey composition,15,0.10310217738862992,0.0
Lagged survey composition,16,0.10310217738862992,0.0
Lagged survey composition,17,0.10310217738862992,0.0
Lagged survey composition,18,0.10310217738862992,0.0
Lagged survey composition,19,0.10310217738862992,0.0
Lagged survey composition,20,0.10310217738862992,0.0
Lagged survey composition,21,0.10310217738862992,0.0
Lagged survey composition,22,0.10310217738862992,0.0
Lagged survey composition,23,0.10310217738862992,0.0
Lagged survey composition,24,0.10310217738862992,0.0
Lagged survey composition,25,0.10310217738862992,0.0
Lagged survey composition,26,0.10310217738862992,0.0
Lagged survey composition,27,0.10310217738862992,0.0
Lagged survey composition,28,0.10310217738862992,0.0
Lagged survey composition,29,0.10310217738862992,0.0
Lagged survey composition,30,0.10310217738862992,0.0
Lagged 12-month participation,1,0.10328619331980808,0.00018401593117815807
Lagged 12-month participation,2,0.10331441413238107,0.00021223674375114854
Lagged 12-month participation,3,0.10332598094862198,0.00022380355999206125
Lagged 12-month participation,4,0.10341176428786698,0.0003095868992370604
Lagged 12-month participation,5,0.10332845709510895,0.00022627970647902396
Lagged 12-month participation,6,0.10324937601348644,0.00014719862485651491
Lagged 12-month participation,7,0.103157491289725,5.5313901095074836e-05
Lagged 12-month participation,8,0.10331831412403886,0.00021613673540893386
Lagged 12-month participation,9,0.10330610548859172,0.00020392809996179484
Lagged 12-month participation,10,0.10330345502252579,0.00020127763389586606
Lagged 12-month participation,11,0.10329707942454054,0.0001949020359106185
Lagged 12-month participation,12,0.10334193650801274,0.00023975911938281524
Lagged 12-month participation,13,0.10332349585857996,0.00022131846995003535
Lagged 12-month participation,14,0.10325975950497517,0.00015758211634524233
Lagged 12-month participation,15,0.10329195026852157,0.00018977287989165037
Lagged 12-month participation,16,0.1033030130802861,0.0002008356916561732
