method,output,output_scale,predictor_group,features_after_filtering,mean_absolute_group_shap,mean_signed_group_shap,positive_share,importance_share_within_output
interventional_background_128,inactive_vs_active,log(Inactive / Active),Calendar and trend,3,0.0,0.0,0.0,0.0
interventional_background_128,inactive_vs_active,log(Inactive / Active),COVID calendar flags,2,0.0,0.0,0.0,0.0
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged activity-state outcomes,3,0.009980605337865807,-0.0012396143454922524,0.24739583333333334,0.05779077010298751
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged survey composition,3,0.0,0.0,0.0,0.0
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged 12-month participation,124,0.004986003546946449,0.0023196299298433587,0.8828125,0.02887049181486599
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged recent participation (any),122,0.021347052349835093,-0.0038471118595043694,0.6354166666666666,0.12360598911223539
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged recent participation (2+),120,0.002729205251089297,-0.0006315423577325421,0.4427083333333333,0.015802936584535302
interventional_background_128,inactive_vs_active,log(Inactive / Active),Borough identity,32,0.0022584718244615942,-0.0002874418685678392,0.03125,0.013077245474916668
interventional_background_128,inactive_vs_active,log(Inactive / Active),Lagged external context,10,0.13140107282015379,-0.05278098808582096,0.421875,0.7608525669104591
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Calendar and trend,3,0.06717274344526229,-0.06717274344526229,0.0,0.34778066179498995
interventional_background_128,fairly_vs_active,log(Fairly active / Active),COVID calendar flags,2,0.0,0.0,0.0,0.0
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged activity-state outcomes,3,0.007762792886933312,-0.0006874634791165583,0.65625,0.0401911416614252
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged survey composition,3,0.0,0.0,0.0,0.0
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged 12-month participation,124,0.011295103406979859,0.0007764817287291715,0.5989583333333334,0.05847935243441898
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged recent participation (any),122,0.0,0.0,0.0,0.0
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged recent participation (2+),120,0.005620107561117038,0.0011163227347424259,0.390625,0.029097586710256158
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Borough identity,32,0.0,0.0,0.0,0.0
interventional_background_128,fairly_vs_active,log(Fairly active / Active),Lagged external context,10,0.1012961145711112,-0.07234279342703909,0.2786458333333333,0.5244512573989097
