case,month_index,period_start,geography_code,geography_name,effective_n,total_variation_error,actual_active_rate,predicted_active_rate,output,output_scale,predictor_group,signed_group_shap,base_value
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Calendar and trend,0.0,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),COVID calendar flags,0.0,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged activity-state outcomes,-0.007454263595864177,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged survey composition,0.0,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged 12-month participation,0.004137703916057944,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged recent participation (any),0.007278150301426648,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged recent participation (2+),0.0023691251501441,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Borough identity,-0.0013140199705958366,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,inactive_vs_active,log(Inactive / Active),Lagged external context,-0.00913832818623632,-1.0707532001000013
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Calendar and trend,-0.0671727434452623,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),COVID calendar flags,0.0,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged activity-state outcomes,-0.01229128198698163,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged survey composition,0.0,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged 12-month participation,0.016689743930473924,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged recent participation (any),0.0,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged recent participation (2+),0.008622630778700114,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Borough identity,0.0,-1.823399845728352
Typical-error case,96,2023-10-01,E09000016,Havering,24.58580972967323,0.09394899176367397,0.578782078639042,0.672731070402716,fairly_vs_active,log(Fairly active / Active),Lagged external context,-0.052521401634439815,-1.823399845728352
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Calendar and trend,0.0,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),COVID calendar flags,0.0,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged activity-state outcomes,-0.007454263595864177,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged survey composition,0.0,-1.0707532001000013
Largest-error case,85,2022-11-01,E09000025,Newham,20.196262532371584,0.3487275436470322,0.2945433521212675,0.6432708957682997,inactive_vs_active,log(Inactive / Active),Lagged 12-month participation,0.004137703916057944,-1.0707532001000013
