omitted_year,feature,coefficient
1,population_age_65_plus_rate,1.3191802099259924
1,earnings_relative_to_london,3.003953461825162
1,economic_inactivity_rate,-1.4443394409506225
1,net_migration_per_1000,-0.6506687134132463
1,selected_recorded_crime_rate_per_1000,-0.658938618445422
2,population_age_65_plus_rate,1.3207609558467626
2,earnings_relative_to_london,2.837384906979255
2,economic_inactivity_rate,-1.536863068252635
2,net_migration_per_1000,-0.5872352972037591
2,selected_recorded_crime_rate_per_1000,-0.7596779701069973
3,population_age_65_plus_rate,1.1717512970492647
3,earnings_relative_to_london,2.780526349947689
3,economic_inactivity_rate,-1.503607728137705
3,net_migration_per_1000,-0.40601642660928494
3,selected_recorded_crime_rate_per_1000,-0.7213284462003298
4,population_age_65_plus_rate,1.1062237985823313
4,earnings_relative_to_london,2.8519031078414177
4,economic_inactivity_rate,-1.2513025319160171
4,net_migration_per_1000,-0.5126335345905786
4,selected_recorded_crime_rate_per_1000,-0.8357957121455968
5,population_age_65_plus_rate,1.215377154328615
5,earnings_relative_to_london,2.8381478040709966
5,economic_inactivity_rate,-1.4296720053941763
5,net_migration_per_1000,-0.46852365421573294
5,selected_recorded_crime_rate_per_1000,-0.7133852957839757
6,population_age_65_plus_rate,1.0998056635306313
6,earnings_relative_to_london,2.8898914502380646
6,economic_inactivity_rate,-1.334577968539648
6,net_migration_per_1000,-0.2016193987587025
6,selected_recorded_crime_rate_per_1000,-0.6524000231528309
7,population_age_65_plus_rate,1.1993662628299822
7,earnings_relative_to_london,2.9222481802784115
7,economic_inactivity_rate,-1.5027253647954755
7,net_migration_per_1000,-0.4566769245556568
7,selected_recorded_crime_rate_per_1000,-0.9367407778571373
8,population_age_65_plus_rate,0.7642393512172285
8,earnings_relative_to_london,3.050259238335039
8,economic_inactivity_rate,-1.2947477607406053
8,net_migration_per_1000,-0.38592737522344134
8,selected_recorded_crime_rate_per_1000,-0.8477625312799972
