latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,11.0,3600,Europe/London,GMT+1

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),sunshine_duration (s),wind_speed_10m_max (km/h)
2015-01-01,10.9,4.8,1.00,2.0,0.00,34.3
2015-01-02,12.4,3.1,0.60,2.0,23523.22,33.9
2015-01-03,5.3,3.0,11.40,13.0,0.00,18.4
2015-01-04,3.6,-0.0,0.00,0.0,25846.34,9.9
2015-01-05,9.4,3.8,0.00,0.0,3281.74,14.3
2015-01-06,9.9,2.0,0.20,1.0,8320.67,23.2
2015-01-07,9.6,0.9,0.00,0.0,12601.84,30.5
2015-01-08,11.0,5.8,13.00,8.0,10800.00,29.1
2015-01-09,13.8,6.9,0.30,2.0,18000.00,38.3
2015-01-10,12.9,3.5,0.50,1.0,14400.00,40.4
2015-01-11,7.5,3.1,0.00,0.0,27108.77,27.0
2015-01-12,11.1,7.1,1.90,7.0,0.00,35.9
2015-01-13,10.9,3.8,8.80,12.0,22850.14,31.7
2015-01-14,7.8,2.0,1.80,4.0,26466.35,37.4
2015-01-15,10.3,4.8,10.80,11.0,25380.56,45.9
2015-01-16,6.1,-0.3,0.00,0.0,4539.09,30.1
2015-01-17,5.3,-2.7,0.70,4.0,25666.52,17.9
2015-01-18,3.1,-1.5,2.90,9.0,18275.26,14.4
2015-01-19,3.2,-1.6,0.00,0.0,24837.01,13.0
2015-01-20,3.3,-3.3,0.10,1.0,15261.75,18.4
2015-01-21,3.3,2.0,0.70,4.0,0.00,22.1
2015-01-22,4.2,-1.4,0.00,0.0,28537.40,12.2
2015-01-23,5.8,-3.0,0.90,2.0,28229.64,23.0
2015-01-24,7.2,0.9,5.00,5.0,29259.21,24.9
2015-01-25,8.0,-1.2,0.00,0.0,28280.24,19.6
2015-01-26,8.8,3.5,0.10,1.0,7253.50,19.8
2015-01-27,7.7,2.1,0.00,0.0,22704.34,15.9
2015-01-28,9.5,2.1,1.10,4.0,13744.50,37.9
2015-01-29,5.1,0.3,1.60,5.0,20413.34,27.4
2015-01-30,5.4,0.4,0.90,4.0,28790.25,22.0
2015-01-31,3.9,-0.7,2.00,7.0,15102.11,28.9
2015-02-01,4.4,-0.9,0.40,2.0,24572.21,31.4
2015-02-02,2.5,-3.4,0.00,0.0,26512.35,13.3
2015-02-03,4.6,-1.7,1.60,5.0,26070.35,20.8
2015-02-04,4.5,-0.6,0.00,0.0,16161.66,21.3
2015-02-05,4.5,-0.1,1.10,3.0,24305.65,19.5
2015-02-06,4.8,-0.1,0.00,0.0,31966.19,29.8
2015-02-07,6.7,-0.2,0.00,0.0,6746.46,19.2
2015-02-08,6.7,0.6,0.00,0.0,30594.35,19.1
2015-02-09,6.6,0.9,0.00,0.0,13287.69,14.3
2015-02-10,6.0,1.1,0.00,0.0,5618.56,8.4
2015-02-11,5.6,1.9,0.00,0.0,8932.06,7.3
2015-02-12,4.4,1.4,0.00,0.0,5998.37,9.4
2015-02-13,8.0,0.6,4.00,9.0,4583.25,33.2
2015-02-14,7.8,3.8,5.50,7.0,13474.50,16.1
2015-02-15,8.9,3.8,0.00,0.0,2756.60,12.7
2015-02-16,8.4,2.3,7.30,10.0,1381.38,20.7
2015-02-17,8.0,0.8,0.00,0.0,34983.48,18.6
2015-02-18,8.6,-1.3,0.00,0.0,35104.17,19.1
2015-02-19,8.1,3.5,7.20,10.0,6755.83,29.9
2015-02-20,7.0,1.5,3.10,7.0,0.00,16.4
2015-02-21,6.3,-0.4,0.60,4.0,31250.84,20.0
2015-02-22,8.3,-2.6,6.70,9.0,17597.10,34.2
2015-02-23,9.0,3.1,0.80,2.0,34232.85,31.2
2015-02-24,8.4,3.1,0.00,0.0,32923.48,31.3
2015-02-25,10.0,2.9,0.30,2.0,11960.09,14.9
2015-02-26,10.5,4.1,3.80,4.0,0.00,23.0
2015-02-27,8.2,-0.1,0.00,0.0,28800.00,15.8
2015-02-28,9.5,3.0,2.30,3.0,0.00,30.8
2015-03-01,10.6,4.4,1.30,4.0,31685.12,31.7
2015-03-02,7.9,2.2,0.00,0.0,37939.43,34.2
2015-03-03,7.9,1.7,0.80,3.0,35442.40,26.2
2015-03-04,9.0,1.1,0.10,1.0,38200.06,24.7
2015-03-05,10.0,-1.5,0.00,0.0,28800.00,17.1
2015-03-06,10.0,1.8,0.00,0.0,36209.73,22.0
2015-03-07,13.1,5.0,0.00,0.0,36017.40,23.6
2015-03-08,11.6,5.4,0.00,0.0,20620.23,20.3
2015-03-09,10.2,0.3,0.20,2.0,14366.15,23.8
2015-03-10,10.5,3.1,0.00,0.0,39037.04,16.4
2015-03-11,11.7,0.6,0.00,0.0,29659.93,18.7
2015-03-12,11.8,4.1,0.00,0.0,33080.12,20.0
2015-03-13,10.4,3.6,0.00,0.0,20973.82,19.7
2015-03-14,7.5,2.3,0.00,0.0,19762.06,22.7
2015-03-15,7.7,4.4,0.70,5.0,32799.93,23.7
2015-03-16,7.8,3.3,2.30,12.0,14776.27,13.9
2015-03-17,10.8,2.5,1.90,6.0,25219.81,11.5
2015-03-18,10.1,2.5,0.00,0.0,36326.48,16.9
2015-03-19,8.8,4.2,0.00,0.0,165.39,21.7
